playfield_id,site_number,min_ql,max_ql,x_coord,y_coord,site_name,timing
620,2,150,225,1900,3180,Pranade,2
620,3,120,180,620,2980,"Plains of Jarga Defense",2
620,4,200,300,2460,2260,"Old Plains",2
620,5,200,300,1540,1780,"Middle of Easter Fouls Plains",2
620,6,130,200,1540,1140,"Clefre Defense",2
620,7,100,150,2020,860,"Central Sharewood",2
620,8,200,300,820,540,Pegradul,2
625,1,90,130,1460,1940,"The Resilient Forest - North",0
625,2,90,120,1900,1540,"The Resilient Forest - East",0
625,3,125,170,2780,1380,"Central Prowler Waste",0
625,4,100,125,1380,1180,"Central Resilient Forest",0
625,5,125,170,2860,1020,"Southern Prowler Waste",0
625,6,100,150,4020,980,"The Barren Hills",0
625,7,100,125,1740,860,"The Resilient Forest - South",0
625,8,50,75,2460,540,"The Silent Woods - East",0
630,1,40,60,1540,2660,"Pleasant Range Offense Hill",0
630,2,60,90,2380,2500,"Central Pleasant Range",0
630,3,50,75,580,2420,"West of 20K",0
630,4,30,70,3220,2220,"Pleasant Range Defense",0
630,5,60,90,3220,1980,"Pleasant River Defense",0
630,6,60,90,3260,1500,"Pleasant River Offense",0
630,7,40,60,2260,1140,"Central Pleasant Plains",0
630,8,30,70,3020,1020,"East Pleasant Plains",0
630,9,30,45,740,460,"West of Versailles Tower",0
635,1,55,70,700,2420,"Northern River Bank",2
635,2,60,90,1780,2460,"Hawker Trench",2
635,3,70,105,1460,1740,"Klapam Forest Defense",2
635,4,55,70,2020,1740,"Klompfot Defense",2
635,5,70,105,1900,1220,"South of Trench",2
635,6,80,120,1140,940,"Nile Hills",2
635,7,55,70,1780,700,"Aprils Rock Offense",2
635,8,80,150,820,420,"Southern Lower River Bank",2
635,9,80,150,1700,340,"Aprils Rock Defense",2
646,1,10,15,460,1300,"Great W. Forest Vein",1
646,2,10,15,2940,980,"The Hidden Notum Canal",1
646,3,20,30,3220,620,"Mountain Areas",1
646,4,10,15,580,580,"Great W. Forest Dorsal",1
646,5,10,15,1500,460,"Western Mountain Areas",1
647,1,90,135,1100,3100,"The Mineral Mine",1
647,2,20,30,2900,2940,"NE Desert Aperient",1
647,3,37,64,1900,2700,"SurroundingTemple of Three Winds",1
647,4,25,40,2220,1900,"Piercing Thundertube",1
647,5,30,45,2820,1940,"Central Striking Ant",1
647,6,25,40,620,1660,"Tir Prairie",1
647,7,25,40,1180,1700,"Crater Swamp",1
650,1,50,75,540,2820,"West Pass",2
650,2,65,75,900,2300,"Crowning Shallows",2
650,3,100,150,1660,2180,"Haven Notum Crematorium",2
650,4,70,140,2020,1740,"Stret Vale Deux Drilling Field",2
650,5,120,180,1340,1620,"The Flooded Bottomland",2
650,6,75,90,1820,740,"Stret Woods",2
650,7,60,90,940,420,Greenslopes,2
655,1,30,45,420,2700,"Skop Notum Mine",1
655,2,30,80,2820,2340,Klor,1
655,3,60,80,2820,1660,Harstad,1
655,4,40,90,540,1580,Ubleo,1
655,5,40,60,1420,1580,"Flubu Notum Mine",1
655,6,40,70,4340,900,Plago,1
655,7,60,80,2260,380,jucha,1
655,8,70,105,4380,380,Mune,1
655,9,30,60,820,340,"Mocnuf Notum Mine",1
665,1,80,150,940,4820,"Central Desert north",2
665,2,45,75,1260,3860,"Notum Disruption Mountain",2
665,3,75,110,1940,3860,"The Notum Plains",2
665,4,100,150,940,3380,"Near Clan Outpost",2
665,5,45,80,1300,3060,"Central Mountains",2
665,6,55,150,380,2300,"Surrounding Evil",2
665,7,45,60,1260,2140,"Notum Mountain",2
665,8,55,100,2020,1980,"Near Omni-Tek Outpost",2
665,9,100,150,420,820,"Shores Notum Vein",2
670,1,30,45,1100,4340,"Yukon Source",2
670,2,35,50,1460,2540,Frisko,2
670,3,30,45,2140,2420,"Round Hills",2
670,4,50,75,2140,1900,"Dense Drewen",2
670,5,35,50,1260,1820,"Borrowed Hill",2
670,6,35,50,1340,1340,"Narrow Lune",2
670,7,10,15,2500,1220,"Micron Slopes Notum Mine",2
670,8,50,75,2100,540,"High Juniper",2
670,9,50,75,2300,460,"High Juniper Notum Vein",2
685,1,35,50,2140,2620,"Nature Reverve - East",2
685,2,35,50,1900,2580,"Nature Reverve - West",2
685,3,50,75,1300,1900,"Poole - West",2
685,4,50,75,1580,1820,"Poole - East",2
685,5,15,25,1140,1100,V-Hill,2
685,6,20,30,1580,700,"Lunder Hills - North",2
685,7,25,40,2740,460,"Galway hills",2
685,8,20,30,1220,380,"Lunder Hills",2
685,9,25,40,2260,380,"South-east Woods",2
687,1,10,15,500,1900,"Blossom Valley",2
687,2,10,15,380,1300,"Konty Passage Plains",2
687,3,17,28,900,1220,"Vas' Pass",2
687,4,15,25,780,900,"Arthur's Pass",2
687,5,10,15,380,580,"Kontys Sixth Passage - West",2
687,6,10,15,620,540,"Kontys Sixth Passage - East",2
695,1,30,45,940,3260,"North West Lush Fields",0
695,2,20,30,2420,3180,"North East Lush Fields",0
695,3,10,40,3460,2940,"Stret River Island",0
695,4,40,60,1260,2460,"West of Outpost",0
695,5,35,60,1740,2460,"East of Outpost",0
695,6,20,30,1780,1820,"Central Lush Fields",0
695,7,10,15,2860,420,"South East Lush Fields",0
695,8,30,45,980,380,"South West Lush Fields",0
696,1,15,25,780,1420,"Mutant Domain North",2
696,2,20,30,500,860,"Mutant Domain Central",2
696,3,25,40,780,460,"Mutant Domain South",2
716,1,20,35,500,3220,"Northern Grassland",0
716,2,15,30,980,3020,"Moderate Grassland",0
716,3,10,20,460,2180,"Dungeon Hilltop",0
716,4,10,15,700,2180,"Rocky Upsurge",0
716,5,15,25,340,1420,"Northern Easy Swamps Notum Field",0
716,6,15,26,460,820,"Ocean Inlet",0
717,1,30,45,1620,2660,"Greater Omni Forest Swamps",1
717,2,15,25,1180,2460,"Dragonback Ridge",1
717,3,30,45,1900,1820,"Mountainous Regions",1
717,4,20,35,1860,1340,"Waterfall Swamp",1
717,5,10,15,1500,1300,"Greater Omni Forest South",1
717,6,25,40,900,1220,"Northern Semi-Barren Area",1
717,7,10,25,1940,900,"Ring Mountain Range",1
717,8,14,25,940,460,"Southern Isle",1
760,1,60,90,1580,2380,"Notum Ore in Buttu",2
760,2,35,50,940,2020,"Mountain of Fourtyone",2
760,3,35,50,1300,1980,"Mountain in 4Holes",2
760,4,45,60,1660,1740,"South of Ahenus",2
760,5,70,100,1820,1340,"Ibreri Woods North",2
760,6,35,50,1460,1260,"Mountain of Fourtytwo",2
760,7,100,150,1740,1060,"Ibreri Woods",2
760,8,45,70,1180,500,Ibreri,2
760,9,45,70,460,420,"Jall Mountain",2
790,1,20,30,1700,3100,"Hells Courtyard",2
790,2,15,25,2300,2860,"Pondus Beach",2
790,3,15,30,1700,2780,"Hound Land",2
790,4,20,40,1980,2780,"Hound Notum Field",2
790,5,20,30,1700,1940,"East Mutie",2
790,6,12,30,1340,1220,"Omni Outpost",2
790,7,20,30,660,1180,"South Mutie",2
790,8,30,60,2260,1140,"The Beach",2
791,1,15,26,420,2020,"Populous Mountain",2
791,2,12,22,660,1500,"Hound Land Mining",2
791,3,12,20,220,1060,"Stret West Notum Ore",2
791,4,10,15,740,820,"Snake Mountain",2
791,5,20,40,780,460,"Southern Empty Wastes and Roads",2
791,6,10,20,380,340,"Transit Valley Ore",2
795,1,40,60,4220,1580,Illuminati,1
795,2,100,150,500,1540,"Northern Forest of Illuminations",1
795,3,25,50,3420,1540,"Fate Notum Field",1
795,4,71,120,580,820,Pegrama,1
795,5,84,120,1220,700,"Grazeland Notum Field",1
795,6,50,75,4020,620,Winterbottom,1
795,7,90,120,540,500,"Southern Forest of Illuminations",1
795,8,60,90,2900,500,Summer,1
