crystal_id,nano_id,ql,crystal_name,nano_name,school,strain,strain_id,sub_strain,professions,location,nano_cost,froob_friendly,sort_order,nano_deck,spec,min_level,mm,bm,pm,si,ts,mc
270247,270248,159,"Nano Crystal (Full Automatic Targeting)","Full Automatic Targeting",Buffs,"AAO Buffs",836,"",Soldier,"Bronto Burger Quest",436,1,1,0,,,,,761,761,,
29334,29222,106,"Nano Crystal (Automatic Targeting)","Automatic Targeting",Buffs,"AAO Buffs",836,"",Soldier,"RK Store",358,1,3,0,,,,,493,493,,
301601,301602,106,"Nano Crystal (Keep: Punisher of the Wicked)","Punisher of the Wicked",Buffs,"AAO Buffs",836,"",Keeper,"OFAB Store",358,0,2,0,,,,,493,493,,
83969,83959,162,"Nano Crystal (Legions of the Eyeblighter)","Legions of the Eyeblighter",Debuffs,"AAO Debuffs",13,Area,Nano-Technician,"Mission Reward",274,1,1,0,,,,,745,745,,
83966,83960,132,"Nano Crystal (Mass Pronounce Blindness)","Mass Pronounce Blindness",Debuffs,"AAO Debuffs",13,Area,Nano-Technician,"Mission Reward",246,1,2,0,,,,,621,621,,
83967,83961,109,"Nano Crystal (Mass Cornea Attack)","Mass Cornea Attack",Debuffs,"AAO Debuffs",13,Area,Nano-Technician,"RK Store",216,1,3,0,,,,,513,513,,
83970,83962,57,"Nano Crystal (Enveloping Darkness)","Enveloping Darkness",Debuffs,"AAO Debuffs",13,Area,Nano-Technician,"RK Store",133,1,4,0,,,,,271,271,,
83965,83963,37,"Nano Crystal (Wild Eye Gouger)","Wild Eye Gouger",Debuffs,"AAO Debuffs",13,Area,Nano-Technician,"RK Store",83,1,5,0,,,,,175,175,,
83968,83964,20,"Nano Crystal (Mass Claw Eyes)","Mass Claw Eyes",Debuffs,"AAO Debuffs",13,Area,Nano-Technician,"RK Store",46,1,6,0,,,,,99,99,,
275854,275697,215,"Alien Matrix Beta Box (Optic Plague)","Optic Plague",Debuffs,"AAO Debuffs",13,Target,Nano-Technician,"APF Tradeskill",982,0,1,1,,215,,,1781,1781,,
83971,83947,189,"Nano Crystal (Visions of the Void)","Visions of the Void",Debuffs,"AAO Debuffs",13,Target,Nano-Technician,"Mission Reward",222,1,2,0,,,,,874,874,,
83972,83948,182,"Nano Crystal (Shroud of the Grave)","Shroud of the Grave",Debuffs,"AAO Debuffs",13,Target,Nano-Technician,"Mission Reward",226,1,3,0,,,,,842,842,,
83976,83949,172,"Nano Crystal (Photon Deflector)","Photon Deflector",Debuffs,"AAO Debuffs",13,Target,Nano-Technician,"Mission Reward",215,1,4,0,,,,,803,803,,
83979,83950,162,"Nano Crystal (Foul Eyeblighter)","Foul Eyeblighter",Debuffs,"AAO Debuffs",13,Target,Nano-Technician,"Mission Reward",203,1,5,0,,,,,754,754,,
83985,83951,159,"Nano Crystal (Brutal Cornea Attack)","Brutal Cornea Attack",Debuffs,"AAO Debuffs",13,Target,Nano-Technician,"Mission Reward",202,1,6,0,,,,,730,730,,
83981,83952,152,"Nano Crystal (Eviscerate Eyes)","Eviscerate Eyes",Debuffs,"AAO Debuffs",13,Target,Nano-Technician,"Mission Reward",203,1,7,0,,,,,702,702,,
83980,83953,139,"Nano Crystal (Eyeblighter)",Eyeblighter,Debuffs,"AAO Debuffs",13,Target,Nano-Technician,"Mission Reward",190,1,8,0,,,,,651,651,,
83974,83954,119,"Nano Crystal (Pronounce Blindness)","Pronounce Blindness",Debuffs,"AAO Debuffs",13,Target,Nano-Technician,"RK Store",159,1,9,0,,,,,556,556,,
83983,83955,96,"Nano Crystal (Cornea Attack)","Cornea Attack",Debuffs,"AAO Debuffs",13,Target,Nano-Technician,"RK Store",142,1,10,0,,,,,448,448,,
83977,83956,86,"Nano Crystal (Lesser Eyeblighter)","Lesser Eyeblighter",Debuffs,"AAO Debuffs",13,Target,Nano-Technician,"RK Store",130,1,11,0,,,,,402,402,,
83973,83957,66,"Nano Crystal (Shroud of Darkness)","Shroud of Darkness",Debuffs,"AAO Debuffs",13,Target,Nano-Technician,"RK Store",106,1,12,0,,,,,317,317,,
83982,83958,47,"Nano Crystal (Curtain of Darkness)","Curtain of Darkness",Debuffs,"AAO Debuffs",13,Target,Nano-Technician,"RK Store",79,1,13,0,,,,,229,229,,
83978,83942,27,"Nano Crystal (Gouge Eyes)","Gouge Eyes",Debuffs,"AAO Debuffs",13,Target,Nano-Technician,"RK Store",47,1,14,0,,,,,143,143,,
83984,83943,7,"Nano Crystal (Claw Eyes)","Claw Eyes",Debuffs,"AAO Debuffs",13,Target,Nano-Technician,"RK Store",15,1,15,0,,,,,47,47,,
83975,83944,4,"Nano Crystal (Poke Eyes)","Poke Eyes",Debuffs,"AAO Debuffs",13,Target,Nano-Technician,"RK Store",8,1,16,0,,,,,25,25,,
273387,273386,215,"Nano Crystal (Superior Fleeting Immunity)","Superior Fleeting Immunity",Buffs,"Absorb AC Buffs",219,"",Nano-Technician,"Dust Brigade Quest Part I",774,0,1,1,,215,,1541,,,,1541
273321,273320,215,"Nano Crystal (Superior Fortify)","Superior Fortify",Buffs,"Absorb AC Buffs",219,"",Enforcer,"Dust Brigade Quest Part II",652,0,2,1,,215,,1335,,,,1335
270245,270356,191,"Nano Crystal (Advanced Fleeting Immunity)","Advanced Fleeting Immunity",Buffs,"Absorb AC Buffs",219,"",Nano-Technician,"Bronto Burger Quest",674,1,3,0,,,,884,,,,884
118111,117676,182,"Nano Crystal (Fleeting Immunity)","Fleeting Immunity",Buffs,"Absorb AC Buffs",219,"",Nano-Technician,"Mission Reward",606,1,4,0,,,,839,,,,839
118115,117675,163,"Nano Crystal (Advanced Collapsing Barrier)","Advanced Collapsing Barrier",Buffs,"Absorb AC Buffs",219,"",Nano-Technician,"Mission Reward",538,1,5,0,,,,749,,,,749
270240,270350,160,"Nano Crystal (Greater Fortify)","Greater Fortify",Buffs,"Absorb AC Buffs",219,"",Enforcer,"Bronto Burger Quest",408,1,6,0,,,,746,,,,746
118121,117686,150,"Nano Crystal (Failing Impregnability)","Failing Impregnability",Buffs,"Absorb AC Buffs",219,"",Enforcer,"Mission Reward",384,1,7,0,,,,698,,,,698
118112,117677,146,"Nano Crystal (Collapsing Barrier)","Collapsing Barrier",Buffs,"Absorb AC Buffs",219,"",Nano-Technician,"Mission Reward",470,1,8,0,,,,681,,,,681
118110,117688,140,"Nano Crystal (Absorb Punishment)","Absorb Punishment",Buffs,"Absorb AC Buffs",219,"",Enforcer,"Mission Reward",361,1,9,0,,,,653,,,,653
118116,117682,136,"Nano Crystal (Shrug Off Blows)","Shrug Off Blows",Buffs,"Absorb AC Buffs",219,"",Enforcer,"Mission Reward",333,1,10,0,,,,628,,,,628
118122,117687,133,"Nano Crystal (Deaden Pain)","Deaden Pain",Buffs,"Absorb AC Buffs",219,"",Enforcer,"Mission Reward",302,1,11,0,,,,614,,,,614
118120,117685,120,"Nano Crystal (Fortify)",Fortify,Buffs,"Absorb AC Buffs",219,"",Enforcer,"RK Store",265,1,12,0,,,,559,,,,559
118113,117678,107,"Nano Crystal (Advanced Layered Protection)","Advanced Layered Protection",Buffs,"Absorb AC Buffs",219,"",Nano-Technician,"RK Store",358,1,13,0,,,,494,,,,494
118119,117684,90,"Nano Crystal (Gird For Punishment)","Gird for Punishment",Buffs,"Absorb AC Buffs",219,"",Enforcer,"RK Store",220,1,14,0,,,,428,,,,428
118123,117679,80,"Nano Crystal (Layered Protection)","Layered Protection",Buffs,"Absorb AC Buffs",219,"",Nano-Technician,"RK Store",278,1,15,0,,,,382,,,,382
118118,117683,70,"Nano Crystal (Shock Absorber)","Shock Absorber",Buffs,"Absorb AC Buffs",219,"",Enforcer,"RK Store",179,1,16,0,,,,337,,,,337
118114,117680,54,"Nano Crystal (Ward from Harm)","Ward from Harm",Buffs,"Absorb AC Buffs",219,"",Enforcer,"RK Store",138,1,17,0,,,,252,,,,252
118117,117681,37,"Nano Crystal (Thicken Skin)","Thicken Skin",Buffs,"Absorb AC Buffs",219,"",Enforcer,"RK Store",100,1,18,0,,,,177,,,,177
226725,226724,220,"Nano Crystal (Abolish Polonium)","Abolish Polonium",Debuffs,AC,0,"",Trader,"Pandemonium Garden",2987,0,1,0,4,220,,,,,1755,1750
226723,226722,216,"Nano Crystal (Abolish Bismuth)","Abolish Bismuth",Debuffs,AC,0,"",Trader,"Pandemonium Garden",2340,0,2,0,4,216,,,,,1615,1611
226721,226720,212,"Nano Crystal (Abolish Thallium)","Abolish Thallium",Debuffs,AC,0,"",Trader,"Pandemonium Garden",2001,0,3,0,4,212,,,,,1475,1472
226719,226718,203,"Nano Crystal (Abolish Tin)","Abolish Tin",Debuffs,AC,0,"",Trader,"Inferno Sanctuary / Pandemonium Garden",1720,0,4,0,4,203,,,,,1160,1159
226717,226716,196,"Nano Crystal (Abolish Gallium)","Abolish Gallium",Debuffs,AC,0,"",Trader,"Inferno Garden",1310,0,5,0,3,195,,,,,1044,1044
226712,226711,166,"Nano Crystal (Abolish Aluminium)","Abolish Aluminium",Debuffs,AC,0,"",Trader,"Penumbra Sanctuary",901,0,6,0,3,165,,,,,944,944
300912,275817,215,"Nano Crystal (Maek Hurtz!)","Maek Hurtz!",Buffs,"Adventurer Morph Buffs",251,"",Adventurer,"APF Tradeskill",1596,0,1,1,,215,1417,,945,945,,
300913,275821,215,"Nano Crystal (Hide of the Cerberus)","Hide of the Cerberus",Buffs,"Adventurer Morph Buffs",251,"",Adventurer,"APF Tradeskill",598,0,2,1,,215,,,960,960,,
162322,162321,179,"NanoCrystal (Frenzy of Fur)","Frenzy of Fur",Buffs,"Adventurer Morph Buffs",251,"",Adventurer,"RK Dyna",624,1,3,0,,,,862,777,777,,
269443,269441,175,"Nano Crystal (Sharp Scales)","Sharp Scales",Buffs,"Adventurer Morph Buffs",251,"",Adventurer,"Pen Xan Quest",650,0,4,0,,,750,820,,750,,
162261,162260,162,"Nano Crystal (Hide of the Wolf)","Hide of the Wolf",Buffs,"Adventurer Morph Buffs",251,"",Adventurer,"RK Dyna",426,1,5,0,,,,,761,761,,
162320,162319,159,"Nano Crystal (Blur of Claws)","Blur of Claws",Buffs,"Adventurer Morph Buffs",251,"",Adventurer,"RK Dyna",550,1,6,0,,,,766,695,695,,
162122,162121,152,"Nano Crystal (Maek 0wz!","Maek 0wz!",Buffs,"Adventurer Morph Buffs",251,"",Adventurer,"RK Dyna",1064,1,7,0,,,714,,714,714,,
162318,162317,146,"Nano Crystal (Feline Rage)","Feline Rage",Buffs,"Adventurer Morph Buffs",251,"",Adventurer,"RK Dyna",495,1,8,0,,,,708,637,637,,
162259,162258,139,"Nano Crystal (Hide of the Fox)","Hide of the Fox",Buffs,"Adventurer Morph Buffs",251,"",Adventurer,"RK Dyna",359,1,9,0,,,,,656,656,,
162120,162119,126,"Nano Crystal (Maek Painz!)","Maek Painz!",Buffs,"Adventurer Morph Buffs",251,"",Adventurer,"RK Dyna",855,1,10,0,,,594,,594,594,,
162316,162315,116,"Nano Crystal (Toothy Grin)","Toothy Grin",Buffs,"Adventurer Morph Buffs",251,"",Adventurer,"RK Dyna",399,1,11,0,,,,572,518,518,,
162257,162256,103,"Nano Crystal (Hide of the Dog)","Hide of the Dog",Buffs,"Adventurer Morph Buffs",251,"",Adventurer,"RK Dyna",266,1,12,0,,,,,493,493,,
162314,162313,80,"Nano Crystal (Sharpen Claws)","Sharpen Claws",Buffs,"Adventurer Morph Buffs",251,"",Adventurer,"RK Store",279,1,13,0,,,,406,360,360,,
162118,162117,66,"Nano Crystal (Maek Ouch!)","Maek Ouch!",Buffs,"Adventurer Morph Buffs",251,"",Adventurer,"RK Store",460,1,14,0,,,316,,316,316,,
162255,162254,53,"Nano Crystal (Hide of the Puppy)","Hide of the Puppy",Buffs,"Adventurer Morph Buffs",251,"",Adventurer,"RK Store",141,1,15,0,,,,,257,257,,
226426,226425,218,"Nano Crystal (Waves of Trauma)","Waves of Trauma",Buffs,"Agent Damage Proc",635,"Direct Damage",Agent,"Pandemonium Garden",4221,0,1,0,4,218,1961,,,1676,,1957
226424,226423,215,"Nano Crystal (Waves of Harm)","Waves of Harm",Buffs,"Agent Damage Proc",635,"Direct Damage",Agent,"Pandemonium Garden",4168,0,2,0,4,215,1826,,,1573,,1822
226422,226421,211,"Nano Crystal (Waves of Unsettling)","Waves of Unsettling",Buffs,"Agent Damage Proc",635,"Direct Damage",Agent,"Pandemonium Garden",4112,0,3,0,4,211,1646,,,1435,,1643
226420,226419,203,"Nano Crystal (Waves of Sickening)","Waves of Sickening",Buffs,"Agent Damage Proc",635,"Direct Damage",Agent,"Inferno Sanctuary / Pandemonium Garden",4039,0,4,0,4,203,1286,,,1159,,1285
226418,226417,195,"Nano Crystal (Waves of Illness)","Waves of Illness",Buffs,"Agent Damage Proc",635,"Direct Damage",Agent,"Inferno Garden",3689,0,5,0,3,195,1135,,,1042,,1135
226416,226415,170,"Nano Crystal (Waves of Numbing)","Waves of Numbing",Buffs,"Agent Damage Proc",635,"Direct Damage",Agent,"Penumbra Sanctuary",3354,0,6,0,3,165,1042,,,962,,1042
226414,226413,100,"Nano Crystal (Waves of Jarring)","Waves of Jarring",Buffs,"Agent Damage Proc",635,"Direct Damage",Agent,"Adonis Garden",2074,0,7,0,2,100,688,,,633,,688
226412,226410,25,"Nano Crystal (Waves of Anger)","Waves of Anger",Buffs,"Agent Damage Proc",635,"Direct Damage",Agent,"Elysium Garden",558,0,8,0,1,25,175,,,152,,175
226438,226437,220,"Nano Crystal (Blast of Outflanking)","Blast of Outflanking",Buffs,"Agent Damage Proc",635,"Taunt Only",Agent,"Pandemonium Garden",4229,0,1,0,4,220,2051,,,1745,,2046
226436,226435,214,"Nano Crystal (Blast of Rejection)","Blast of Rejection",Buffs,"Agent Damage Proc",635,"Taunt Only",Agent,"Pandemonium Garden",4164,0,2,0,4,214,1781,,,1538,,1777
226434,226433,207,"Nano Crystal (Blast of Ommitance)","Blast of Ommitance",Buffs,"Agent Damage Proc",635,"Taunt Only",Agent,"Inferno Sanctuary / Pandemonium Garden",4095,0,3,0,4,207,1466,,,1297,,1464
226432,226431,200,"Nano Crystal (Blast of Circumvention)","Blast of Circumvention",Buffs,"Agent Damage Proc",635,"Taunt Only",Agent,"Inferno Sanctuary / Pandemonium Garden",3987,0,4,0,3,195,1151,,,1055,,1151
226430,226429,150,"Nano Crystal (Blast of Neglect)","Blast of Neglect",Buffs,"Agent Damage Proc",635,"Taunt Only",Agent,"Penumbra Garden",3090,0,5,0,2,145,970,,,888,,970
226428,226427,75,"Nano Crystal (Blast of Avoidance)","Blast of Avoidance",Buffs,"Agent Damage Proc",635,"Taunt Only",Agent,"Scheol Garden",1628,0,6,0,1,75,515,,,463,,515
227777,227776,218,"Nano Crystal (Disappear)",Disappear,"Anti Crowd Control","Agent Escape Nanos",680,"",Agent,"Pandemonium Garden",1121,0,1,0,4,201,,,1681,1676,,
227775,227774,210,"Nano Crystal (Slip Away)","Slip Away","Anti Crowd Control","Agent Escape Nanos",680,"",Agent,"Inferno Sanctuary / Pandemonium Garden",935,0,2,0,4,201,,,1403,1400,,
227773,227772,205,"Nano Crystal (Make Off)","Make Off","Anti Crowd Control","Agent Escape Nanos",680,"",Agent,"Inferno Sanctuary / Pandemonium Garden",819,0,3,0,4,201,,,1229,1227,,
227771,227770,185,"Nano Crystal (Burst Out)","Burst Out","Anti Crowd Control","Agent Escape Nanos",680,"",Agent,"Inferno Garden",678,0,4,0,3,,,,1017,1017,,
227779,227778,135,"Nano Crystal (Break Out)","Break Out","Anti Crowd Control","Agent Escape Nanos",680,"",Agent,"Adonis Sanctuary",559,0,5,0,2,,,,839,839,,
227769,227768,60,"Nano Crystal (Bail Out)","Bail Out","Anti Crowd Control","Agent Escape Nanos",680,"",Agent,"Scheol Garden",241,0,6,0,1,,,,361,361,,
226409,226408,219,"Nano Crystal (Harm Shock)","Harm Shock",Buffs,"Agent Proc Buffs",636,"",Agent,"Pandemonium Garden",4225,0,1,0,4,219,2006,,,1711,,2001
226407,226406,212,"Nano Crystal (Unsettling Shock)","Unsettling Shock",Buffs,"Agent Proc Buffs",636,"",Agent,"Pandemonium Garden",4156,0,2,0,4,212,1691,,,1469,,1688
226405,226403,201,"Nano Crystal (Sickening Shock)","Sickening Shock",Buffs,"Agent Proc Buffs",636,"",Agent,"Inferno Sanctuary / Pandemonium Garden",4031,0,3,0,4,201,1196,,,1089,,1196
226400,226398,180,"Nano Crystal (Numbing Shock)","Numbing Shock",Buffs,"Agent Proc Buffs",636,"",Agent,"Inferno Garden",3509,0,4,0,3,175,1087,,,1004,,1087
226397,226396,125,"Nano Crystal (Jarring Shock)","Jarring Shock",Buffs,"Agent Proc Buffs",636,"",Agent,"Adonis Sanctuary",2779,0,5,0,2,125,886,,,801,,886
226395,226394,50,"Nano Crystal (Anger Shock)","Anger Shock",Buffs,"Agent Proc Buffs",636,"",Agent,"Elysium Sanctuary",1026,0,6,0,1,50,320,,,292,,320
275019,275020,215,"Aggressive Staff of Julian Redfire","Aggressive Construct Empowerment","Pet Buffs","Aggressive Construct Empowerment",854,"",Meta-Physicist,"Dust Brigade Quest Part V",158,0,1,1,,215,,2109,,,2209,
273394,273393,215,"Nano Crystal (Improved Prowler)","Improved Prowler",Buffs,"Agility Buffs",195,"",Shade,"Dust Brigade Quest Part IV",730,0,1,1,,215,,,1430,1244,,
210753,210752,188,"Nano Crystal (Prowler)",Prowler,Buffs,"Agility Buffs",195,"",Shade,"Mission Reward",609,0,2,0,,185,,,1012,931,,
210751,210750,135,"Nano Crystal (Scrounger)",Scrounger,Buffs,"Agility Buffs",195,"",Shade,"Mission Reward",486,0,3,0,,135,,,839,763,,
263245,263243,126,"Nano Crystal (Greater Predator)","Greater Predator",Buffs,"Agility Buffs",195,"",Agent,"Scheol Yuttos Quest",364,0,5,0,,,,538,538,,,
263242,263240,126,"Nano Crystal (Lesser Predator)","Lesser Predator",Buffs,"Agility Buffs",195,"",Agent,"Scheol Scientists Quest",364,0,4,0,,,,538,538,,,
210749,210748,82,"Nano Crystal (Mugger)",Mugger,Buffs,"Agility Buffs",195,"",Shade,"RK Store",275,0,6,0,,75,,,504,462,,
26206,25989,53,"Nano Crystal (Feline Grace)","Feline Grace",Buffs,"Agility Buffs",195,"",Agent,"RK Store",177,1,7,0,,,,252,252,,,
210747,210746,36,"Nano Crystal (Sneak)",Sneak,Buffs,"Agility Buffs",195,"",Shade,"RK Store",119,0,8,0,,25,,,219,195,,
26469,26342,7,"Nano Crystal (Agility Boost)","Agility Boost","Buffs - Attributes","Agility Buffs",29,"",General,"No longer drops",45,1,9,0,,,41,35,,,,
26482,26355,4,"Nano Crystal (Augment Agility)","Augment Agility","Buffs - Attributes","Agility Buffs",29,"",General,"No longer drops",25,1,10,0,,,25,22,,,,
26539,26412,10,"Nano Crystal (Drain Agility)","Drain Agility","Debuffs - Attributes","Agility Debuffs",53,"",General,"No longer drops",45,1,1,0,,,58,48,,,,
26528,26401,4,"Nano Crystal (Diminish Agility)","Diminish Agility","Debuffs - Attributes","Agility Debuffs",53,"",General,"No longer drops",25,1,2,0,,,36,31,,,,
275008,275007,215,"Nano Crystal (Assassin's Aimed Shot)","Assassin's Aimed Shot",Buffs,"Aimed Shot Buffs",198,"",Agent,"Dust Brigade Quest Part V",1083,0,1,1,,215,,,1625,1625,,
160796,160795,169,"Nano Crystal (Steady Nerves)","Steady Nerves",Buffs,"Aimed Shot Buffs",198,"",Agent,"RK Dyna",521,1,2,0,,,,,782,782,,
32106,32065,152,"Nano Crystal (Take The Shot)","Take the Shot",Buffs,"Aimed Shot Buffs",198,"",Agent,"Mission Reward",567,1,3,0,,,,,700,700,,
28745,26702,113,"Nano Crystal (Precision of the Hunter)","Precision of the Hunter",Buffs,"Aimed Shot Buffs",198,"",Adventurer,"RK Store",567,1,4,0,,,,,700,700,,
26470,26343,10,"Nano Crystal (Aimed Shot Expertise)","Aimed Shot Expertise","Buffs - Ranged Special","Aimed Shot Buffs",18,"",General,"No longer drops",40,1,5,0,,,,,66,66,,
