# Version: 18.08.58.03
# Requires: 20230108112714_CreateItemDBs.shared
lowid,highid,lowql,highql,name,icon,froob_friendly,slot,flags,in_game
26022,26022,149,149,"Shattered Nano Crystal",300932,1,0,-2147483135,1
26164,26164,1,1,"Durable Light Created by the Adventurer Spell",12253,1,0,-2076179965,1
26166,26166,76,76,"Nano Crystal (Eagle Eye)",301586,1,0,-2143288829,1
26206,26206,53,53,"Nano Crystal (Feline Grace)",12259,1,0,-2143288829,1
26207,26207,27,27,"Nano Crystal (Enhanced Senses)",12226,1,0,-2143288829,1
26245,26245,43,43,"Nano Crystal (Free Movement)",296729,1,0,-2143288829,1
26461,26461,4,4,"Nano Crystal (1H Blunt Weapon Proficiency)",12226,1,0,-2143288829,1
26462,26462,10,10,"Nano Crystal (1H Blunt Weapon Incompetence)",12226,1,0,-2143288829,1
26463,26463,4,4,"Nano Crystal (1H Blunt Weapon Inexperience)",12226,1,0,-2143288829,1
26464,26464,10,10,"Nano Crystal (1H Blunt Weapon Expertise)",12226,1,0,-2143288829,1
26467,26467,4,4,"Nano Crystal (Piercing Proficiency)",12226,1,0,-2143288829,1
26468,26468,1,1,"Nano Crystal (Aggression Prod)",12226,1,0,-2143288829,1
26469,26469,7,7,"Nano Crystal (Agility Boost)",12228,1,0,-2143288829,1
26470,26470,10,10,"Nano Crystal (Aimed Shot Expertise)",12226,1,0,-2143288829,1
26471,26471,14,14,"Nano Crystal (Ranged Special Attacks Incompetence)",297502,1,0,-2143288829,1
26472,26472,7,7,"Nano Crystal (Aimed Shot Inexperience)",12226,1,0,-2143288829,1
26473,26473,4,4,"Nano Crystal (Aimed Shot Proficiency)",12226,1,0,-2143288829,1
26478,26478,10,10,"Nano Crystal (Assault Rifle Expertise)",12226,1,0,-2143288829,1
26479,26479,10,10,"Nano Crystal (Assault Rifle Incompetence)",12226,1,0,-2143288829,1
26480,26480,4,4,"Nano Crystal (Assault Rifle Inexperience)",12226,1,0,-2143288829,1
26481,26481,4,4,"Nano Crystal (Assault Rifle Proficiency)",12226,1,0,-2143288829,1
26482,26482,4,4,"Nano Crystal (Augment Agility)",12228,1,0,-2143288829,1
26483,26483,4,4,"Nano Crystal (Augment Intelligence)",12228,1,0,-2143288829,1
26484,26484,4,4,"Nano Crystal (Augment Psychic)",12228,1,0,-2143288829,1
26485,26485,4,4,"Nano Crystal (Augment Sense)",12228,1,0,-2143288829,1
26486,26486,4,4,"Nano Crystal (Augment Stamina)",12228,1,0,-2143288829,1
26487,26487,4,4,"Nano Crystal (Augment Strength)",12228,1,0,-2143288829,1
26488,26488,10,10,"Nano Crystal (BioMet Expertise)",12226,1,0,-2143288829,1
26489,26489,10,10,"Nano Crystal (Nano Skills Incompetence)",297515,1,0,-2143288829,1
26490,26490,4,4,"Nano Crystal (BioMet Inexperience)",12226,1,0,-2143288829,1
26491,26491,4,4,"Nano Crystal (BioMet Proficiency)",12226,1,0,-2143288829,1
26492,26492,4,4,"Nano Crystal (Bot Mass Migration)",12228,1,0,-2143288829,1
26493,26493,4,4,"Nano Crystal (Bot Migration)",12228,1,0,-2143288829,1
26494,26494,10,10,"Nano Crystal (Bow Expertise)",12226,1,0,-2143288829,1
26495,26495,10,10,"Nano Crystal (Bow Incompetence)",12226,1,0,-2143288829,1
26496,26496,4,4,"Nano Crystal (Bow Inexperience)",12226,1,0,-2143288829,1
26497,26497,4,4,"Nano Crystal (Bow Proficiency)",12226,1,0,-2143288829,1
26498,26498,10,10,"Nano Crystal (Bow Special Attack Expertise)",12226,1,0,-2143288829,1
26499,26499,14,14,"Nano Crystal (Bow Special Attack Incompetence)",12226,1,0,-2143288829,1
26500,26500,7,7,"Nano Crystal (Bow Special Attack Inexperience)",12226,1,0,-2143288829,1
26501,26501,4,4,"Nano Crystal (Bow Special Attack Proficiency)",12226,1,0,-2143288829,1
26502,26502,10,10,"Nano Crystal (Brawl Expertise)",12226,1,0,-2143288829,1
26503,26503,14,14,"Nano Crystal (Melee Special Attacks Incompetence)",297520,1,0,-2143288829,1
26504,26504,7,7,"Nano Crystal (Brawl Inexperience)",12226,1,0,-2143288829,1
26505,26505,4,4,"Nano Crystal (Brawl Proficiency)",12226,1,0,-2143288829,1
26506,26506,10,10,"Nano Crystal (Breaking and Entering Expertise)",12226,1,0,-2143288829,1
26507,26507,4,4,"Nano Crystal (Breaking and Entering Proficiency)",12226,1,0,-2143288829,1
26508,26508,10,10,"Nano Crystal (Burst Expertise)",12226,1,0,-2143288829,1
26509,26509,14,14,"Nano Crystal (Burst Incompetence)",12226,1,0,-2143288829,1
26510,26510,7,7,"Nano Crystal (Burst Inexperience)",12226,1,0,-2143288829,1
26511,26511,4,4,"Nano Crystal (Burst Proficiency)",12226,1,0,-2143288829,1
26514,26514,10,10,"Nano Crystal (Chemistry Expertise)",12226,1,0,-2143288829,1
26515,26515,4,4,"Nano Crystal (Chemistry Proficiency)",12226,1,0,-2143288829,1
26516,26516,10,10,"Nano Crystal (Adventuring Expertise)",12226,1,0,-2143288829,1
26522,26522,10,10,"Nano Crystal (Computer Literacy Expertise)",12226,1,0,-2143288829,1
26523,26523,4,4,"Nano Crystal (Computer Literacy Proficiency)",12226,1,0,-2143288829,1
26524,26524,10,10,"Nano Crystal (Concealment Expertise)",12226,1,0,-2143288829,1
26525,26525,4,4,"Nano Crystal (Concealment Proficiency)",12226,1,0,-2143288829,1
26526,26526,14,14,"Nano Crystal (Dimach Incompetence)",12226,1,0,-2143288829,1
26527,26527,7,7,"Nano Crystal (Dimach Inexperience)",12226,1,0,-2143288829,1
26528,26528,4,4,"Nano Crystal (Diminish Agility)",12228,1,0,-2143288829,1
26529,26529,4,4,"Nano Crystal (Diminish Intelligence)",12228,1,0,-2143288829,1
26530,26530,4,4,"Nano Crystal (Diminish Psychic)",12228,1,0,-2143288829,1
26531,26531,4,4,"Nano Crystal (Diminish Sense)",12228,1,0,-2143288829,1
26532,26532,4,4,"Nano Crystal (Diminish Stamina)",12228,1,0,-2143288829,1
26533,26533,4,4,"Nano Crystal (Diminish Strength)",12228,1,0,-2143288829,1
26534,26534,10,10,"Nano Crystal (Disarm Traps Expertise)",12226,1,0,-2143288829,1
26535,26535,4,4,"Nano Crystal (Disarm Traps Proficiency)",12226,1,0,-2143288829,1
26539,26539,10,10,"Nano Crystal (Drain Agility)",12228,1,0,-2143288829,1
26540,26540,10,10,"Nano Crystal (Drain Intelligence)",12228,1,0,-2143288829,1
26541,26541,10,10,"Nano Crystal (Drain Abilities)",297499,1,0,-2143288829,1
26542,26542,10,10,"Nano Crystal (Drain Sense)",12228,1,0,-2143288829,1
26543,26543,10,10,"Nano Crystal (Drain Stamina)",12228,1,0,-2143288829,1
26544,26544,10,10,"Nano Crystal (Drain Strength)",12228,1,0,-2143288829,1
26545,26545,14,14,"Nano Crystal (Ego Pummel)",12226,1,0,-2143288829,1
26547,26547,10,10,"Nano Crystal (Electrical Engineering Expertise)",12226,1,0,-2143288829,1
26548,26548,30,30,"Nano Crystal (Enmity)",12226,1,0,-2143288829,1
26549,26549,10,10,"Nano Crystal (Energy Melee Expertise)",12226,1,0,-2143288829,1
26550,26550,4,4,"Nano Crystal (Energy Melee Incompetence)",12226,1,0,-2143288829,1
26551,26551,10,10,"Nano Crystal (Energy Melee Inexperience)",12226,1,0,-2143288829,1
26552,26552,4,4,"Nano Crystal (Energy Melee Proficiency)",12226,1,0,-2143288829,1
26555,26555,10,10,"Nano Crystal (LR Energy Weapon Expertise)",12226,1,0,-2143288829,1
26556,26556,10,10,"Nano Crystal (LR Energy Weapon Incompetence)",12226,1,0,-2143288829,1
26557,26557,4,4,"Nano Crystal (LR Energy Weapon Inexp)",12226,1,0,-2143288829,1
26558,26558,4,4,"Nano Crystal (LR Energy Weapon Proficiency)",12226,1,0,-2143288829,1
26559,26559,10,10,"Nano Crystal (Fast Attack Expertise)",12226,1,0,-2143288829,1
26560,26560,14,14,"Nano Crystal (Fast Attack Incompetence)",12226,1,0,-2143288829,1
26561,26561,7,7,"Nano Crystal (Fast Attack Inexperience)",12226,1,0,-2143288829,1
26562,26562,4,4,"Nano Crystal (Fast Attack Proficiency)",12226,1,0,-2143288829,1
26564,26564,10,10,"Nano Crystal (Field Quantum Physics Expertise)",12226,1,0,-2143288829,1
26565,26565,4,4,"Nano Crystal (Field Quantum Physics Proficiency)",12226,1,0,-2143288829,1
26568,26568,10,10,"Nano Crystal (First Aid Expertise)",12226,1,0,-2143288829,1
26569,26569,4,4,"Nano Crystal (First Aid Proficiency)",12226,1,0,-2143288829,1
26570,26570,10,10,"Nano Crystal (Fling Shot Expertise)",12226,1,0,-2143288829,1
26571,26571,14,14,"Nano Crystal (Fling Shot Incompetence)",12226,1,0,-2143288829,1
26572,26572,7,7,"Nano Crystal (Fling Shot Inexperience)",12226,1,0,-2143288829,1
26573,26573,4,4,"Nano Crystal (Fling Shot Proficiency)",12226,1,0,-2143288829,1
26574,26574,10,10,"Nano Crystal (Full Auto Expertise)",12226,1,0,-2143288829,1
26575,26575,14,14,"Nano Crystal (Full Auto Incompetence)",12226,1,0,-2143288829,1
26576,26576,7,7,"Nano Crystal (Full Auto Inexperience)",12226,1,0,-2143288829,1
26577,26577,4,4,"Nano Crystal (Full Auto Proficiency)",12226,1,0,-2143288829,1
26578,26578,10,10,"Nano Crystal (Heavy Weapons Expertise)",12226,1,0,-2143288829,1
26580,26580,4,4,"Nano Crystal (Heavy Weapons Inexperience)",12226,1,0,-2143288829,1
26581,26581,4,4,"Nano Crystal (Heavy Weapons Proficiency)",12226,1,0,-2143288829,1
26582,26582,10,10,"Nano Crystal (Piercing Expert)",12226,1,0,-2143288829,1
26583,26583,10,10,"Nano Crystal (Piercing Incompetence)",12226,1,0,-2143288829,1
26584,26584,4,4,"Nano Crystal (Piercing Inexperience)",12226,1,0,-2143288829,1
26585,26585,10,10,"Nano Crystal (Adrenaline Pump)",12228,1,0,-2143288829,1
26680,26680,10,10,"Nano Crystal (Heavy Weapons Incompetence)",12226,1,0,-2143288829,1
26681,26681,1,1,"Nano Crystal (Minor Healing)",12228,1,0,-2143288829,1
26682,26682,4,4,"Nano Crystal (Adventuring Proficiency)",12226,1,0,-2143288829,1
26683,26683,4,4,"Nano Crystal (Healing)",12228,1,0,-2143288829,1
27197,27197,4,4,"Nano Crystal (Weapon Smithing Proficiency)",12226,1,0,-2143288829,1
27198,27198,10,10,"Nano Crystal (1H Edged Weapon Expertise)",12226,1,0,-2143288829,1
27199,27199,10,10,"Nano Crystal (Melee Weapons Incompetence)",297512,1,0,-2143288829,1
27200,27200,4,4,"Nano Crystal (1H Edged Weapon Inexperience)",12226,1,0,-2143288829,1
27201,27201,4,4,"Nano Crystal (1H Edged Weapon Proficiency)",12226,1,0,-2143288829,1
27202,27202,10,10,"Nano Crystal (2H Blunt Weapon Expertise)",12226,1,0,-2143288829,1
27203,27203,10,10,"Nano Crystal (2H Blunt Weapon Incompetence)",12226,1,0,-2143288829,1
27204,27204,4,4,"Nano Crystal (2H Blunt Weapon Inexperience)",12226,1,0,-2143288829,1
27205,27205,4,4,"Nano Crystal (2H Blunt Weapon Proficiency)",12226,1,0,-2143288829,1
27206,27206,10,10,"Nano Crystal (2H Edged Weapon Expertise)",12226,1,0,-2143288829,1
27207,27207,10,10,"Nano Crystal (2H Edged Weapon Incompetence)",12226,1,0,-2143288829,1
27208,27208,4,4,"Nano Crystal (2H Edged Weapon Inexperience)",12226,1,0,-2143288829,1
27209,27209,4,4,"Nano Crystal (2H Edged Weapon Proficiency)",12226,1,0,-2143288829,1
27210,27210,10,10,"Nano Crystal (Grenade Expertise)",12226,1,0,-2143288829,1
27211,27211,10,10,"Nano Crystal (Grenade Incompetence)",12226,1,0,-2143288829,1
27212,27212,4,4,"Nano Crystal (Grenade Inexperience)",12226,1,0,-2143288829,1
27213,27213,4,4,"Nano Crystal (Grenade Proficiency)",12226,1,0,-2143288829,1
27216,27216,7,7,"Nano Crystal (Improve Health)",12228,1,0,-2143288829,1
27217,27217,7,7,"Nano Crystal (Intelligence Boost)",12228,1,0,-2143288829,1
27218,27218,10,10,"Nano Crystal (Throwing Knife Expertise)",12226,1,0,-2143288829,1
27219,27219,10,10,"Nano Crystal (Throwing Knife Incompetence)",12226,1,0,-2143288829,1
27220,27220,4,4,"Nano Crystal (Throwing Knife Inexperience)",12226,1,0,-2143288829,1
27221,27221,4,4,"Nano Crystal (Throwing Knife Proficiency)",12226,1,0,-2143288829,1
27222,27222,4,4,"Nano Crystal (Leaden Feet)",12226,1,0,-2143288829,1
27223,27223,4,4,"Nano Crystal (Lethargy)",297534,1,0,-2143288829,1
27225,27225,10,10,"Nano Crystal (Submachine Gun Expertise)",12226,1,0,-2143288829,1
27226,27226,10,10,"Nano Crystal (Submachine Gun Incompetence)",12226,1,0,-2143288829,1
27227,27227,4,4,"Nano Crystal (Submachine Gun Inexperience)",12226,1,0,-2143288829,1
27228,27228,4,4,"Nano Crystal (Submachine Gun Proficiency)",12226,1,0,-2143288829,1
27229,27229,10,10,"Nano Crystal (Martial Arts Expertise)",12226,1,0,-2143288829,1
27230,27230,10,10,"Nano Crystal (Martial Arts Incompetence)",12226,1,0,-2143288829,1
27231,27231,4,4,"Nano Crystal (Martial Arts Inexperience)",12226,1,0,-2143288829,1
27232,27232,4,4,"Nano Crystal (Martial Arts Proficiency)",12226,1,0,-2143288829,1
27233,27233,10,10,"Nano Crystal (MatCrea Expertise)",12226,1,0,-2143288829,1
27234,27234,10,10,"Nano Crystal (MatCrea Incompetence)",12226,1,0,-2143288829,1
27235,27235,4,4,"Nano Crystal (MatCrea Inexperience)",12226,1,0,-2143288829,1
27236,27236,4,4,"Nano Crystal (MatCrea Proficiency)",12226,1,0,-2143288829,1
27237,27237,10,10,"Nano Crystal (SpaceTime Expertise)",12226,1,0,-2143288829,1
27238,27238,10,10,"Nano Crystal (SpaceTime Incompetence)",12226,1,0,-2143288829,1
27239,27239,4,4,"Nano Crystal (SpaceTime Inexperience)",12226,1,0,-2143288829,1
27240,27240,4,4,"Nano Crystal (SpaceTime Proficiency)",12226,1,0,-2143288829,1
27241,27241,10,10,"Nano Crystal (MatMet Expertise)",12226,1,0,-2143288829,1
27242,27242,10,10,"Nano Crystal (MatMet Incompetence)",12226,1,0,-2143288829,1
27243,27243,4,4,"Nano Crystal (MatMet Inexperience)",12226,1,0,-2143288829,1
27244,27244,4,4,"Nano Crystal (MatMet Proficiency)",12226,1,0,-2143288829,1
27245,27245,10,10,"Nano Crystal (Mechanical Engineering Expertise)",12226,1,0,-2143288829,1
27246,27246,4,4,"Nano Crystal (Mechanical Engineering Proficiency)",12226,1,0,-2143288829,1
27250,27250,10,10,"Nano Crystal (Nano Programming Expertise)",12226,1,0,-2143288829,1
27251,27251,4,4,"Nano Crystal (Nano Programming Proficiency)",12226,1,0,-2143288829,1
27253,27253,10,10,"Nano Crystal (Nano Restoration)",12225,1,0,-2143288829,1
27256,27256,10,10,"Nano Crystal (Parry Expertise)",12226,1,0,-2143288829,1
27257,27257,14,14,"Nano Crystal (Parry Incompetence)",12226,1,0,-2143288829,1
27258,27258,7,7,"Nano Crystal (Parry Inexperience)",12226,1,0,-2143288829,1
27259,27259,4,4,"Nano Crystal (Parry Proficiency)",12226,1,0,-2143288829,1
27260,27260,10,10,"Nano Crystal (Pharmaceutical Expertise)",12226,1,0,-2143288829,1
27261,27261,4,4,"Nano Crystal (Pharmaceutical Proficiency)",12226,1,0,-2143288829,1
27262,27262,10,10,"Nano Crystal (Pistol Expertise)",12226,1,0,-2143288829,1
27263,27263,10,10,"Nano Crystal (Ranged Weapons Incompetence)",297531,1,0,-2143288829,1
27264,27264,4,4,"Nano Crystal (Pistol Inexperience)",12226,1,0,-2143288829,1
27265,27265,4,4,"Nano Crystal (Pistol Proficiency)",12226,1,0,-2143288829,1
27270,27270,7,7,"Nano Crystal (Psychic Boost)",12228,1,0,-2143288829,1
27271,27271,10,10,"Nano Crystal (Psychology Expertise)",12226,1,0,-2143288829,1
27272,27272,4,4,"Nano Crystal (Psychology Proficiency)",12226,1,0,-2143288829,1
27273,27273,10,10,"Nano Crystal (PsyMod Expertise)",12226,1,0,-2143288829,1
27274,27274,10,10,"Nano Crystal (PsyMod Incompetence)",12226,1,0,-2143288829,1
27275,27275,4,4,"Nano Crystal (PsyMod Inexperience)",12226,1,0,-2143288829,1
27276,27276,4,4,"Nano Crystal (PsyMod Proficiency)",12226,1,0,-2143288829,1
27277,27277,17,17,"Nano Crystal (Quickness)",12226,1,0,-2143288829,1
27278,27278,1,1,"Nano Crystal (Radiation Shield)",12227,1,0,-2143288829,1
27279,27279,7,7,"Nano Crystal (Radiation Ward)",12227,1,0,-2143288829,1
27280,27280,14,14,"Nano Crystal (Regeneration)",12228,1,0,-2143288829,1
27282,27282,10,10,"Nano Crystal (Rifle Expertise)",12226,1,0,-2143288829,1
27283,27283,10,10,"Nano Crystal (Rifle Incompetence)",12226,1,0,-2143288829,1
27284,27284,4,4,"Nano Crystal (Rifle Inexperience)",12226,1,0,-2143288829,1
27285,27285,4,4,"Nano Crystal (Rifle Proficiency)",12226,1,0,-2143288829,1
27286,27286,10,10,"Nano Crystal (Riposte Expertise)",12226,1,0,-2143288829,1
27287,27287,14,14,"Nano Crystal (Riposte Incompetence)",12226,1,0,-2143288829,1
27288,27288,7,7,"Nano Crystal (Riposte Inexperience)",12226,1,0,-2143288829,1
27289,27289,4,4,"Nano Crystal (Riposte Proficiency)",12226,1,0,-2143288829,1
27290,27290,7,7,"Nano Crystal (Sense Boost)",12228,1,0,-2143288829,1
27291,27291,10,10,"Nano Crystal (Sense Imp Expertise)",12226,1,0,-2143288829,1
27292,27292,10,10,"Nano Crystal (Sense Imp Incomp)",12226,1,0,-2143288829,1
27293,27293,4,4,"Nano Crystal (Sense Imp Inexperience)",12226,1,0,-2143288829,1
27294,27294,4,4,"Nano Crystal (Sense Imp Proficiency)",12226,1,0,-2143288829,1
27295,27295,10,10,"Nano Crystal (Shotgun Expertise)",12226,1,0,-2143288829,1
27296,27296,10,10,"Nano Crystal (Shotgun Incompetence)",12226,1,0,-2143288829,1
27297,27297,4,4,"Nano Crystal (Shotgun Inexperience)",12226,1,0,-2143288829,1
27298,27298,4,4,"Nano Crystal (Shotgun Proficiency)",12226,1,0,-2143288829,1
27299,27299,17,17,"Nano Crystal (Sloth)",12226,1,0,-2143288829,1
27300,27300,10,10,"Nano Crystal (Sneak Attack Expertise)",12226,1,0,-2143288829,1
27301,27301,14,14,"Nano Crystal (Sneak Attack Incompetence)",12226,1,0,-2143288829,1
27302,27302,7,7,"Nano Crystal (Sneak Attack Inexperience)",12226,1,0,-2143288829,1
27303,27303,4,4,"Nano Crystal (Sneak Attack Proficiency)",12226,1,0,-2143288829,1
27304,27304,7,7,"Nano Crystal (Stamina Boost)",12228,1,0,-2143288829,1
27305,27305,7,7,"Nano Crystal (Strength Boost)",12228,1,0,-2143288829,1
27308,27308,4,4,"Nano Crystal (Swiftness)",12226,1,0,-2143288829,1
