# Version: 18.08.54.01
id,nano_id,disc_id,use_id,name,ncu,nanocost,school,strain,duration,attack,recharge,range,initskill,froob_friendly
26359,26486,0,,"Augment Stamina",2,25,2,33,120000,200,50,15,0,1
26360,26487,0,,"Augment Strength",2,25,2,34,120000,200,50,15,0,1
26361,26488,0,,"BioMet Expertise",4,40,4,35,180000,210,50,20,0,1
26362,26489,0,,"Nano Skills Incompetence",20,250,1,36,3000,250,100,15,0,1
26363,26490,0,,"BioMet Inexperience",2,25,4,36,30000,220,80,15,0,1
26364,26491,0,,"BioMet Proficiency",2,25,4,35,180000,0,50,15,0,1
26365,26492,0,,"Bot Mass Migration",2,60,2,0,0,210,110,8,0,1
26366,26493,0,,"Bot Migration",2,35,2,0,0,150,100,8,0,1
26367,26494,0,,"Bow Expertise",4,40,4,37,180000,210,50,20,0,1
26368,26495,0,,"Bow Incompetence",4,40,4,38,30000,230,90,20,0,1
26369,26496,0,,"Bow Inexperience",2,25,4,38,30000,220,80,15,0,1
26370,26478,0,,"Assault Rifle Expertise",4,40,4,27,180000,210,50,20,0,1
26372,26499,0,,"Bow Special Attack Incompetence",5,40,4,40,30000,240,100,20,0,1
26373,26500,0,,"Bow Special Attack Inexperience",3,25,4,40,30000,230,80,15,0,1
26374,26501,0,,"Bow Special Attack Proficiency",2,25,4,39,180000,200,50,15,0,1
26375,26502,0,,"Brawl Expertise",4,40,4,41,180000,210,50,20,0,1
26376,26503,0,,"Melee Special Attacks Incompetence",20,250,1,42,3000,250,100,15,0,1
26377,26504,0,,"Brawl Inexperience",3,25,4,42,30000,230,80,15,0,1
26378,26505,0,,"Brawl Proficiency",2,25,4,41,180000,200,50,15,0,1
26379,26506,0,,"Breaking and Entering Expertise",4,40,4,43,180000,210,50,20,0,1
26380,26507,0,,"Breaking and Entering Proficiency",2,25,4,43,180000,200,50,15,0,1
26381,26508,0,,"Burst Expertise",4,40,4,44,180000,210,50,20,0,1
26382,26509,0,,"Burst Incompetence",5,40,4,45,30000,240,100,20,0,1
26383,26510,0,,"Burst Inexperience",3,25,4,45,30000,230,80,15,0,1
26384,26511,0,,"Burst Proficiency",2,25,4,44,180000,200,50,15,0,1
26387,26514,0,,"Chemistry Expertise",4,40,4,47,180000,210,50,20,0,1
26388,26515,0,,"Chemistry Proficiency",2,25,4,47,180000,200,50,15,0,1
26389,26516,0,,"Adventuring Expertise",4,40,4,48,180000,210,50,20,0,1
26390,26682,0,,"Adventuring Proficiency",2,25,4,48,180000,200,50,15,0,1
26394,26498,0,,"Bow Special Attack Expertise",4,40,4,39,180000,210,50,20,0,1
26395,26552,0,,"Energy Melee Proficiency",2,25,4,61,180000,200,50,15,0,1
26396,26523,0,,"Computer Literacy Proficiency",2,25,4,50,180000,200,50,15,0,1
26397,26524,0,,"Concealment Expertise",4,40,4,51,180000,210,50,20,0,1
26398,26525,0,,"Concealment Proficiency",2,25,4,51,180000,200,50,14,0,1
26399,26526,0,,"Dimach Incompetence",5,40,4,52,30000,240,100,20,0,1
26400,26527,0,,"Dimach Inexperience",3,25,4,52,30000,230,80,15,0,1
26401,26528,0,,"Diminish Agility",2,25,2,53,30000,220,80,10,0,1
26402,26529,0,,"Diminish Intelligence",2,25,2,54,30000,220,80,10,0,1
26403,26530,0,,"Diminish Psychic",2,25,2,55,30000,220,80,10,0,1
26404,26531,0,,"Diminish Sense",2,25,2,56,30000,220,80,10,0,1
26405,26532,0,,"Diminish Stamina",2,25,2,57,30000,220,80,10,0,1
26406,26533,0,,"Diminish Strength",2,25,2,58,30000,220,80,10,0,1
26407,26534,0,,"Disarm Traps Expertise",4,40,4,59,180000,210,50,20,0,1
26408,26535,0,,"Disarm Traps Proficiency",2,25,4,59,180000,200,50,15,0,1
26412,26539,0,,"Drain Agility",4,45,2,53,30000,250,100,12,0,1
26413,26540,0,,"Drain Intelligence",4,45,2,54,30000,250,100,12,0,1
26414,26541,0,,"Drain Abilities",12,250,1,55,3000,250,100,15,0,1
26415,26542,0,,"Drain Sense",4,45,2,56,30000,250,100,12,0,1
26416,26543,0,,"Drain Stamina",4,45,2,57,30000,250,100,12,0,1
26417,26544,0,,"Drain Strength",4,45,2,58,30000,250,100,12,0,1
26418,26545,0,,"Ego Pummel",5,58,4,0,0,200,600,12,0,1
26420,26547,0,,"Electrical Engineering Expertise",4,40,4,60,180000,210,50,20,0,1
26421,26548,0,,Enmity,10,121,4,0,0,200,600,35,0,1
26422,26549,0,,"Energy Melee Expertise",4,40,4,61,180000,210,50,20,0,1
26423,26550,0,,"Energy Melee Incompetence",2,40,4,62,30000,230,90,20,0,1
26424,26551,0,,"Energy Melee Inexperience",4,25,4,62,30000,220,80,15,0,1
26425,26522,0,,"Computer Literacy Expertise",4,40,4,50,180000,210,50,20,0,1
26426,26467,0,,"Piercing Proficiency",2,25,4,101,180000,200,50,15,0,1
26428,26555,0,,"LR Energy Weapon Expertise",4,40,4,64,180000,210,50,20,0,1
26429,26556,0,,"LR Energy Weapon Incompetence",4,40,4,65,30000,230,90,20,0,1
26430,26557,0,,"LR Energy Weapon Inexp",2,25,4,65,30000,220,80,15,0,1
26431,26558,0,,"LR Energy Weapon Proficiency",2,25,4,64,180000,200,50,15,0,1
26432,26559,0,,"Fast Attack Expertise",4,40,4,66,180000,210,50,20,0,1
26433,26560,0,,"Fast Attack Incompetence",5,40,4,67,30000,240,100,20,0,1
26434,26561,0,,"Fast Attack Inexperience",3,25,4,67,30000,230,80,15,0,1
26435,26562,0,,"Fast Attack Proficiency",2,25,4,66,180000,200,50,15,0,1
26437,26564,0,,"Field Quantum Physics Expertise",4,40,4,68,180000,210,50,20,0,1
26438,26565,0,,"Field Quantum Physics Proficiency",2,25,4,68,180000,200,50,15,0,1
26441,26568,0,,"First Aid Expertise",4,40,4,70,180000,210,50,20,0,1
26442,26569,0,,"First Aid Proficiency",2,25,4,70,180000,200,50,15,0,1
26443,26570,0,,"Fling Shot Expertise",4,40,4,71,180000,210,50,20,0,1
26444,26571,0,,"Fling Shot Incompetence",5,40,4,72,30000,240,100,20,0,1
26445,26572,0,,"Fling Shot Inexperience",3,25,4,72,30000,230,80,15,0,1
26446,26573,0,,"Fling Shot Proficiency",2,25,4,71,180000,200,50,15,0,1
26447,26574,0,,"Full Auto Expertise",4,40,4,73,180000,210,50,20,0,1
26448,26575,0,,"Full Auto Incompetence",5,40,4,74,30000,240,100,20,0,1
26449,26576,0,,"Full Auto Inexperience",3,25,4,74,30000,230,80,15,0,1
26450,26577,0,,"Full Auto Proficiency",2,25,4,73,180000,200,50,15,0,1
26451,26578,0,,"Heavy Weapons Expertise",4,40,4,75,180000,210,50,20,0,1
26452,26680,0,,"Heavy Weapons Incompetence",4,40,4,76,30000,230,90,20,0,1
26453,26580,0,,"Heavy Weapons Inexperience",2,25,4,76,30000,220,80,15,0,1
26454,26581,0,,"Heavy Weapons Proficiency",2,25,4,75,180000,220,50,15,0,1
26455,26582,0,,"Piercing Expert",4,40,4,101,180000,210,50,20,0,1
26456,26583,0,,"Piercing Incompetence",4,40,4,102,30000,230,90,20,0,1
26457,26584,0,,"Piercing Inexperience",2,25,4,102,30000,220,80,15,0,1
26465,26681,0,,"Minor Healing",1,15,2,0,0,151,100,12,0,1
26466,26683,0,,Healing,2,25,2,0,0,186,106,15,0,1
26695,28742,0,,"Quick Heal",1,16,2,951,0,275,100,20,0,1
26696,28751,146810,,"Team Quick Heal",2,29,2,952,0,252,100,20,0,1
26698,28749,146808,,"Team Free Movement",14,100,4,1034,0,100,100,15,0,1
26702,28745,146807,,"Precision of the Hunter",47,567,4,198,1440000,100,100,30,0,1
26703,28743,146794,,"Robust Treatment",42,488,4,190,1440000,472,50,15,0,1
26704,28744,146804,,"Survival Aid",11,119,4,190,1440000,272,50,15,0,1
26705,28752,146814,,"Terrain Knowledge",4,43,4,150,1440000,100,100,15,0,1
26706,27222,0,,"Leaden Feet",2,25,4,0,30000,230,90,15,0,1
26707,27223,0,,Lethargy,20,250,1,197,3000,250,100,15,0,1
26708,27220,0,,"Throwing Knife Inexperience",2,25,4,82,30000,220,80,15,0,1
26709,27219,0,,"Throwing Knife Incompetence",4,40,4,82,30000,230,90,20,0,1
26710,27212,0,,"Grenade Inexperience",2,25,4,78,30000,220,80,15,0,1
26711,27211,0,,"Grenade Incompetence",4,40,4,78,30000,230,90,20,0,1
27068,27198,0,,"1H Edged Weapon Expertise",4,40,4,21,180000,210,50,20,0,1
27069,27199,0,,"Melee Weapons Incompetence",20,250,1,22,3000,250,100,15,0,1
27070,27200,0,,"1H Edged Weapon Inexperience",2,25,4,22,30000,220,80,15,0,1
27071,27201,0,,"1H Edged Weapon Proficiency",2,25,4,21,180000,200,50,15,0,1
27072,27202,0,,"2H Blunt Weapon Expertise",4,40,4,23,180000,210,50,20,0,1
27073,27203,0,,"2H Blunt Weapon Incompetence",4,40,4,24,30000,230,90,20,0,1
27074,27204,0,,"2H Blunt Weapon Inexperience",2,25,4,24,30000,220,80,15,0,1
27075,27205,0,,"2H Blunt Weapon Proficiency",2,25,4,23,180000,200,50,15,0,1
27076,27206,0,,"2H Edged Weapon Expertise",4,40,4,25,180000,210,50,20,0,1
27077,27207,0,,"2H Edged Weapon Incompetence",4,40,4,26,30000,230,90,20,0,1
27078,27208,0,,"2H Edged Weapon Inexperience",2,25,4,26,30000,220,80,15,0,1
27079,27209,0,,"2H Edged Weapon Proficiency",2,25,4,25,180000,200,50,15,0,1
27080,27265,0,,"Pistol Proficiency",2,25,4,103,180000,200,50,15,0,1
27081,27210,0,,"Grenade Expertise",4,40,4,77,180000,210,50,20,0,1
27082,27213,0,,"Grenade Proficiency",2,25,4,77,180000,200,50,15,0,1
27085,27216,0,,"Improve Health",3,25,2,80,120000,200,110,8,0,1
27086,27217,0,,"Intelligence Boost",3,45,2,30,120000,220,60,12,0,1
27087,27218,0,,"Throwing Knife Expertise",4,40,4,81,180000,210,50,20,0,1
27088,27221,0,,"Throwing Knife Proficiency",2,25,4,81,180000,200,50,15,0,1
27090,27225,0,,"Submachine Gun Expertise",4,40,4,83,180000,210,50,20,0,1
27091,27226,0,,"Submachine Gun Incompetence",4,40,4,84,30000,230,90,20,0,1
27092,27227,0,,"Submachine Gun Inexperience",2,25,4,84,30000,220,80,15,0,1
27093,27228,0,,"Submachine Gun Proficiency",2,25,4,83,180000,200,50,15,0,1
27094,27229,0,,"Martial Arts Expertise",4,40,4,85,180000,210,50,20,0,1
27095,27230,0,,"Martial Arts Incompetence",4,40,4,86,30000,230,90,20,0,1
27096,27231,0,,"Martial Arts Inexperience",2,25,4,86,30000,220,80,15,0,1
27097,27232,0,,"Martial Arts Proficiency",2,25,4,85,180000,200,50,15,0,1
27098,27233,0,,"MatCrea Expertise",4,40,4,87,180000,210,50,20,0,1
27099,27234,0,,"MatCrea Incompetence",4,40,4,88,30000,230,90,20,0,1
27100,27235,0,,"MatCrea Inexperience",2,25,4,88,30000,220,80,15,0,1
27101,27236,0,,"MatCrea Proficiency",2,25,4,87,180000,200,50,15,0,1
27102,27237,0,,"SpaceTime Expertise",4,40,4,89,180000,210,50,20,0,1
27103,27238,0,,"SpaceTime Incompetence",4,40,4,90,30000,230,90,20,0,1
27104,27239,0,,"SpaceTime Inexperience",2,25,4,90,30000,220,80,15,0,1
27105,27240,0,,"SpaceTime Proficiency",2,25,4,89,180000,200,50,15,0,1
27106,27241,0,,"MatMet Expertise",4,40,4,91,180000,210,50,20,0,1
27107,27242,0,,"MatMet Incompetence",4,40,4,92,30000,230,90,20,0,1
27108,27243,0,,"MatMet Inexperience",2,25,4,92,30000,220,80,15,0,1
27109,27244,0,,"MatMet Proficiency",2,25,4,91,180000,210,50,15,0,1
27110,27245,0,,"Mechanical Engineering Expertise",4,40,4,93,180000,210,50,20,0,1
27111,27246,0,,"Mechanical Engineering Proficiency",2,25,4,93,180000,200,50,15,0,1
27112,0,0,,"Melee Impact Shield",6,25,3,94,120000,540,310,10,0,1
27114,0,0,,"Nano Bolt",6,53,1,0,0,52,319,14,0,1
27115,27250,0,,"Nano Programming Expertise",4,40,4,95,180000,210,50,20,0,1
27116,27251,0,,"Nano Programming Proficiency",2,25,4,95,180000,200,50,15,0,1
27118,27253,0,,"Nano Restoration",4,25,5,97,120000,170,100,12,0,1
27121,27256,0,,"Deflect Expertise",4,40,4,98,180000,210,0,20,0,1
27122,27257,0,,"Parry Incompetence",5,40,4,99,30000,240,100,20,0,1
27123,27258,0,,"Parry Inexperience",3,25,4,99,30000,230,80,15,0,1
27124,27259,0,,"Deflect Proficiency",2,25,4,98,180000,200,50,15,0,1
27125,27260,0,,"Pharmaceutical Expertise",4,40,4,100,180000,210,50,20,0,1
27126,27261,0,,"Pharmaceutical Proficiency",2,25,4,100,180000,200,50,15,0,1
27127,27262,0,,"Pistol Expertise",4,40,4,103,180000,210,50,20,0,1
27128,27263,0,,"Ranged Weapons Incompetence",20,250,1,104,3000,250,100,15,0,1
27129,27264,0,,"Pistol Inexperience",2,25,4,104,30000,220,80,15,0,1
27131,0,0,,"Poison Screen",6,25,3,105,120000,540,310,10,0,1
27134,27270,0,,"Psychic Boost",3,45,2,31,120000,220,60,12,0,1
27135,27271,0,,"Psychology Expertise",4,40,4,107,180000,210,50,20,0,1
27136,27272,0,,"Psychology Proficiency",2,25,4,107,180000,200,50,15,0,1
27137,27273,0,,"PsyMod Expertise",4,40,4,108,180000,210,50,20,0,1
27138,27274,0,,"PsyMod Incompetence",4,40,4,109,30000,230,90,20,0,1
27139,27275,0,,"PsyMod Inexperience",2,25,4,109,30000,220,80,15,0,1
27140,27276,0,,"PsyMod Proficiency",2,25,4,108,180000,200,50,15,0,1
27141,27277,0,,Quickness,6,55,4,149,180000,210,50,20,0,1
27142,27278,0,,"Radiation Shield",1,25,3,110,120000,540,310,10,0,1
27143,27279,0,,"Radiation Ward",3,45,3,110,120000,710,350,15,0,1
27144,27280,0,,Regeneration,5,25,2,111,120000,170,100,10,0,1
27146,27282,0,,"Rifle Expertise",4,40,4,112,180000,210,50,20,0,1
27147,27283,0,,"Rifle Incompetence",4,40,4,113,30000,230,90,20,0,1
27148,27284,0,,"Rifle Inexperience",2,25,4,113,30000,220,80,15,0,1
27149,27285,0,,"Rifle Proficiency",2,25,4,112,180000,200,50,15,0,1
27150,27286,0,,"Riposte Expertise",4,40,4,114,180000,210,50,20,0,1
27151,27287,0,,"Riposte Incompetence",5,40,4,115,30000,240,100,20,0,1
27152,27288,0,,"Riposte Inexperience",3,25,4,115,30000,230,80,15,0,1
27153,27289,0,,"Riposte Proficiency",2,25,4,114,180000,200,50,15,0,1
27154,27290,0,,"Sense Boost",3,45,2,32,120000,220,60,12,0,1
27155,27291,0,,"Sense Imp Expertise",4,40,4,116,180000,210,50,20,0,1
27156,27292,0,,"Sense Imp Incomp",4,40,4,117,30000,230,90,20,0,1
27157,27293,0,,"Sense Imp Inexperience",2,25,4,117,30000,220,80,15,0,1
27158,27294,0,,"Sense Imp Proficiency",2,25,4,116,180000,200,50,15,0,1
27159,27295,0,,"Shotgun Expertise",4,40,4,118,180000,210,50,20,0,1
27160,27296,0,,"Shotgun Incompetence",4,40,4,119,30000,230,90,20,0,1
27161,27297,0,,"Shotgun Inexperience",2,25,4,119,30000,220,80,15,0,1
27162,27298,0,,"Shotgun Proficiency",2,25,4,118,180000,200,50,15,0,1
27163,27299,0,,Sloth,6,25,4,0,30000,240,80,15,0,1
27164,27300,0,,"Sneak Attack Expertise",4,40,4,120,180000,210,50,20,0,1
27165,27301,0,,"Sneak Attack Incompetence",5,40,4,121,30000,240,100,20,0,1
27166,27302,0,,"Sneak Attack Inexperience",3,25,4,121,30000,230,80,15,0,1
27167,27303,0,,"Sneak Attack Proficiency",2,25,4,120,180000,200,50,15,0,1
27168,27304,0,,"Stamina Boost",3,45,2,33,120000,220,60,12,0,1
27169,27305,0,,"Strength Boost",3,45,2,34,120000,220,60,12,0,1
27172,27308,0,,Swiftness,2,25,4,149,180000,200,50,15,0,1
27175,27311,0,,"Treatment Expertise",4,40,4,125,180000,210,50,20,0,1
27176,27312,0,,"Treatment Proficiency",2,25,4,125,180000,200,50,15,0,1
27177,27313,0,,"Tutoring Expertise",4,40,4,126,180000,210,50,20,0,1
27178,27314,0,,"Tutoring Proficiency",2,25,4,126,180000,200,50,15,0,1
27188,27324,0,,"Weapon Augmentation",3,40,5,4,120000,200,50,12,0,1
27189,27325,0,,"Weapon Enhancement",6,60,5,4,120000,220,50,12,0,1
27190,27326,0,,"Weapon Smithing Expertise",4,40,4,134,180000,210,50,20,0,1
27191,27197,0,,"Weapon Smithing Proficiency",2,25,4,134,180000,200,50,15,0,1
27707,27708,0,,"Electrical Engineering Proficiency",2,25,4,60,180000,200,50,15,0,1
27803,0,147092,,"Blood Circle",8,0,2,0,60000,0,0,20,0,1
27804,27805,147092,,"Blood Circle",8,78,2,0,0,259,278,16,0,1
28592,28842,147895,,"Vulcan Flechette",35,170,1,0,0,356,300,25,0,1
28593,28796,147668,,"Barrage of Fire",34,114,1,0,0,319,128,25,0,1
28594,28797,147674,,"Blaze of Hephaestos",52,160,1,0,0,361,148,25,0,1
28595,28798,147675,,Blight,11,44,1,8,4500,319,110,21,0,1
28596,28799,147676,,"Boil Blood",47,473,1,8,4500,384,142,21,0,1
28597,28800,147683,,"Burning Bones",56,298,1,0,0,384,390,30,0,1
28598,28801,147689,,"Chaos Lights",43,194,1,0,0,139,354,25,0,1
28599,28802,147694,,"Circle of Winter",16,45,1,0,0,289,114,25,0,1
28600,28803,147702,,"Compacted Neutron Missile",51,267,1,0,3000,376,363,30,0,1
28601,28804,147711,,"Corrosive Spray",4,12,1,0,0,126,258,25,0,1
28602,28805,147713,,Corruption,2,20,1,8,4500,303,102,21,0,1
28603,28806,147720,,"Dark Movement",28,268,4,144,1440000,360,50,15,0,1
28604,28807,147732,,"Electrifying Containment",57,359,1,0,573,385,392,30,0,1
28605,28808,147736,,"Energy Projectile",17,100,1,0,0,500,252,25,0,1
28606,28809,147745,,"Eye of Light",52,455,1,8,4500,403,151,21,0,1
28607,28810,147754,,"Fire Snake",9,31,1,0,0,276,107,25,0,1
28608,28811,147755,,"Fire Stream",3,15,1,0,0,327,208,25,0,1
28609,28812,147760,,"Freezing Surge",30,135,1,0,0,136,327,25,0,1
28610,28813,147764,,"Furious Assault",26,204,1,0,234,680,274,25,0,1
28611,28814,147782,,"Hot Foot",5,17,1,0,0,328,211,25,0,1
28612,28815,0,,"Ice Flechette",1,8,1,0,6000,125,251,25,0,1
28613,28816,147786,,"Internal Combustion",50,272,1,0,0,430,360,30,0,1
28614,28817,147787,,"Invasive Presence",22,77,1,0,0,297,118,25,0,1
28616,28819,147791,,"Izgimmer's Enveloping Flame",56,532,1,0,2500,700,480,35,0,1
28618,28821,147792,,"Izgimmer's Last Word",67,1079,1,0,0,2000,800,35,0,1
28619,28822,147793,,"Izgimmer's Little Nuke",57,635,1,0,0,800,850,25,0,1
28620,28823,147796,,"Kel's Neutronium Plaything",66,460,1,0,0,600,750,25,0,1
28621,28824,147804,,"Lightning Strike",25,110,1,0,0,347,270,25,0,1
28622,28825,147819,,"Microblade Whirlwind",15,102,1,8,6000,328,114,25,0,1
28623,28826,147824,,"Molecular Deconstruction",57,306,1,0,0,400,394,30,0,1
28625,28828,147831,,"Neural Stunner",47,226,1,147,405,127,600,30,0,1
28626,28829,147837,,"Particle Accelerator",38,170,1,0,0,138,344,25,0,1
28627,28830,147843,,"Phoenix Swarm",12,85,1,0,0,335,233,25,0,1
28628,28831,147846,,"Plasma Lights",16,66,1,0,0,131,293,25,0,1
28629,28832,147847,,"Plasma Swirl",24,64,1,0,0,301,120,25,0,1
28630,28833,147848,,"Poison Missile",10,36,1,0,0,128,275,25,0,1
28631,28834,147854,,"Radiation Pulse",2,8,1,0,0,263,101,25,0,1
28632,28835,147856,,"Radioactive Cloud",31,114,1,0,0,314,126,22,0,1
28633,28836,147864,,Shockball,5,12,1,0,0,268,104,25,0,1
28634,28837,147865,,"Shockwave Slash",21,85,1,0,0,132,303,25,0,1
28635,28838,147867,,"Shrapnel Burst",38,104,1,0,0,325,131,25,0,1
28636,28839,147870,,"Slime Cascade",29,181,1,8,5400,351,126,21,0,1
28637,28840,147888,,Tremor,54,272,1,0,0,369,152,10,0,1
28638,28841,147894,,"Volcanic Eruption",56,177,1,0,0,372,154,20,0,1
28639,28795,147652,,"Abyssal Flames",11,45,1,0,0,334,230,25,0,1
28640,28794,147271,,"Wrack and Ruin",55,1512,1,6,12000,700,500,25,0,1
28641,28754,147088,,"Biotoxin MK I",9,52,1,6,6000,315,108,25,0,1
28642,28755,147089,,"Biotoxin MK II",14,111,1,6,6000,326,113,25,0,1
28643,28756,147090,,"Biotoxin MK III",23,274,1,6,8000,341,120,25,0,1
28644,28757,147091,,"Biotoxin MK IV",29,231,1,6,6000,353,126,25,0,1
28645,28758,147093,,"Bloom of Health",40,198,2,0,0,296,388,20,0,1
28648,28761,147104,,"Close Wounds",28,170,2,0,0,284,351,20,0,1
28649,28762,147105,,"Colossal Health",31,741,2,0,1440000,321,484,20,0,1
28650,28763,147107,,"Complete Healing",1,467,2,282,0,100,200,30,0,1
28651,28764,147115,,"Cellular Restoration",25,479,2,203,1440000,100,100,20,0,1
28654,28767,147129,,"Doctor's Grace",3,33,2,0,0,253,258,20,0,1
28657,28770,147138,,"Enhanced First Aid",5,46,4,190,1440000,224,50,15,0,1
28658,28771,147140,,Enlarge,12,121,2,156,1440000,274,50,15,0,1
28659,28772,0,,"Epsilon Purge",46,400,2,825,0,400,100,20,0,1
28660,28773,147141,,"Exaggerated Health",22,532,2,0,1440000,314,458,20,0,1
28662,28775,147148,,"Gargantuan Health",42,1070,2,0,1440000,335,538,20,0,1
28663,28776,147167,,"Natural Healing",10,229,2,203,1440000,100,100,20,0,1
28665,28778,0,,"Improved Healing",1,14,2,0,0,250,250,20,0,1
28667,28780,147173,,"Inflict Harm",3,13,1,0,0,265,102,25,0,1
28669,28782,147175,,"Instinctive Control",35,100,4,152,1440000,100,100,20,0,1
28671,28784,147208,,"Nano Repulsor",21,150,3,204,1440000,100,100,20,0,1
28672,28785,147218,,"Premium Cover",12,98,2,0,0,264,292,20,0,1
28674,28787,147238,,"Specialist Treatment",11,106,4,190,1440000,262,50,15,0,1
28675,28788,147243,,"Superior First Aid",37,380,4,190,1440000,416,50,15,0,1
28676,28789,147244,,"Superior Healing",10,89,2,0,0,262,286,20,0,1
28677,28790,147252,,"Surgeon's Touch",17,128,2,0,0,271,312,20,0,1
28681,28753,147086,,"Bind Wounds",8,73,2,0,0,259,276,20,0,1
28862,28913,147647,,Velocity,19,203,4,150,1440000,326,50,15,0,1
28866,28917,147567,,"Bad Blood",8,54,4,0,0,100,500,12,0,1
28868,28919,147569,,Cohort,5,250,3,0,1440000,250,1050,18,0,1
28869,28920,147572,,"Diamond Skin",44,723,3,3,1440000,332,410,20,0,1
28870,28921,147573,,"Dirty Fighter",11,116,4,154,1440000,270,50,15,0,1
28872,28923,147575,,"Elusive Target",12,132,4,144,1440000,282,50,15,0,1
28875,28926,147580,,"First Strike",30,322,4,152,1440000,388,50,15,0,1
28876,28927,147581,,"Fists of Fire",21,190,5,4,1440000,214,50,20,0,1
28878,28929,147588,,"Fleet Foot",26,275,4,144,1440000,364,50,16,0,1
28879,28930,147589,,"Form of Tessai",51,1013,3,3,1440000,374,444,1,0,1
28880,28931,147590,,"Four Fists of Kali",52,673,4,209,1440000,596,50,1,0,1
28881,28932,147591,,"Give Energy: 10",3,25,2,0,0,50,402,6,0,1
28882,28933,147592,,"Give Energy: 100",17,125,2,0,0,70,712,6,0,1
28883,28934,147593,,"Give Energy: 25",5,50,2,0,0,52,424,6,0,1
28884,28935,147594,,"Give Energy: 50",9,75,2,0,0,58,520,6,0,1
28885,28936,147595,,"Give Life: 10",3,20,2,0,0,50,402,6,0,1
28886,28937,147596,,"Give Life: 100",16,85,2,0,0,70,712,6,0,1
28887,28938,147597,,"Give Life: 25",5,40,2,0,0,52,424,6,0,1
28888,28939,147598,,"Give Life: 50",9,60,2,0,0,58,520,6,0,1
28890,28941,147610,,Horde,5,140,4,0,1440000,1200,460,18,0,1
28892,28943,147612,,"Iron Fist",2,28,5,4,1440000,201,50,20,0,1
28894,28945,147616,,"Limbo Mastery",6,90,4,0,1440000,206,50,15,0,1
28895,28946,147619,,"Martial Arts Mastery",16,170,4,209,1440000,308,50,15,0,1
28898,28949,147623,,"Muscle Booster",22,237,2,156,1440000,344,50,15,0,1
28899,28950,147624,,"Muscle Stim",7,81,2,156,1440000,246,50,14,0,1
28901,28952,147626,,"Spiritual Harmony",2,53,2,951,0,152,200,20,0,1
28903,28954,147627,,"Reduce Inertia",42,486,4,144,1440000,470,50,12,0,1
28904,28955,147629,,"Return Attack",45,526,4,155,1440000,510,50,16,0,1
28905,28956,147630,,"Rubber Skin",8,144,3,3,1440000,224,320,20,0,1
28907,28958,147634,,"Steel Skin",24,397,3,3,1440000,269,357,20,0,1
29091,29092,0,,"Body Boost",1,11,2,151,1440000,300,400,20,0,1
29100,29102,147996,,"Apprentice: Weapon Smithing",11,111,4,176,1440000,266,50,15,0,1
29101,29103,147995,,"Apprentice: Pharmaceuticals",11,106,4,175,1440000,262,50,15,0,1
29113,29192,145064,,"Symbol Helper",4,46,4,210,1440000,224,50,15,0,1
