id,name,answer,keywords,playfield_id,xcoord,ycoord
249,"General Serverus","Cyborg Barracks, Greater Tir County",,647,3232,2340
250,"General Vivyan","Perpetual Wastelands",,570,2120,1760
251,"Genghis Pan","Mongol Meat, Tir",,0,0,0
252,George,"Greater Tir County",,647,3200,2300
253,"Gianna Molla/Perugino","Stret West Bank, East Last Ditch area","Quest Wedding Ring Omni-Tek Trash Can ",790,1285,2980
254,"Gilbert Glove","Newland Desert","AI Quest Social Clothing Cybernetic Fingertips Combined Armor",565,3110,550
255,Gnuff,"in the Will to Fight dungeon, in the center at 1111 x 833. He drops a Crystal of Rift Power, which will give you a random buff, like when you open a shrine.",,0,0,0
256,"Good Time Party Mixer","Newland City. And one for Clans is located at Reets Retreat",,566,463,339
257,"Gouger Scorpiod","Pleasant Meadows (within a fairly large area of)",Bronto,630,2188,1938
258,"Greasy Joints","Newland, Fixer Grid 2","Greasy Gears Jints Joings Joint Joints Now Jones Greasyjoints Greazy Greazyjoints",565,890,950
259,"Greater Omni Forest","in the southeast part of the world. No grid or whompa.","Greater Omni Foreset Forest Forrest Greateromniforest",717,0,0
260,"Greater Tir County Hotsprings","Greater Tir County","Hot spring Springs Hotsprings",647,2850,1650
261,"Greater Tir County","in the northeast part of the world. Grid access in Tir City at 555 x 527 and a whompa in Tir City at 475 x 466 to Newland City. To the south of Greater Tir County is Tir County, west is Varmint Woods, no zones avail to north or east.",Greatertircounty,647,0,0
262,Gridman,"at Fixer Grid, at the top","Grid Man Gridman",4107,0,0
263,"Ground Chief Vortexx",Xan,"Vortex Vort",6013,525,305
264,"Guardian Of Dissent","North East of Dark Marshes, has low spawn rate and drop rate, and spawns in multiple locations",,4005,2180,890
265,"Guardian Of Tomorrow","Temple Of The Three Winds, Greater Tir County",,647,0,0
266,"Harry's Outpost","Lush Fields. You can grid to Harry's or take the west exit from Omni-Trade. Or take the teleportal from the west side of Pleasant Meadows.","Harries Harry's Harry;s Harrys Grid Outpost",695,2980,3125
267,"Harry, Himself","Harry's Outpost, Lush Fields",,695,0,0
268,Hawqana,"Inferno, 225 Incarnator",,4605,3620,2222
269,Hebial,"Inferno, Frontier",Hebiel,4605,2714,2241
270,"Herbalist Geralt","Rhinoman Village, Newland Desert","AI Quest Social Clothing",565,2815,1680
271,"Hezak The Immortal","Inner Sanctum, 3rd Floor",,0,0,0
272,"High Commander Brock","Tir, SE OP",,646,2861,738
273,"High Commander Fielding","Wailing Wastes, NE corner",,551,2700,3500
274,"High Commander Fredrickson","Wailing Wastes, NE corder","commander frederickson",551,0,0
275,"High Commander Hoover","Wailing Wastes, NE corner",,551,2700,3500
276,"High Commander Jameson","The Reck","commander jameson",750,1311,1472
277,"High Commander Riker","The Reck","commander riker",750,676,314
278,"Holes In The Wall","in the west central part of the world. No grid access and no whompa. North of Holes in the Wall is Athen Shire, south and east is Stret West bank, Borealis to the west.",,791,0,0
279,"Hollow Island Weed","Hollow Island",,605,0,0
280,Hope,"a neutral city in Mort. It has whompas to Stret West Bank and Newland Desert at 2888 x 1909",,560,2888,1909
281,"Horatio Campbell","Omni Trade",,710,300,200
282,"Howling Minx","Elysium, Near Ergo & Fallen Forest",,0,0,0
283,"Howling Predator","Elysium, South of Remnans",,0,0,0
284,ICC,"Andromeda. Whompas to ICC come from Newland, Omni Trade and Tir.",,655,3250,900
285,"Ian Warr","Eastern Fouls Plain",,620,720,1380
286,"Iced Slither","Adonis, Abyss N",,4873,1398,3470
287,"Ida Schuller",Omni-Trade,,710,0,0
288,"Imelda Dane","Newland City, Neuts r' Us club","AI Quest Social Clothing Combined Armor",566,447,340
289,"Incandescent Spirit","Inferno, NW of Yuttos",,4005,2408,1347
290,"Incarnator QL225","","",4605,3390,1998
291,"Incarnator QL255","","",4605,3224,3068
292,"Inferno Redeemed Garden Access: Yutto Marshes Lord Galahad Statue",Inferno,"Redeemed Lord Galahad Statue Garden of",4605,2625,1190
293,"Inferno Unredeemed Garden Access: Dark Marshes Lord Mordeth Statue",Inferno,"Lord Mordeth Statue Garden of Unredeemed Inferno Access",4605,2050,715
294,"Inferno Unredeemed Garden Access: Inferno Barracks Lord Mordeth Statue",Inferno,"Lord Mordeth Statue Garden of Unredeemed Inferno Access Barracks",4605,3021,975
295,"Inferno Unredeemed Garden Access: Unredeemed Yutto Marshes Lord Mordeth Statue",Inferno,"Lord Mordeth Statue Garden of Unredeemed Inferno Access Barracks",4605,2555,1165
296,"Inferno Unredeemed Sanctuary Access: Oasis",Inferno,"Lord Mordeth's Sanctuary Statue Unredeemed Inferno",4605,2120,1990
297,"Inferno Unredeemed Sanctuary Access: Sorrow Outlook",Inferno,"Lord Mordeth's Sanctuary Statue Unredeemed Inferno",4605,1385,1525
298,"Inferno Unredeemed Sanctuary Access: Xark's Lair",Inferno,"Lord Mordeth's Sanctuary Statue Unredeemed Inferno",4605,3135,1895
299,"Information Officer Stiller","Avalon, main OTAF base",,505,1800,1288
300,"Iniquitous Spirit","Adonis, S",,4872,1624,499
301,"Inobak the Gelid","Inner Sanctum, 3rd Floor",,0,0,0
302,"Instanced Pandemonium","Team Instance in Pandemonium near the portal to Inferno",ipande,4328,145,34
303,"Inventor Bobic","Tir County",,646,1910,1398
304,"Investigator Marciello","Newland Desert, near the Meetmedere grid","AI Quest Social Clothing Combined Armor Body Heat Pattern Analyzer.",565,1590,2820
