id,raid,category,ql,name,comment,multiloot,aoid
59,Mitaar,Symbiants,300,"Xan Left Hand Symbiant, Extermination Unit Beta","",1,
60,Mitaar,Symbiants,300,"Xan Left Hand Symbiant, Infantry Unit Beta","",1,
61,Mitaar,Symbiants,300,"Xan Left Hand Symbiant, Support Unit Beta","",1,
62,Mitaar,Symbiants,300,"Xan Left Wrist Symbiant, Artillery Unit Beta","",1,
63,Mitaar,Symbiants,300,"Xan Left Wrist Symbiant, Control Unit Beta","",1,
64,Mitaar,Symbiants,300,"Xan Left Wrist Symbiant, Extermination Unit Beta","",1,
65,Mitaar,Symbiants,300,"Xan Left Wrist Symbiant, Infantry Unit Beta","",1,
66,Mitaar,Symbiants,300,"Xan Left Wrist Symbiant, Support Unit Beta","",1,
67,Mitaar,Spirits,250,"Xan Brain Spirit of Computer Skill - Beta","",1,
68,Mitaar,Spirits,250,"Xan Brain Spirit of Offence - Beta","",1,
69,Mitaar,Spirits,250,"Xan Essence Brain Spirit - Beta","",1,
70,Mitaar,Spirits,250,"Xan Left Hand Spirit of Defence - Beta","",1,
71,Mitaar,Spirits,250,"Xan Left Hand Spirit of Strength - Beta","",1,
72,Mitaar,Spirits,250,"Xan Spirit of Left Wrist Defense - Beta","",1,
73,Mitaar,Spirits,250,"Xan Spirit of Left Wrist Strength - Beta","",1,
74,Mitaar,Spirits,250,"Xan Heart Spirit of Essence - Beta","",1,
75,Mitaar,Spirits,250,"Xan Heart Spirit of Knowledge - Beta","",1,
76,Mitaar,Spirits,250,"Xan Heart Spirit of Strength - Beta","",1,
77,Mitaar,Spirits,250,"Xan Heart Spirit of Weakness - Beta","",1,
78,Mitaar,Spirits,250,"Xan Spirit of Clear Thought - Beta","",1,
79,12Man,General,1,"Unknown Mixture","",1,
80,12Man,General,1,"A piece of cloth","",1,
81,12Man,General,300,"Base NCU - Type 00 (0/6)","",1,
82,12Man,General,300,"Nanodeck Activation Device","",1,
83,12Man,General,1,"Multi Colored Xan Belt Tuning Device","For TNH belts",1,
84,12Man,General,1,"Green Xan Belt Tuning Device","For S28 belt",1,
85,12Man,General,300,"Xan Weapon Upgrade Device","",1,
86,12Man,General,1,"Xan Defense Merit Board Base","",1,
87,12Man,General,1,"Xan Combat Merit Board Base","",1,
88,12Man,Symbiants,300,"All YesDrop Symbs","",1,
89,12Man,Symbiants,300,"Xan Ear Symbiant, Artillery Unit Beta","NODROP, right click to change prof requirement",1,
90,12Man,Symbiants,300,"Xan Thigh Symbiant, Artillery Unit Beta","NODROP, right click to change prof requirement",1,
91,12Man,Symbiants,300,"Xan Right Arm Symbiant, Artillery Unit Beta","",1,
92,12Man,Symbiants,300,"Xan Right Arm Symbiant, Control Unit Beta","",1,
93,12Man,Symbiants,300,"Xan Right Arm Symbiant, Extermination Unit Beta","",1,
94,12Man,Symbiants,300,"Xan Right Arm Symbiant, Infantry Unit Beta","",1,
95,12Man,Symbiants,300,"Xan Right Arm Symbiant, Support Unit Beta","",1,
96,12Man,Symbiants,300,"Xan Right Hand Symbiant, Artillery Unit Beta","",1,
97,12Man,Symbiants,300,"Xan Right Hand Symbiant, Control Unit Beta","",1,
98,12Man,Symbiants,300,"Xan Right Hand Symbiant, Extermination Unit Beta","",1,
99,12Man,Symbiants,300,"Xan Right Hand Symbiant, Infantry Unit Beta","",1,
100,12Man,Symbiants,300,"Xan Right Hand Symbiant, Support Unit Beta","",1,
101,12Man,Symbiants,300,"Xan Feet Symbiant, Artillery Unit Beta","",1,
102,12Man,Symbiants,300,"Xan Feet Symbiant, Control Unit Beta","",1,
103,12Man,Symbiants,300,"Xan Feet Symbiant, Extermination Unit Beta","",1,
104,12Man,Symbiants,300,"Xan Feet Symbiant, Infantry Unit Beta","",1,
105,12Man,Symbiants,300,"Xan Feet Symbiant, Support Unit Beta","",1,
106,12Man,Spirits,250,"All YesDrop Spirits","",1,
107,12Man,Spirits,250,"Xan Right Limb Spirit of Essence - Beta","",1,
108,12Man,Spirits,250,"Xan Right Limb Spirit of Strength - Beta","",1,
109,12Man,Spirits,250,"Xan Right Limb Spirit of Weakness - Beta","",1,
110,12Man,Spirits,250,"Xan Right Hand Defensive Spirit - Beta","",1,
111,12Man,Spirits,250,"Xan Right Hand Strength Spirit - Beta","",1,
112,12Man,Spirits,250,"Xan Spirit of Insight - Right Hand - Beta","",1,
113,12Man,Spirits,250,"Xan Spirit of Feet Defense - Beta","",1,
114,12Man,Spirits,250,"Xan Spirit of Feet Strength - Beta","",1,
115,12Man,Spirits,250,"Xan Spirit of Defense - Beta","",1,
116,12Man,Spirits,250,"Xan Spirit of Essence - Beta","",1,
117,12Man,Spirits,250,"Xan Spirit of Essence Whispered - Beta","",1,
118,12Man,Spirits,250,"Xan Spirit of Knowledge Whispered - Beta","",1,
119,12Man,Spirits,250,"Xan Spirit of Strength Whispered - Beta","",1,
120,12Man,"Profession Gems",1,"Brute's Gem",Enf,1,
121,12Man,"Profession Gems",1,"Builder's Gem",Eng,1,
122,12Man,"Profession Gems",1,"Dictator's Gem",Crat,1,
123,12Man,"Profession Gems",1,"Explorer's Gem",Adv,1,
124,12Man,"Profession Gems",1,"Hacker's Gem",Fix,1,
125,12Man,"Profession Gems",1,"Healer's Gem",Doc,1,
126,12Man,"Profession Gems",1,"Master's Gem",MA,1,
127,12Man,"Profession Gems",1,"Merchant's Gem",Trad,1,
128,12Man,"Profession Gems",1,"Protecter's Gem",Keep,1,
129,12Man,"Profession Gems",1,"Sniper's Gem",Agent,1,
130,12Man,"Profession Gems",1,"Spirit's Gem",Shade,1,
131,12Man,"Profession Gems",1,"Techno Wizard's Gem",NT,1,
132,12Man,"Profession Gems",1,"Warrior's Gem",Sol,1,
133,12Man,"Profession Gems",1,"Worshipper's Gem",MP,1,
134,"Sector 7",Misc,300,"Cell Templates","",1,
135,"Sector 7",Misc,300,"Mitochondria Samples","",1,
136,"Sector 7",Misc,300,"Plasmid Cultures","",1,
137,"Sector 7",Misc,1,"Power Core Mainboard","",1,
138,"Sector 7",Misc,1,"Power Core Stabilizer","",1,
139,"Sector 7",Misc,1,"Inactive Power Core","",1,
140,"Sector 7",Misc,200,"Basic Belt","",1,
141,"Sector 7",Misc,200,"Viral Belt Control Component","",1,
142,"Sector 7",Misc,200,"Viral Belt NCU Slots","",1,
143,"Sector 7",Misc,200,"Viral Belt Nanobot Power Unit","",1,
144,"Sector 7",Misc,1,"Kyr'Ozch Storage Box","",1,
145,"Sector 7",Misc,1,"Kyr'Ozch Storage Container","",1,
146,"Sector 7",NCU,200,"Active Viral CPU Upgrade","",1,
147,"Sector 7",NCU,200,"Active Viral Computer Deck Range Increaser","",1,
148,"Sector 7",NCU,200,"Active Viral NCU Coolant Sink","",1,
149,"Sector 7",NCU,150,"Viral Memory Storage Unit (Damage)","",1,
150,"Sector 7",NCU,200,"Passive Viral CPU Upgrade","",1,
151,"Sector 7",NCU,200,"Passive Viral Computer Deck Range Increaser","",1,
152,"Sector 7",NCU,200,"Passive Viral NCU Coolant Sink","",1,
153,"Sector 7",NCU,150,"Viral Memory Storage Unit (XP)","",1,
154,"Sector 7",Weapons,150,"Special Edition Kyr'Ozch Axe","",1,
155,"Sector 7",Weapons,150,"Special Edition Kyr'Ozch Cannon","",1,
156,"Sector 7",Weapons,150,"Special Edition Kyr'Ozch Carbine","",1,
157,"Sector 7",Weapons,150,"Special Edition Kyr'Ozch Crossbow","",1,
158,"Sector 7",Weapons,150,"Special Edition Kyr'Ozch Energy Pistol","",1,
159,"Sector 7",Weapons,150,"Special Edition Kyr'Ozch Energy Rapier","",1,
160,"Sector 7",Weapons,150,"Special Edition Kyr'Ozch Grenade Gun","",1,
161,"Sector 7",Weapons,150,"Special Edition Kyr'Ozch Hammer","",1,
162,"Sector 7",Weapons,150,"Special Edition Kyr'Ozch Nunchacko","",1,
163,"Sector 7",Weapons,150,"Special Edition Kyr'Ozch Pistol","",1,
164,"Sector 7",Weapons,150,"Special Edition Kyr'Ozch Rapier","",1,
165,"Sector 7",Weapons,150,"Special Edition Kyr'Ozch Rifle","",1,
166,"Sector 7",Weapons,150,"Special Edition Kyr'Ozch Shotgun","",1,
167,"Sector 7",Weapons,150,"Special Edition Kyr'Ozch Sledgehammer","",1,
168,"Sector 7",Weapons,150,"Special Edition Kyr'Ozch Submachine Gun","",1,
169,"Sector 7",Weapons,150,"Special Edition Kyr'Ozch Sword","",1,
170,"Sector 7",Viralbots,300,"Arithmetic Lead Viralbots","",1,
171,"Sector 7",Viralbots,300,"Enduring Lead Viralbots","",1,
172,"Sector 7",Viralbots,300,"Observant Lead Viralbots","",1,
173,"Sector 7",Viralbots,300,"Strong Lead Viralbots","",1,
174,"Sector 7",Viralbots,300,"Supple Lead Viralbots","",1,
175,APF,"Sector 13",1,"Gelatinous Lump","",3,
176,APF,"Sector 13",1,"Biotech Matrix","",3,
177,APF,"Sector 13",250,"Action Probability Estimator","",1,
178,APF,"Sector 13",250,"Dynamic Gas Redistribution Valves","",1,
179,APF,"Sector 13",1,"Kyr'Ozch Video Processing Unit","All Bounties",1,
180,APF,"Sector 13",1,"Hacker ICE-Breaker Source","All ICE",1,
181,APF,"Sector 13",1,"Kyr'Ozch Helmet","2500 Token board",1,
182,APF,"Sector 28",1,"Crystalline Matrix","",3,
183,APF,"Sector 28",1,"Kyr'ozch Circuitry","",3,
184,APF,"Sector 28",250,"Inertial Adjustment Processing Unit","",1,
185,APF,"Sector 28",250,"Notum Amplification Coil","",1,
186,APF,"Sector 28",1,"Kyr'Ozch Video Processing Unit","All Bounties",1,
187,APF,"Sector 28",1,"Hacker ICE-Breaker Source","All ICE",1,
188,APF,"Sector 28",1,"Kyr'Ozch Helmet","2500 Token board",1,
189,APF,"Sector 35",1,"Alpha Program Chip","",3,
190,APF,"Sector 35",1,"Beta Program Chip","",3,
191,APF,"Sector 35",1,"Odd Kyr'ozch Nanobots","",3,
192,APF,"Sector 35",1,"Kyr'ozch Processing Unit","",3,
193,APF,"Sector 35",250,"Energy Redistribution Unit","",1,
194,APF,"Sector 35",250,"Visible Light Remodulation Device","",1,
195,APF,"Sector 35",1,"Kyr'Ozch Video Processing Unit","All Bounties",1,
196,APF,"Sector 35",1,"Hacker ICE-Breaker Source","All ICE",1,
197,APF,"Sector 35",1,"Kyr'Ozch Helmet","2500 Token board",1,
198,Albtraum,"Crystals & Crystalised Memories",250,"Inert Knowledge Crystal","",1,
199,Albtraum,"Crystals & Crystalised Memories",250,"Energy Infused Crystal","",1,
200,Albtraum,"Crystals & Crystalised Memories",250,"Crystalised Memories of a Sniper","",1,
201,Albtraum,"Crystals & Crystalised Memories",250,"Crystalised Memories of a Defender","",1,
202,Albtraum,"Crystals & Crystalised Memories",250,"Crystalised Memories of a Technician","",1,
203,Albtraum,"Crystals & Crystalised Memories",250,"Crystalised Memories of a Mechanic","",1,
204,Albtraum,"Crystals & Crystalised Memories",250,"Crystalised Memories of a Surgeon","",1,
205,Albtraum,"Crystals & Crystalised Memories",250,"Crystalised Memories of a Engineer","",1,
206,Albtraum,"Crystals & Crystalised Memories",250,"Crystalised Memories of an Instructor","",1,
207,Albtraum,"Crystals & Crystalised Memories",250,"Crystalised Memories of a Doctor","",1,
208,Albtraum,"Crystals & Crystalised Memories",250,"Crystalised Memories of a Warrior","",1,
209,Albtraum,"Crystals & Crystalised Memories",250,"Crystalised Memories of an Archer","",1,
210,Albtraum,"Crystals & Crystalised Memories",250,"Crystalised Memories of a Scientist","",1,
211,Albtraum,Samples,250,"Radioactive Gland Sample","",1,
212,Albtraum,Samples,250,"Venom Gland Sample","",1,
213,Albtraum,Samples,250,"Frost Gland Sample","",1,
214,Albtraum,Samples,250,"Acid Gland Sample","",1,
215,Albtraum,Samples,250,"Fire Gland Sample","",1,
216,Albtraum,"Pocket Boss Crystals",250,"Xan Essence Crystal - Summoned Terror","",1,
217,Albtraum,"Pocket Boss Crystals",250,"Xan Essence Crystal - Gruesome Misery","",1,
218,Albtraum,"Pocket Boss Crystals",250,"Xan Essence Crystal - Sister Pestilence","",1,
219,Albtraum,"Pocket Boss Crystals",250,"Xan Essence Crystal - Sister Merciless","",1,
220,Albtraum,"Pocket Boss Crystals",250,"Xan Essence Crystal - Divided Loyalty","",1,
221,Albtraum,"Rings and Preservation Units",250,"Ancient Speed Preservation Unit","",1,
222,Albtraum,"Rings and Preservation Units",250,"Ancient Vision Preservation Unit","",1,
223,Albtraum,"Rings and Preservation Units",250,"Ring of Divided Loyalty","",1,
224,Albtraum,"Rings and Preservation Units",250,"Ring of Gruesome Misery","",1,
225,Albtraum,"Rings and Preservation Units",250,"Ring of Sister Pestilence","",1,
226,Albtraum,"Rings and Preservation Units",250,"Ring of Sister Merciless","",1,
227,Albtraum,"Rings and Preservation Units",250,"Ring of Summoned Terror","",1,
228,Albtraum,Ancients,250,"Dormant Ancient Circuit","",1,
229,Albtraum,Ancients,250,"Empty Ancient Device","",1,
230,Albtraum,Ancients,250,"Inactive Ancient Bracer","",1,
231,Albtraum,Ancients,250,"Ancient Scrap of Spirit Knowledge","",1,
232,Albtraum,Ancients,250,"Ancient Scrap of Saturated Spirit Knowledge","",1,
233,Albtraum,Ancients,250,"Ancient Damage Generation Device","",1,
234,Albtraum,Ancients,250,"Inactive Ancient Medical Device","",1,
235,Albtraum,Ancients,250,"Inactive Ancient Engineering Device","",1,
236,DustBrigade,Armor,200,"Enhanced Dustbrigade Combat Chestpiece","",1,
237,DustBrigade,Armor,200,"Enhanced Dustbrigade Spirit-tech Chestpiece","",1,
238,DustBrigade,Armor,200,"Enhanced Dustbrigade Sleeves","",1,
239,DustBrigade,Armor,200,"Enhanced Dustbrigade Notum Gloves","",1,
240,DustBrigade,Armor,200,"Enhanced Dustbrigade Chemist Gloves","",1,
241,DustBrigade,Armor,200,"Enhanced Dustbrigade Covering","",1,
242,DustBrigade,Armor,200,"Enhanced Dustbrigade Flexible Boots","",1,
243,DustBrigade,DB1,200,"Enhanced Safeguarded NCU Memory Unit",Int+Psy,1,269985
244,DustBrigade,DB1,200,"Enhanced Safeguarded NCU Memory Unit",Str+Sta,1,269986
245,DustBrigade,DB1,200,"Enhanced Safeguarded NCU Memory Unit",Agi+Sen,1,269987
246,DustBrigade,DB1,200,"Protected Safeguarded NCU Memory Unit",evades,1,
247,DustBrigade,DB1,250,"Master Melee Program","Alappaa Pad Upgrade",1,
248,DustBrigade,DB1,250,"Master Combat Program","Alappaa Pad Upgrade",1,
249,DustBrigade,DB1,250,"Master Nano Technology Program","Alappaa Pad Upgrade",1,
250,DustBrigade,DB2,250,"Basic Infused Dust Brigade Bracer","",1,
251,DustBrigade,DB2,250,"Dust Brigade Notum Infuser","DB Bracer/Alb Item Upgrade",2,
252,DustBrigade,DB2,250,"White Molybdenum-Matrix of Xan","Kegern/Jathos Upgrades",1,
253,DustBrigade,DB2,250,"Black Molybdenum-Matrix of Xan","Kegern/Jathos Upgrades",1,
254,DustBrigade,DB2,300,"Dust Brigade Engineer Pistol","",1,
255,DustBrigade,DB2,250,"Dust Brigade Solar Notum Infuser","Engineer DB Pistol Upgrade",1,
256,Pande,"Beast Armor",300,"Sigil of Bahomet","",1,
257,Pande,"Beast Armor",300,"Helmet of Hypocrisy","",1,
258,Pande,"Beast Armor",300,"Burden of Competence","",1,
259,Pande,"Beast Armor",300,"Shoulderplates of Sabotage","",1,
260,Pande,"Beast Armor",300,"Cuirass of Obstinacy","",1,
261,Pande,"Beast Armor",300,"Sleeves of Senseless Violence","",1,
262,Pande,"Beast Armor",300,"Gauntlets of Deformation","",1,
263,Pande,"Beast Armor",300,"Armplates of Elimination","",1,
264,Pande,"Beast Armor",300,"Greaves of Malfeasance","",1,
265,Pande,"Beast Armor",300,"Boots of Concourse","",1,
266,Pande,"Beast Weapons",300,"Lord of Abandonment",1HB,1,
267,Pande,"Beast Weapons",299,"Lady of Abandonment",1HB,1,
268,Pande,"Beast Weapons",300,"Lord of Anger","Assault Rifle",1,
269,Pande,"Beast Weapons",299,"Lady of Anger","Assault Rifle",1,
270,Pande,"Beast Weapons",300,"Lord of Angst",Rifle,1,
271,Pande,"Beast Weapons",299,"Lady of Angst",Rifle,1,
272,Pande,"Beast Weapons",300,"Lord of Chaos",Bow,1,
273,Pande,"Beast Weapons",299,"Lady of Chaos",Bow,1,
274,Pande,"Beast Weapons",300,"Lord of Deceit",Piercing,1,
275,Pande,"Beast Weapons",299,"Lady of Deceit",Piercing,1,
276,Pande,"Beast Weapons",300,"Lord of Envy",SMG,1,
277,Pande,"Beast Weapons",299,"Lady of Envy",SMG,1,
278,Pande,"Beast Weapons",300,"Lord of Gluttony",2HB,1,
279,Pande,"Beast Weapons",299,"Lady of Gluttony",2HB,1,
280,Pande,"Beast Weapons",300,"Lord of Greed",Shotgun,1,
281,Pande,"Beast Weapons",299,"Lady of Greed",Shotgun,1,
282,Pande,"Beast Weapons",300,"Lord of Hatred",1HE,1,
283,Pande,"Beast Weapons",299,"Lady of Hatred",1HE,1,
284,Pande,"Beast Weapons",300,"Lord of Lust",Pistol,1,
285,Pande,"Beast Weapons",299,"Lady of Lust",Pistol,1,
286,Pande,"Beast Weapons",300,"Lord of Pride",2HE,1,
287,Pande,"Beast Weapons",299,"Lady of Pride",2HE,1,
288,Pande,"Beast Weapons",300,"Lord of Sloth",Grenades,1,
289,Pande,"Beast Weapons",299,"Lady of Sloth",Grenades,1,
290,Pande,"Beast Weapons",200,"Sunrise Hilt","Melee Energy",1,
291,Pande,"Beast Weapons",200,"Sunset Hilt","Melee Energy",1,
292,Pande,"Beast Weapons",300,"Lady of Wisdom","Martial Arts",1,294000
293,Pande,"Beast Weapons",300,"Lord of Wisdom","Martial Arts",1,293997
294,Pande,Stars,250,"Star of Ardency",NT,1,
295,Pande,Stars,250,"Star of Enterprice",Fix,1,
296,Pande,Stars,250,"Star of Enticement",Shade,1,
297,Pande,Stars,250,"Star of Equanimity",MA,1,
298,Pande,Stars,250,"Star of Faith",Keep,1,
299,Pande,Stars,250,"Star of Fidelity",Sol,1,
300,Pande,Stars,250,"Star of Fortitude",Enfo,1,
301,Pande,Stars,250,"Star of Freedom",Adv,1,
302,Pande,Stars,250,"Star of Ingenuity",Eng,1,
303,Pande,Stars,250,"Star of Interchange",Trad,1,
304,Pande,Stars,250,"Star of Management",Crat,1,
305,Pande,Stars,250,"Star of Moral",MP,1,
306,Pande,Stars,250,"Star of Recovery",Doc,1,
307,Pande,Stars,250,"Star of Stealth",Agent,1,
308,Pande,Shadowbreeds,1,"The Lighter Side","Clan SB",1,
309,Pande,Shadowbreeds,1,"The Darker Side","Omni SB",1,
310,Pande,Shadowbreeds,1,"The Unknown Path","Neutral SB",1,
311,Pande,"The Night Heart",300,"Maar's Blue Belt of Double Prudence",INT/PSY,1,
312,Pande,"The Night Heart",300,"Maar's Red Belt of Double Power",STR/STA,1,
313,Pande,"The Night Heart",300,"Maar's Yellow Belt of Double Speed",AGI/SEN,1,
314,Pande,"The Night Heart",200,"Notum Seed","",1,
315,Pande,"The Night Heart",200,"Novictum Seed","",1,
316,Pande,Aries,250,"Dynamic Sleeve of Aries","",1,
317,Pande,Aries,250,"Aries' Tiara of the Quick Witted","",1,
318,Pande,Aries,250,"Quick-Draw Holster of Aries","",1,
319,Pande,Aries,250,"Boon of Aries","",1,
320,Pande,Leo,250,"Enthusiastic Spirit Helper of the Leo","",1,
321,Pande,Leo,250,"Leo's Faithful Boots of Ancient Gold","",1,
322,Pande,Leo,250,"Leo's Grandiose Gold Armband of Plenty","",1,
323,Pande,Leo,250,"Leo's Mellow Gold Pad of Auto-Support","",1,
324,Pande,Virgo,250,"Virgo's Arrow Guide","",1,
325,Pande,Virgo,250,"Virgo's Analytical Spirit Helper","",1,
326,Pande,Virgo,250,"Virgo's Practical Spirit Helper","",1,
327,Pande,Virgo,250,"Virgo's Modest Spirit of Faith","",1,
328,Pande,Aquarius,250,"Aquarius' Boots of Small Steps","",1,
329,Pande,Aquarius,250,"Mediative Gloves of the Aquarius","",1,
330,Pande,Aquarius,250,"Intuitive Memory of the Aquarius","",1,
331,Pande,Aquarius,250,"Aquarius's Multitask Calculator","",1,
332,Pande,Cancer,250,"Cancer's Gloves of Automatic Knowledge","",1,
333,Pande,Cancer,250,"Cancer's Silver Boots of the Autodidact","",1,
334,Pande,Cancer,250,"Cancer's Ring of Circumspection","",1,
335,Pande,Cancer,250,"Cancer's Time-Saving Memory","",1,
336,Pande,Gemini,250,"Collector Pants of Gemini","",1,
337,Pande,Gemini,250,"Gemini's Double Band of Linked Information","",1,
338,Pande,Gemini,250,"Cross Dimensional Gyro of Gemini","",1,
339,Pande,Gemini,250,"Gemini's Green Scope of Variety","",1,
340,Pande,Libra,250,"Libra's Charming Assistant","",1,
341,Pande,Libra,250,"Urbane Pants of Libra","",1,
342,Pande,Libra,250,"Aim of Libra","",1,
343,Pande,Libra,250,"Well Balanced Spirit Helper of Libra","",1,
344,Pande,Libra,1,"Activation Code","",6,
345,Pande,Pisces,250,"Cosmic Guide of the Pisces","",1,
346,Pande,Pisces,250,"Octopus Contraption of the Pisces","",1,
347,Pande,Pisces,250,"Soul Mark of Pisces","",1,
348,Pande,Pisces,250,"Mystery of Pisces","",1,
349,Pande,Taurus,250,"Taurus' Ring of the Heart","",1,
350,Pande,Taurus,250,"Taurus' Spirit of Patience","",1,
351,Pande,Taurus,250,"Taurus' Swordmaster Spirit","",1,
352,Pande,Taurus,250,"Taurus' Spirit of Reflection","",1,
353,Pande,Capricorn,250,"Capricorn Bracer of Toxication","",1,
354,Pande,Capricorn,250,"Gloves of the Caring Capricorn","",1,
355,Pande,Capricorn,250,"Capricorn's Reliable Memory","",1,
356,Pande,Capricorn,250,"Capricorn's Guide to Alchemy","",1,
357,Pande,Sagittarius,250,"Comfort of the Sagittarius","",1,
358,Pande,Sagittarius,250,"First Creation of the Sagittarius","",1,
359,Pande,Sagittarius,250,"Sagittarius's Hearty Spirit Helper","",1,
360,Pande,Sagittarius,250,"Strong Mittens of the Sagittarius","",1,
361,Pande,Scorpio,250,"Punters of the Scorpio","",1,
362,Pande,Scorpio,250,"Scorpio's Shell of Change","",1,
363,Pande,Scorpio,250,"Scorpio's Aim of Anger","",1,
364,Pande,Scorpio,250,"Sash of Scorpio Strength","",1,
365,Pande,Bastion,1,"SSC ""Bastion"" Back Armor - Inactive","",1,
366,Pande,Bastion,1,"SSC ""Bastion"" Left Shoulder Armor - Inactive","",1,
367,Pande,Bastion,1,"SSC ""Bastion"" Right Shoulder Armor - Inactive","",1,
368,Pande,Bastion,250,"NCU Infuser","",1,
369,Pande,Bastion,1,"Collatz Upgrade Plate","",1,
370,Pande,Bastion,1,"Fatou Upgrade Plate","",1,
371,Pande,Bastion,1,"Mandelbrot Upgrade Plate","",1,
372,Pande,Bastion,1,"A Single Strand of Glowing Dark Energy","",1,
373,Pande,Bastion,1,"Inert Bacteriophage","",1,
374,Pande,Bastion,1,"Pattern Conversion Device","",1,
