# table: symbiant
id,name,ql,slot_id,treatment_req,level_req,unit
236038,"Alert Left Hand Symbiant, Extermination Unit Aban",280,10,1942,205,Extermination
235542,"Alert Left Wrist Symbiant, Artillery Unit Aban",280,9,1942,205,Artillery
235986,"Alert Left Wrist Symbiant, Extermination Unit Aban",280,9,1942,205,Extermination
236298,"Alert Ocular Symbiant, Control Unit Aban",280,1,1942,205,Control
235847,"Alert Ocular Symbiant, Extermination Unit Aban",280,1,1942,205,Extermination
235630,"Alert Ocular Symbiant, Infantry Unit Aban",280,1,1942,205,Infantry
235899,"Alert Right Arm Symbiant, Extermination Unit Aban",280,11,1942,205,Extermination
235561,"Alert Right Hand Symbiant, Artillery Unit Aban",280,13,1942,205,Artillery
235727,"Alert Right Wrist Symbiant, Infantry Unit Aban",280,12,1942,205,Infantry
235577,"Alert Thigh Symbiant, Artillery Unit Aban",280,6,1942,205,Artillery
235525,"Alert Waist Symbiant, Artillery Unit Aban",280,5,1942,205,Artillery
235967,"Alert Waist Symbiant, Extermination Unit Aban",280,5,1942,205,Extermination
236199,"Alert Waist Symbiant, Support Unit Aban",280,5,1942,205,Support
235854,"Animated Brain Symbiant, Extermination Unit Aban",70,2,420,52,Extermination
235463,"Animated Chest Symbiant, Artillery Unit Aban",70,4,420,52,Artillery
236320,"Animated Ear Symbiant, Control Unit Aban",70,3,420,52,Control
235651,"Animated Ear Symbiant, Infantry Unit Aban",70,3,420,52,Infantry
236098,"Animated Ear Symbiant, Support Unit Aban",70,3,420,52,Support
236495,"Animated Feet Symbiant, Control Unit Aban",70,7,420,52,Control
236046,"Animated Feet Symbiant, Extermination Unit Aban",70,7,420,52,Extermination
235703,"Animated Left Arm Symbiant, Infantry Unit Aban",70,8,420,52,Infantry
236029,"Animated Left Hand Symbiant, Extermination Unit Aban",70,10,420,52,Extermination
235753,"Animated Left Wrist Symbiant, Infantry Unit Aban",70,9,420,52,Infantry
219130,"Animated Ocular Symbiant, Artillery Unit Aban",70,1,420,52,Artillery
236289,"Animated Ocular Symbiant, Control Unit Aban",70,1,420,52,Control
235840,"Animated Ocular Symbiant, Extermination Unit Aban",70,1,420,52,Extermination
235621,"Animated Ocular Symbiant, Infantry Unit Aban",70,1,420,52,Infantry
236063,"Animated Ocular Symbiant, Support Unit Aban",70,1,420,52,Support
235448,"Animated Right Arm Symbiant, Artillery Unit Aban",70,11,420,52,Artillery
235891,"Animated Right Arm Symbiant, Extermination Unit Aban",70,11,420,52,Extermination
235770,"Animated Right Hand Symbiant, Infantry Unit Aban",70,13,420,52,Infantry
236224,"Animated Right Hand Symbiant, Support Unit Aban",70,13,420,52,Support
235499,"Animated Right Wrist Symbiant, Artillery Unit Aban",70,12,420,52,Artillery
236391,"Animated Right Wrist Symbiant, Control Unit Aban",70,12,420,52,Control
235943,"Animated Right Wrist Symbiant, Extermination Unit Aban",70,12,420,52,Extermination
235719,"Animated Right Wrist Symbiant, Infantry Unit Aban",70,12,420,52,Infantry
236172,"Animated Right Wrist Symbiant, Support Unit Aban",70,12,420,52,Support
236461,"Animated Thigh Symbiant, Control Unit Aban",70,6,420,52,Control
236011,"Animated Thigh Symbiant, Extermination Unit Aban",70,6,420,52,Extermination
236242,"Animated Thigh Symbiant, Support Unit Aban",70,6,420,52,Support
235735,"Animated Waist Symbiant, Infantry Unit Aban",70,5,420,52,Infantry
236191,"Animated Waist Symbiant, Support Unit Aban",70,5,420,52,Support
235416,"Awakened Brain Symbiant, Artillery Unit Aban",180,2,1070,132,Artillery
235860,"Awakened Brain Symbiant, Extermination Unit Aban",180,2,1070,132,Extermination
235643,"Awakened Brain Symbiant, Infantry Unit Aban",180,2,1070,132,Infantry
235469,"Awakened Chest Symbiant, Artillery Unit Aban",180,4,1070,132,Artillery
236361,"Awakened Chest Symbiant, Control Unit Aban",180,4,1070,132,Control
235912,"Awakened Chest Symbiant, Extermination Unit Aban",180,4,1070,132,Extermination
235690,"Awakened Chest Symbiant, Infantry Unit Aban",180,4,1070,132,Infantry
236136,"Awakened Chest Symbiant, Support Unit Aban",180,4,1070,132,Support
235437,"Awakened Ear Symbiant, Artillery Unit Aban",180,3,1070,132,Artillery
236326,"Awakened Ear Symbiant, Control Unit Aban",180,3,1070,132,Control
235876,"Awakened Ear Symbiant, Extermination Unit Aban",180,3,1070,132,Extermination
236104,"Awakened Ear Symbiant, Support Unit Aban",180,3,1070,132,Support
236278,"Awakened Feet Symbiant, Support Unit Aban",180,7,1070,132,Support
235487,"Awakened Left Arm Symbiant, Artillery Unit Aban",180,8,1070,132,Artillery
235930,"Awakened Left Arm Symbiant, Extermination Unit Aban",180,8,1070,132,Extermination
236157,"Awakened Left Arm Symbiant, Support Unit Aban",180,8,1070,132,Support
236033,"Awakened Left Hand Symbiant, Extermination Unit Aban",180,10,1070,132,Extermination
235980,"Awakened Left Wrist Symbiant, Extermination Unit Aban",180,9,1070,132,Extermination
235759,"Awakened Left Wrist Symbiant, Infantry Unit Aban",180,9,1070,132,Infantry
236215,"Awakened Left Wrist Symbiant, Support Unit Aban",180,9,1070,132,Support
235454,"Awakened Right Arm Symbiant, Artillery Unit Aban",180,11,1070,132,Artillery
235674,"Awakened Right Arm Symbiant, Infantry Unit Aban",180,11,1070,132,Infantry
236117,"Awakened Right Arm Symbiant, Support Unit Aban",180,11,1070,132,Support
236451,"Awakened Right Hand Symbiant, Control Unit Aban",180,13,1070,132,Control
236231,"Awakened Right Hand Symbiant, Support Unit Aban",180,13,1070,132,Support
236467,"Awakened Thigh Symbiant, Control Unit Aban",180,6,1070,132,Control
236018,"Awakened Thigh Symbiant, Extermination Unit Aban",180,6,1070,132,Extermination
235793,"Awakened Thigh Symbiant, Infantry Unit Aban",180,6,1070,132,Infantry
236245,"Awakened Thigh Symbiant, Support Unit Aban",180,6,1070,132,Support
236414,"Awakened Waist Symbiant, Control Unit Aban",180,5,1070,132,Control
235740,"Awakened Waist Symbiant, Infantry Unit Aban",180,5,1070,132,Infantry
235411,"Breathing Brain Symbiant, Artillery Unit Aban",100,2,597,73,Artillery
235856,"Breathing Brain Symbiant, Extermination Unit Aban",100,2,597,73,Extermination
235907,"Breathing Chest Symbiant, Extermination Unit Aban",100,4,597,73,Extermination
235431,"Breathing Ear Symbiant, Artillery Unit Aban",100,3,597,73,Artillery
235653,"Breathing Ear Symbiant, Infantry Unit Aban",100,3,597,73,Infantry
236100,"Breathing Ear Symbiant, Support Unit Aban",100,3,597,73,Support
236275,"Breathing Feet Symbiant, Support Unit Aban",100,7,597,73,Support
235485,"Breathing Left Arm Symbiant, Artillery Unit Aban",100,8,597,73,Artillery
236373,"Breathing Left Arm Symbiant, Control Unit Aban",100,8,597,73,Control
235706,"Breathing Left Arm Symbiant, Infantry Unit Aban",100,8,597,73,Infantry
236153,"Breathing Left Arm Symbiant, Support Unit Aban",100,8,597,73,Support
236481,"Breathing Left Hand Symbiant, Control Unit Aban",100,10,597,73,Control
236030,"Breathing Left Hand Symbiant, Extermination Unit Aban",100,10,597,73,Extermination
236259,"Breathing Left Hand Symbiant, Support Unit Aban",100,10,597,73,Support
235535,"Breathing Left Wrist Symbiant, Artillery Unit Aban",100,9,597,73,Artillery
235755,"Breathing Left Wrist Symbiant, Infantry Unit Aban",100,9,597,73,Infantry
236210,"Breathing Left Wrist Symbiant, Support Unit Aban",100,9,597,73,Support
219132,"Breathing Ocular Symbiant, Artillery Unit Aban",100,1,597,73,Artillery
236065,"Breathing Ocular Symbiant, Support Unit Aban",100,1,597,73,Support
235450,"Breathing Right Arm Symbiant, Artillery Unit Aban",100,11,597,73,Artillery
236341,"Breathing Right Arm Symbiant, Control Unit Aban",100,11,597,73,Control
235669,"Breathing Right Arm Symbiant, Infantry Unit Aban",100,11,597,73,Infantry
236113,"Breathing Right Arm Symbiant, Support Unit Aban",100,11,597,73,Support
235553,"Breathing Right Hand Symbiant, Artillery Unit Aban",100,13,597,73,Artillery
236445,"Breathing Right Hand Symbiant, Control Unit Aban",100,13,597,73,Control
235994,"Breathing Right Hand Symbiant, Extermination Unit Aban",100,13,597,73,Extermination
235772,"Breathing Right Hand Symbiant, Infantry Unit Aban",100,13,597,73,Infantry
236226,"Breathing Right Hand Symbiant, Support Unit Aban",100,13,597,73,Support
235500,"Breathing Right Wrist Symbiant, Artillery Unit Aban",100,12,597,73,Artillery
236014,"Breathing Thigh Symbiant, Extermination Unit Aban",100,6,597,73,Extermination
235788,"Breathing Thigh Symbiant, Infantry Unit Aban",100,6,597,73,Infantry
235736,"Breathing Waist Symbiant, Infantry Unit Aban",100,5,597,73,Infantry
236192,"Breathing Waist Symbiant, Support Unit Aban",100,5,597,73,Support
245306,"Brumal Chest Symbiant of Endurance",150,4,750,1,""
236313,"Cognizant Brain Symbiant, Control Unit Aban",270,2,1870,198,Control
235865,"Cognizant Brain Symbiant, Extermination Unit Aban",270,2,1870,198,Extermination
236364,"Cognizant Chest Symbiant, Control Unit Aban",270,4,1870,198,Control
235695,"Cognizant Chest Symbiant, Infantry Unit Aban",270,4,1870,198,Infantry
236141,"Cognizant Chest Symbiant, Support Unit Aban",270,4,1870,198,Support
235439,"Cognizant Ear Symbiant, Artillery Unit Aban",270,3,1870,198,Artillery
236330,"Cognizant Ear Symbiant, Control Unit Aban",270,3,1870,198,Control
235882,"Cognizant Ear Symbiant, Extermination Unit Aban",270,3,1870,198,Extermination
235661,"Cognizant Ear Symbiant, Infantry Unit Aban",270,3,1870,198,Infantry
236504,"Cognizant Feet Symbiant, Control Unit Aban",270,7,1870,198,Control
236055,"Cognizant Feet Symbiant, Extermination Unit Aban",270,7,1870,198,Extermination
235831,"Cognizant Feet Symbiant, Infantry Unit Aban",270,7,1870,198,Infantry
236281,"Cognizant Feet Symbiant, Support Unit Aban",270,7,1870,198,Support
236383,"Cognizant Left Arm Symbiant, Control Unit Aban",270,8,1870,198,Control
235933,"Cognizant Left Arm Symbiant, Extermination Unit Aban",270,8,1870,198,Extermination
235712,"Cognizant Left Arm Symbiant, Infantry Unit Aban",270,8,1870,198,Infantry
236162,"Cognizant Left Arm Symbiant, Support Unit Aban",270,8,1870,198,Support
235595,"Cognizant Left Hand Symbiant, Artillery Unit Aban",270,10,1870,198,Artillery
235813,"Cognizant Left Hand Symbiant, Infantry Unit Aban",270,10,1870,198,Infantry
235541,"Cognizant Left Wrist Symbiant, Artillery Unit Aban",270,9,1870,198,Artillery
235985,"Cognizant Left Wrist Symbiant, Extermination Unit Aban",270,9,1870,198,Extermination
236217,"Cognizant Left Wrist Symbiant, Support Unit Aban",270,9,1870,198,Support
236297,"Cognizant Ocular Symbiant, Control Unit Aban",270,1,1870,198,Control
235846,"Cognizant Ocular Symbiant, Extermination Unit Aban",270,1,1870,198,Extermination
236348,"Cognizant Right Arm Symbiant, Control Unit Aban",270,11,1870,198,Control
236122,"Cognizant Right Arm Symbiant, Support Unit Aban",270,11,1870,198,Support
236234,"Cognizant Right Hand Symbiant, Support Unit Aban",270,13,1870,198,Support
235508,"Cognizant Right Wrist Symbiant, Artillery Unit Aban",270,12,1870,198,Artillery
236400,"Cognizant Right Wrist Symbiant, Control Unit Aban",270,12,1870,198,Control
235576,"Cognizant Thigh Symbiant, Artillery Unit Aban",270,6,1870,198,Artillery
236021,"Cognizant Thigh Symbiant, Extermination Unit Aban",270,6,1870,198,Extermination
235797,"Cognizant Thigh Symbiant, Infantry Unit Aban",270,6,1870,198,Infantry
236419,"Cognizant Waist Symbiant, Control Unit Aban",270,5,1870,198,Control
235421,"Conscious Brain Symbiant, Artillery Unit Aban",290,2,2015,212,Artillery
235645,"Conscious Brain Symbiant, Infantry Unit Aban",290,2,2015,212,Infantry
235474,"Conscious Chest Symbiant, Artillery Unit Aban",290,4,2015,212,Artillery
235917,"Conscious Chest Symbiant, Extermination Unit Aban",290,4,2015,212,Extermination
236142,"Conscious Chest Symbiant, Support Unit Aban",290,4,2015,212,Support
235613,"Conscious Feet Symbiant, Artillery Unit Aban",290,7,2015,212,Artillery
236056,"Conscious Feet Symbiant, Extermination Unit Aban",290,7,2015,212,Extermination
235832,"Conscious Feet Symbiant, Infantry Unit Aban",290,7,2015,212,Infantry
236283,"Conscious Feet Symbiant, Support Unit Aban",290,7,2015,212,Support
235491,"Conscious Left Arm Symbiant, Artillery Unit Aban",290,8,2015,212,Artillery
236163,"Conscious Left Arm Symbiant, Support Unit Aban",290,8,2015,212,Support
236039,"Conscious Left Hand Symbiant, Extermination Unit Aban",290,10,2015,212,Extermination
235814,"Conscious Left Hand Symbiant, Infantry Unit Aban",290,10,2015,212,Infantry
235543,"Conscious Left Wrist Symbiant, Artillery Unit Aban",290,9,2015,212,Artillery
236436,"Conscious Left Wrist Symbiant, Control Unit Aban",290,9,2015,212,Control
235762,"Conscious Left Wrist Symbiant, Infantry Unit Aban",290,9,2015,212,Infantry
219138,"Conscious Ocular Symbiant, Artillery Unit Aban",290,1,2015,212,Artillery
235848,"Conscious Ocular Symbiant, Extermination Unit Aban",290,1,2015,212,Extermination
235900,"Conscious Right Arm Symbiant, Extermination Unit Aban",290,11,2015,212,Extermination
236123,"Conscious Right Arm Symbiant, Support Unit Aban",290,11,2015,212,Support
236004,"Conscious Right Hand Symbiant, Extermination Unit Aban",290,13,2015,212,Extermination
235780,"Conscious Right Hand Symbiant, Infantry Unit Aban",290,13,2015,212,Infantry
236401,"Conscious Right Wrist Symbiant, Control Unit Aban",290,12,2015,212,Control
235951,"Conscious Right Wrist Symbiant, Extermination Unit Aban",290,12,2015,212,Extermination
235728,"Conscious Right Wrist Symbiant, Infantry Unit Aban",290,12,2015,212,Infantry
235578,"Conscious Thigh Symbiant, Artillery Unit Aban",290,6,2015,212,Artillery
236472,"Conscious Thigh Symbiant, Control Unit Aban",290,6,2015,212,Control
236022,"Conscious Thigh Symbiant, Extermination Unit Aban",290,6,2015,212,Extermination
236251,"Conscious Thigh Symbiant, Support Unit Aban",290,6,2015,212,Support
235526,"Conscious Waist Symbiant, Artillery Unit Aban",290,5,2015,212,Artillery
235968,"Conscious Waist Symbiant, Extermination Unit Aban",290,5,2015,212,Extermination
235745,"Conscious Waist Symbiant, Infantry Unit Aban",290,5,2015,212,Infantry
236079,"Dispirited Brain Symbiant, Support Unit Aban",50,2,301,37,Support
235462,"Dispirited Chest Symbiant, Artillery Unit Aban",50,4,301,37,Artillery
235905,"Dispirited Chest Symbiant, Extermination Unit Aban",50,4,301,37,Extermination
236129,"Dispirited Chest Symbiant, Support Unit Aban",50,4,301,37,Support
235870,"Dispirited Ear Symbiant, Extermination Unit Aban",50,3,301,37,Extermination
236096,"Dispirited Ear Symbiant, Support Unit Aban",50,3,301,37,Support
235602,"Dispirited Feet Symbiant, Artillery Unit Aban",50,7,301,37,Artillery
236494,"Dispirited Feet Symbiant, Control Unit Aban",50,7,301,37,Control
236272,"Dispirited Feet Symbiant, Support Unit Aban",50,7,301,37,Support
235481,"Dispirited Left Arm Symbiant, Artillery Unit Aban",50,8,301,37,Artillery
236150,"Dispirited Left Arm Symbiant, Support Unit Aban",50,8,301,37,Support
236479,"Dispirited Left Hand Symbiant, Control Unit Aban",50,10,301,37,Control
236027,"Dispirited Left Hand Symbiant, Extermination Unit Aban",50,10,301,37,Extermination
235803,"Dispirited Left Hand Symbiant, Infantry Unit Aban",50,10,301,37,Infantry
236424,"Dispirited Left Wrist Symbiant, Control Unit Aban",50,9,301,37,Control
235751,"Dispirited Left Wrist Symbiant, Infantry Unit Aban",50,9,301,37,Infantry
236207,"Dispirited Left Wrist Symbiant, Support Unit Aban",50,9,301,37,Support
219129,"Dispirited Ocular Symbiant, Artillery Unit Aban",50,1,301,37,Artillery
235838,"Dispirited Ocular Symbiant, Extermination Unit Aban",50,1,301,37,Extermination
236062,"Dispirited Ocular Symbiant, Support Unit Aban",50,1,301,37,Support
235446,"Dispirited Right Arm Symbiant, Artillery Unit Aban",50,11,301,37,Artillery
235666,"Dispirited Right Arm Symbiant, Infantry Unit Aban",50,11,301,37,Infantry
236444,"Dispirited Right Hand Symbiant, Control Unit Aban",50,13,301,37,Control
235992,"Dispirited Right Hand Symbiant, Extermination Unit Aban",50,13,301,37,Extermination
236010,"Dispirited Thigh Symbiant, Extermination Unit Aban",50,6,301,37,Extermination
235514,"Dispirited Waist Symbiant, Artillery Unit Aban",50,5,301,37,Artillery
236408,"Dispirited Waist Symbiant, Control Unit Aban",50,5,301,37,Control
235958,"Dispirited Waist Symbiant, Extermination Unit Aban",50,5,301,37,Extermination
236189,"Dispirited Waist Symbiant, Support Unit Aban",50,5,301,37,Support
236362,"Effective Chest Symbiant, Control Unit Aban",240,4,1533,176,Control
236137,"Effective Chest Symbiant, Support Unit Aban",240,4,1533,176,Support
236107,"Effective Ear Symbiant, Support Unit Aban",240,3,1533,176,Support
235611,"Effective Feet Symbiant, Artillery Unit Aban",240,7,1533,176,Artillery
236053,"Effective Feet Symbiant, Extermination Unit Aban",240,7,1533,176,Extermination
235829,"Effective Feet Symbiant, Infantry Unit Aban",240,7,1533,176,Infantry
236280,"Effective Feet Symbiant, Support Unit Aban",240,7,1533,176,Support
235490,"Effective Left Arm Symbiant, Artillery Unit Aban",240,8,1533,176,Artillery
236380,"Effective Left Arm Symbiant, Control Unit Aban",240,8,1533,176,Control
236159,"Effective Left Arm Symbiant, Support Unit Aban",240,8,1533,176,Support
235592,"Effective Left Hand Symbiant, Artillery Unit Aban",240,10,1533,176,Artillery
236486,"Effective Left Hand Symbiant, Control Unit Aban",240,10,1533,176,Control
236037,"Effective Left Hand Symbiant, Extermination Unit Aban",240,10,1533,176,Extermination
236433,"Effective Left Wrist Symbiant, Control Unit Aban",240,9,1533,176,Control
235761,"Effective Left Wrist Symbiant, Infantry Unit Aban",240,9,1533,176,Infantry
236296,"Effective Ocular Symbiant, Control Unit Aban",240,1,1533,176,Control
235845,"Effective Ocular Symbiant, Extermination Unit Aban",240,1,1533,176,Extermination
236346,"Effective Right Arm Symbiant, Control Unit Aban",240,11,1533,176,Control
235896,"Effective Right Arm Symbiant, Extermination Unit Aban",240,11,1533,176,Extermination
235678,"Effective Right Arm Symbiant, Infantry Unit Aban",240,11,1533,176,Infantry
236120,"Effective Right Arm Symbiant, Support Unit Aban",240,11,1533,176,Support
235560,"Effective Right Hand Symbiant, Artillery Unit Aban",240,13,1533,176,Artillery
235506,"Effective Right Wrist Symbiant, Artillery Unit Aban",240,12,1533,176,Artillery
236020,"Effective Thigh Symbiant, Extermination Unit Aban",240,6,1533,176,Extermination
236249,"Effective Thigh Symbiant, Support Unit Aban",240,6,1533,176,Support
235964,"Effective Waist Symbiant, Extermination Unit Aban",240,5,1533,176,Extermination
235744,"Effective Waist Symbiant, Infantry Unit Aban",240,5,1533,176,Infantry
236084,"Enduring Brain Symbiant, Support Unit Aban",190,2,1129,139,Support
235470,"Enduring Chest Symbiant, Artillery Unit Aban",190,4,1129,139,Artillery
236327,"Enduring Ear Symbiant, Control Unit Aban",190,3,1129,139,Control
235877,"Enduring Ear Symbiant, Extermination Unit Aban",190,3,1129,139,Extermination
235608,"Enduring Feet Symbiant, Artillery Unit Aban",190,7,1129,139,Artillery
236500,"Enduring Feet Symbiant, Control Unit Aban",190,7,1129,139,Control
236051,"Enduring Feet Symbiant, Extermination Unit Aban",190,7,1129,139,Extermination
235828,"Enduring Feet Symbiant, Infantry Unit Aban",190,7,1129,139,Infantry
235931,"Enduring Left Arm Symbiant, Extermination Unit Aban",190,8,1129,139,Extermination
236034,"Enduring Left Hand Symbiant, Extermination Unit Aban",190,10,1129,139,Extermination
235810,"Enduring Left Hand Symbiant, Infantry Unit Aban",190,10,1129,139,Infantry
236265,"Enduring Left Hand Symbiant, Support Unit Aban",190,10,1129,139,Support
235538,"Enduring Left Wrist Symbiant, Artillery Unit Aban",190,9,1129,139,Artillery
236429,"Enduring Left Wrist Symbiant, Control Unit Aban",190,9,1129,139,Control
235981,"Enduring Left Wrist Symbiant, Extermination Unit Aban",190,9,1129,139,Extermination
219136,"Enduring Ocular Symbiant, Artillery Unit Aban",190,1,1129,139,Artillery
235455,"Enduring Right Arm Symbiant, Artillery Unit Aban",190,11,1129,139,Artillery
236118,"Enduring Right Arm Symbiant, Support Unit Aban",190,11,1129,139,Support
236000,"Enduring Right Hand Symbiant, Extermination Unit Aban",190,13,1129,139,Extermination
235775,"Enduring Right Hand Symbiant, Infantry Unit Aban",190,13,1129,139,Infantry
236395,"Enduring Right Wrist Symbiant, Control Unit Aban",190,12,1129,139,Control
236179,"Enduring Right Wrist Symbiant, Support Unit Aban",190,12,1129,139,Support
235571,"Enduring Thigh Symbiant, Artillery Unit Aban",190,6,1129,139,Artillery
235522,"Enduring Waist Symbiant, Artillery Unit Aban",190,5,1129,139,Artillery
236415,"Enduring Waist Symbiant, Control Unit Aban",190,5,1129,139,Control
235419,"Excited Brain Symbiant, Artillery Unit Aban",250,2,1724,183,Artillery
236312,"Excited Brain Symbiant, Control Unit Aban",250,2,1724,183,Control
235864,"Excited Brain Symbiant, Extermination Unit Aban",250,2,1724,183,Extermination
236088,"Excited Brain Symbiant, Support Unit Aban",250,2,1724,183,Support
235472,"Excited Chest Symbiant, Artillery Unit Aban",250,4,1724,183,Artillery
236363,"Excited Chest Symbiant, Control Unit Aban",250,4,1724,183,Control
235915,"Excited Chest Symbiant, Extermination Unit Aban",250,4,1724,183,Extermination
236139,"Excited Chest Symbiant, Support Unit Aban",250,4,1724,183,Support
235881,"Excited Ear Symbiant, Extermination Unit Aban",250,3,1724,183,Extermination
235660,"Excited Ear Symbiant, Infantry Unit Aban",250,3,1724,183,Infantry
235612,"Excited Feet Symbiant, Artillery Unit Aban",250,7,1724,183,Artillery
236503,"Excited Feet Symbiant, Control Unit Aban",250,7,1724,183,Control
236381,"Excited Left Arm Symbiant, Control Unit Aban",250,8,1724,183,Control
235932,"Excited Left Arm Symbiant, Extermination Unit Aban",250,8,1724,183,Extermination
235593,"Excited Left Hand Symbiant, Artillery Unit Aban",250,10,1724,183,Artillery
236487,"Excited Left Hand Symbiant, Control Unit Aban",250,10,1724,183,Control
236434,"Excited Left Wrist Symbiant, Control Unit Aban",250,9,1724,183,Control
235984,"Excited Left Wrist Symbiant, Extermination Unit Aban",250,9,1724,183,Extermination
235628,"Excited Ocular Symbiant, Infantry Unit Aban",250,1,1724,183,Infantry
236072,"Excited Ocular Symbiant, Support Unit Aban",250,1,1724,183,Support
235897,"Excited Right Arm Symbiant, Extermination Unit Aban",250,11,1724,183,Extermination
235679,"Excited Right Arm Symbiant, Infantry Unit Aban",250,11,1724,183,Infantry
236454,"Excited Right Hand Symbiant, Control Unit Aban",250,13,1724,183,Control
235778,"Excited Right Hand Symbiant, Infantry Unit Aban",250,13,1724,183,Infantry
235507,"Excited Right Wrist Symbiant, Artillery Unit Aban",250,12,1724,183,Artillery
235725,"Excited Right Wrist Symbiant, Infantry Unit Aban",250,12,1724,183,Infantry
235575,"Excited Thigh Symbiant, Artillery Unit Aban",250,6,1724,183,Artillery
236471,"Excited Thigh Symbiant, Control Unit Aban",250,6,1724,183,Control
235795,"Excited Thigh Symbiant, Infantry Unit Aban",250,6,1724,183,Infantry
236250,"Excited Thigh Symbiant, Support Unit Aban",250,6,1724,183,Support
235965,"Excited Waist Symbiant, Extermination Unit Aban",250,5,1724,183,Extermination
303778,"Fabricated Brain Symbiant, Artillery Unit",215,2,1200,215,Artillery
303791,"Fabricated Brain Symbiant, Control Unit",215,2,1200,215,Control
303804,"Fabricated Brain Symbiant, Extermination Unit",215,2,1200,215,Extermination
303817,"Fabricated Brain Symbiant, Infantry Unit",215,2,1200,215,Infantry
303830,"Fabricated Brain Symbiant, Support Unit",215,2,1200,215,Support
303781,"Fabricated Chest Symbiant, Artillery Unit",215,4,1200,215,Artillery
303794,"Fabricated Chest Symbiant, Control Unit",215,4,1200,215,Control
303807,"Fabricated Chest Symbiant, Extermination Unit",215,4,1200,215,Extermination
303820,"Fabricated Chest Symbiant, Infantry Unit",215,4,1200,215,Infantry
303833,"Fabricated Chest Symbiant, Support Unit",215,4,1200,215,Support
303780,"Fabricated Ear Symbiant, Artillery Unit",215,3,1200,215,Artillery
