# Table: fun
# Replaces: type=pirates
# uuid: id
type,content
pirates,"Barbossa: Why thank ye, Jack.<br>Jack Sparrow: You're welcome.<br>Barbossa: Oh, not you. We named the monkey Jack."
pirates,"Will Turner: That's not true. I am not obsessed with treasure.<br>Jack Sparrow: Not all treasure is silver and gold, mate."
pirates,"Harbormaster: Hold up there, you. It's a shilling to tie up your boat at the dock... and I shall need to know your name.<br>Jack Sparrow: What do you say to three shillings and we forget the name.<br>Harbormaster: Welcome to Port Royal, Mr. Smith."
pirates,"Jack Sparrow: No one. He's no one. Distant cousin of my Aunt's nephew twice removed. Lovely singing voice. Eunuch."
pirates,"Elizabeth Swann: You're pirates. Hang the code, and hang the rules. They're more like guidelines anyway."
pirates,"Jack Sparrow: Elizabeth!<br>[Turns to Gibbs]<br>Jack Sparrow: Hide the rum. "
pirates,"Jack Sparrow: We are very much alike, you and I, I and you... us.<br>Elizabeth Swann: Oh. Except for a sense of honor and decency and a moral center. And personal hygiene.<br>Jack Sparrow: [Sniffs his armpit and looks back] Trifles. "
pirates,"Elizabeth Swann: There will come a moment when you will have a chance to show it. To do the right thing.<br>Jack Sparrow: I love those moments. I like to wave at them as they pass by. "
pirates,"Jack Sparrow: [to Elizabeth] One word love; curiosity. You long for freedom. You long to do what you want to do because you want it. To act on selfish impulse. You want to see what it's like. One day you won't be able to resist."
pirates,"Elizabeth Swann: Oh fine! Let's just haul out our swords and start banging away at each other! That will solve everything!"
pirates,"Elizabeth Swann: I've had it! I've had it with wobbly-legged, rum-soaked PIRATES!"
pirates,"Anamaria: It was a good plan... up 'til now."
pirates,"Elizabeth: Well you may tell the captain that I am disinclined to acquiesce to his request."
pirates,"Jack Sparrow: Any man who falls behind, is left behind."
pirates,"Jack Sparrow: Take what ye can!<br>Mr. Gibbs: Give nothin' back!"
pirates,"Mr. Gibbs: Curse ya for breathin, ya slack-jawed idiot!"
pirates,"Jack Sparrow: I think we've all arrived at a very special place... spiritually... ecumenically... grammatically"
pirates,"Will Turner: You didn't beat me. You ignored the rules of engagement! In a fair fight, I'd kill you!<br>Jack Sparrow: Well, that's not much incentive for me to fight fair then, is it?"
pirates,"Jack Sparrow: Why is the rum gone?"
pirates,"Will Turner: This is either madness, or brilliance.<br>Jack Sparrow: It's funny how often those traits coincide."
pirates,"Jack Sparrow: Wherever we want to go, we go. That's what a ship is, you know. It's not just a keel and a hull and sails; that's what a ship needs. Not what a ship is. What the Black Pearl really is, is freedom."
pirates,"Jack Sparrow: A wedding? I love weddings! Drinks all around!"
pirates,"Elizabeth Swann: You like pain? Try wearing a corset."
pirates,"Elizabeth Swann: That's it, then? That's the secret grand adventure of the infamous Jack Sparrow - you spent three days lying on a beach drinking rum?<br>Jack Sparrow: Welcome to the Caribbean, love."
pirates,"Jack Sparrow: Now you can either accept that your father was a pirate and a good man, or me I could just leave you there to drown. Your choice."
pirates,"Lord Cutler Beckett: It's nothing personal, Jack. It's just good business."
pirates,"Jack Sparrow: Send this pestilent, traitorous, cow-hearted, yeasty codpiece to the brig."
pirates,"Davy Jones: You will not forestall my judgment!"
pirates,"Jack Sparrow: She's safe, just like I promised. She's all set to marry Norrington, just like she promised. And you get to die for her, just like you promised. So we're all men of our word really... except for, of course, Elizabeth, who is in fact, a woman."
pirates,"Jack Sparrow: Stop blowing holes in my ship!"
