# Table: fun
# Replaces: type=homer
# uuid: id
type,content
homer,"I won't sleep in the same bed with a woman who thinks I'm lazy! I'm going right downstairs, unfold the couch, unroll the sleeping ba- uh, goodnidght."
homer,"If something is to hard to do, then it's not worth doing. You just stick that guitar in the closet next to your shortwave radio, your karate outfit and your unicycle and we'll go inside and watch TV."
homer,"If they think I'm going to stop at that stop sign, they're sadly mistaken!"
homer,"If this were really a nuclear war we'd all be dead meat by now."
homer,"I'll handle this ... the only danger in space is if we land on the terrible Planet of the Apes ... wait a minute. Statue of Liberty ... THAT WAS OUR PLANET! YOU MANIACS! YOU BLEW IT UP! DAMN YOU! DAMN YOU ALL TO HELL!"
homer,"I'm a white male, age 18 to 49. Everyone listens to me, no matter how dumb my suggestions are."
homer,"I'm going to the backseat of my car with the woman I love, and I won't be back for TEN MINUTES."
homer,"I'm having the best day of my life, and I owe it all to not going to Church!"
homer,"I'm in a place where I don't know where I am!"
homer,"I'm just a technical supervisor who cared too much."
homer,"I'm no supervising technician, I'm a technical supervisor."
homer,"In America, first you get the sugar, then you get the power, then you get the women!"
homer,"It may be on a lousy channel, but the Simpsons are on TV!"
homer,"It's a good thing that beer wasn't shaken up any more, or I'd have looked quite the fool. An April fool, as it were."
homer,"It's like something out of that twilighty show about that zone."
homer,"It's not easy to juggle a pregnant wife and a troubled child, but somehow I managed to squeeze in 8 hours of TV a day."
homer,"Just because I don't care doesn't mean I don't understand!"
homer,"Kids, kids. As far as Daddy's concerned, you're both potential murderers. "
homer,"Kill my boss? Do I dare live out the American dream?"
homer,"Kill myself? Killing myself is the last thing I'd ever do. Now I have a purpose, a reason to live. I don't care who I have to face, I don't care who I have to fight, I will not rest until this street gets a stop sign!"
homer,"Let us all bask in television's warm glowing warming glow."
homer,"Let us celebrate our agreement with the adding of chocolate to milk."
homer,"Lisa, stop that racket! I'm trying to fix your mother's camera. Easy, easy. I think I'll need a bigger drill. "
homer,"Lisa, the mob's working on getting your saxophone back, but we've also expanded into other important areas ... World domination. "
homer,"Lord help me, I'm just not that bright."
homer,"Lurlee your song touched me in so many ways ... and which way to the can?"
homer,"Marge! Look at all this great stuff I found at the Marina. It was just sitting in some guy's boat!"
homer,"Marge, it takes two to lie. One to lie and one to listen."
homer,"Marge, please. Old people don't need companionship. They need to be isolated and studied so that it can be determined what nutrients they have that might be extracted for our personal use."
homer,"Shut up, Brain, or I'll stab you with a Q-tip!"
homer,"Remember that postcard Grandpa sent us from Florida of that alligator biting that woman's bottom? That's right, we all thought it was hilarious. But it turns out we were wrong. That alligator was sexually harassing that woman."
homer,"Marge, would you please tell Bart that I would just like to drink a glass of syrup like I do every morning?"
homer,"Marge, you being a cop makes you the man! Which makes me the woman -- and I have no interest in that, besides occasionally wearing the underwear, which as we discussed, is strictly a comfort thing."
homer,"Me lose brain? Uh, oh! Ha ha ha! Why I laugh?"
homer,"Mr. Scorpio says productivity is up 2%, and it's all because of my motivational techniques, like donuts and the possibility of more donuts to come."
homer,"No jokes, no taunting -- That kid's got bosoms! Somebody get me a wet towel!"
homer,"C'mere you butterball."
homer,"No! No-no-no-no-no-no! Well, yes."
homer,"No, no, no, Lisa. If adults don't like their jobs, they don't go on strike. They just go in every day and do it really half-assed. That's the American Way."
homer,"Now Bart, since you broke Grandpa's teeth, he gets to break yours."
homer,"Now go on, boy, and pay attention. Because if you do, someday, you may achieve something that we Simpsons have dreamed about for generations : You may outsmart someone!"
homer,"Oh look at me !!! I'm making people happy! I'm the magical man from happy land, with a gumdrop house on lollipop lane! Oh by the way ... I was being sarcastic."
homer,"Trying is the first step towards failure."
homer,"Oh no! What have I done? I smashed open my little boy's piggy bank, and for what? A few measly cents, not even enough to buy one beer. Wait a minute, lemme count and make sure ... not even close."
homer,"Oh, everything's too damned expensive these days. This Bible cost 15 bucks! And talk about a preachy book! Everybody's a sinner! Except this guy."
homer,"Oh, Lisa, you and your stories ... Bart's a vampire, beer kills brain cells. Now let's go back to that ... building ... thingie ... where our beds and TV ... is."
homer,"Oh, people can come up with statistics to prove anything, Kent. 14% of people know that."
homer,"OK, son. Just remember to have fun out there today, and if you lose, I'LL KILL YOU!"
homer,"Operator! Give me the number for 911!"
homer,"Read your town charter, boy. If food stuff should touch the ground, said food stuff shall be turned over to the village idiot? Since I don't see him around, start shoveling!"
homer,"Relax. What is mind? No matter. What is matter? Never mind!"
homer,"Remember as far as anyone knows, we're a nice normal family."
homer,"Safety? But sir! If truth be known, I actually caused more accidents around here than any other employee, including a few doozies no one ever found out about."
homer,"Simpson-Homer Simpson , he's the greatest guy in his-tor-y. From the town of Springfield, he's about to hit a chestnut tree. D'oh!"
homer,"Solid waste! I could kiss you! Bleh! Ew! Yeech! Ooh! I think this was pizza!"
homer,"Son, being popular is the most important thing in the whole world."
homer,"Son, this is the only time I'm ever gonna say this. It is not okay to lose."
homer,"Stealing! How could you?! Haven't you learned anything from that guy who gives those sermons at church? Captain Whats-his-name?"
homer,"That's it! You people have stood in my way long enough. I'm going to clown college!"
homer,"The lesson is : Our God is vengeful! O spiteful one, show me who to smite and they shall be smoten!"
homer,"The only danger is if they send us to that terrible planet of the apes."
homer,"The strong must protect the sweet."
homer,"There's a New Mexico?!?"
homer,"They have the Internet on computers, now?"
homer,"This donut has purple in the middle, purple is a fruit."
homer,"This is absolutely the last funeral we ever take you kids to."
homer,"This perpetual motion machine she made is a joke : It just keeps going faster and faster. Lisa, get in here! In this house, we obey the laws of THERMODYNAMICS!"
homer,"Movies are the only escape from the drudgery of work and family ... No offense."
homer,"I am sick of running away. Did 'brave heart' run away? Did 'payback' run away? (to Mel Gibson)"
homer,"Just where do you think you are going, missy?(Lisa ""ascending"" into heaven)"
homer,"Uh huh. Uh huh. Okay. Um, can you repeat the part of the stuff where you said all about the ... things? Uh ... the things."
homer,"A big mountain of sugar is too much for one man. I can see now why God portions it out in those little packets."
homer,"I've got the presciption for you, Doctor ... another hot beef injection! ( Hands him a hot dog )"
homer,"Unlike most of you, I am not a nut."
homer,"Wait a minute. I'm a guy like me!"
homer,"We monorail conductors are a crazy breed."
homer,"Can't he be both, like the late Earl Warren? ( for Bart to be Chief Justice of the Supreme Court or a sleazy male stripper )."
homer,"Well you know boys, a nuclear reactor is a lot like women. You just have to read the manual and press the right button. "
homer,"Well, crying isn't gonna bring him back ... unless your tears smell like dog food. So you can either sit there crying and eating can after can of dog food until your tears smell enough like dog food to make your dog come back or you can go out there and find your dog."
homer,"Well, I'm tired of being a wannabe league bowler. I wanna be a league bowler!"
homer,"Well, it's like the time that your cat Snowball got run over? Remember that, honey? Well, what I'm saying is all we have to do is go down to the pound and get a new jazzman. "
homer,"Well, let's just call them, uh, Mr. X and Mrs. Y. So anyway, Mr.X would say, 'Marge, if this doesn't get your motor running, my name isn't ""Homer J. Simpson."""
homer,"Well, you can't go wrong with cocktail weenies. They taste as good as they look. And they come in this delicious red sauce. It looks like catsup - it tastes like catsup. But brother, it ain't catsup!"
homer,"We're gonna get a new TV. Twenty-one inch screen, realistic flesh tones, and a little cart so we can wheel it into the dining room on holidays."
homer,"We're laughing with her, Marge. There's a big difference. Ha ha ha! ... with her. "
homer,"What are you gonna do? Sick your dogs on me? Or your bees? Or dogs with bees in their mouth so when they bark they shoot bees at me?"
homer,"What do we need a psychiatrist for? We know our kid is nuts. "
homer,"What the hey, I'll take the job."
homer,"What's the point of going out, we're just going to end up back here anyway?"
homer,"When I first heard that Marge was joining the police academy, I thought it would be fun and zany, like that movie -- Spaceballs. But instead it was dark and disturbing like that movie, Police Academy."
homer,"When I look at the smiles on all the children's faces. Just know they're about to jab me with something."
homer,"When will I learn? The answer to life's problems aren't at the bottom of a bottle, they're on TV!"
homer,"Yeah Moe that team sure did suck last night. They just plain sucked! I've seen teams suck before, but they were the suckiest bunch of sucks that ever sucked! Oh, I gotta go, my damn weiner kids are listening."
homer,"Yes, honey ... Just squeeze your rage up into a bitter little ball and release it at an appropriate time, like that day I hit the referee with the whiskey bottle."
homer,"Lisa, remember me as I am - filled with murderous rage. (y2k disaster)"
homer,"You couldn't fool your mother on the foolingest day of your life if you had an electrified fooling machine."
homer,"You know, Moe, my mom once said something that really stuck with me. She said, `Homer, you're a big disappointment,' and God bless her soul, she was really onto something."
homer,"You know those balls that they put on car antennas so you can find them in the parking lot? Those should be on EVERY CAR!"
homer,"You know, my kids think you're the greatest. And thanks to your gloomy music, they've finally stopped dreaming of a future I can't possibly provide."
homer,"You tried your best and you failed miserably. The lesson is 'never try'."
homer,"You'll have to speak up, I'm wearing a towel."
homer,"Your lives are in the hands of men no smarter than you or I, many of them incompetent boobs. I know this because I worked alongside them, gone bowling with them, watched them pass me over for promotions time and again. And I say ... This stinks!"
homer,"Now son, you don't want to drink beer. That's for Daddys, and kids with fake IDs."
homer,"Marge, don't discourage the boy! Weaseling out of things is important to learn. It's what separates us from the animals ... except the weasel."
homer,"If you really want something in life you have to work for it. Now quiet, they're about to announce the lottery numbers."
homer,"To alcohol! The cause of - and solution to - all of life's problems!"
homer,"I want to share something with you - the three sentences that will get you through life. Number one, 'cover for me.'Number two, 'oh, good idea, boss. 'Number three, 'it was like that when I got here."
homer,"Marge, you're as pretty as Princess Leah and as smart as Yoda."
homer,"Step aside everyone! Sensitive love letters are my specialty. 'Dear Baby, Welcome to Dumpsville. Population : you."
homer,"Son, when you participate in sporting events, it's not whether you win or lose : it's how drunk you get."
homer,"Lisa, if the Bible has taught us nothing else - and it hasn't - it's that girls should stick to girls' sports, such as hot oil wrestling and foxy boxing and such and such."
homer,"We live in a society of laws. Why do you think I took you to all those Police Academy movies? For fun? Well I didn't hear anybody laughin', did you?"
homer,"Marge send the kids to the neighbors. I'm coming home loaded."
homer,"Oh, well, of course, everything looks bad if you remember it."
homer,"I would kill everyone in this room for a drop of sweet beer."
homer,"You must love this country more than I love a cold beer on a hot Christmas morning. "
homer,"Alcohol is my way of life, and I aim to keep it."
homer,"Honey, I am not the catch that I appear to be. (in Las Vegas)"
homer,"The only guys who were Hawaiian shirts are gay guys and big fat party animals. "
homer,"Sweet Merciful Crap!"
homer,"Lisa do I have my pants on?!"
homer,"Excuse me Doctor, I think I know a little something about medicine. "
homer,"Nacho, nacho man. I want to be a nacho man."
homer,"I kicked a giant mouse in the butt! Do I have to draw you a picture?"
homer,"Hey, can you take the wheel for a second, I have to scratch my self in two places at once."
homer,"Ooh, a graduate student huh? How come you guys can go to the moon but can't make my shoes smell good?"
homer,"Alcohol is a way of life, alcohol is my way of life, and I aim to keep it."
homer,"Television - teacher, mother, secret lover!"
homer,"Good things don't end in ""eum"" they end in ""Mania"" or ""Teria"""
homer,"Carnies built this country, the carnival part of it anyway."
homer,"The Alien has a sweet Heavenly Voice ... Like Urkle, And he appears every Friday night ... Like Urkle."
homer,"If god didn't want me to eat in church, he would've made gluttony a sin."
homer,"I felt a surge of power, like god must feel, when he's holding a gun."
homer,"All my life I've been an obese man trapped inside a fat man's body."
homer,"My bologna has a first name. It's H-O-M-E-R, my bologna has a second name. It's H-O-M-E-R."
homer,"This ticket doesn't just give me a seat, it gives me the right, NO, the DUTY! to make a complete ass of myself."
homer,"Jesus, Alla, Buddha ... I love you all!"
homer,"... and I'm not impressed easily ... VOW! a blue car!!!"
homer,"Don't worry honey, daddy will fix that broken animal."
homer,"Hey, if you dont like it, go to Russia!"
homer,"Guys are always patting my bald head for luck, pinching my belly to hear my girlish laugh."
homer,"Hahahahaha, I'm so funny."
homer,"Yummy, Yummy, Yummy, I got love in my tummy. "
homer,"Man it feels good to get out of that car! Oooo go-karts, come on every body, let's go!"
homer,"Maybe he is acting stupid to infiltrate an international gang of idiots. ( about a TV character named after him )."
homer,"Hmm ... Fabulous house ... Well-behaved kids ... Sisters-in-law dead ... Luxury Sedan ...WOOHOO! I hit the jackpot! Marge dear, would you kindly pass me a donut."
homer,"You don't know what its like, I'm the one out there everyday putting his ass on the line, and I'm not out of order! You're out of order! The whole freakin' system is out of order! You want the Truth? You want the TRUTH?! YOU CAN'T HANDLE THE TRUTH!"
homer,"I am 26 hours late for work. No time for Maggi."
homer,"Who is this? ... ugly nose ... liver spot ... liver spot ... liver spot ... liver spot ..."
homer,"Is it normal to see Mr.Burn's face on a bowling ball?"
homer,"I know what is going on here. They did it to Jesus. Now they are doing it to me.  Marge : Are you comparing yourself to our Lord?  Homer : Only in bowling ability."
homer,"Maggie, that was a perfect game. But you stepped a little over the line. So, I am taking off 5 points. ( Maggie at 295 in bowling )."
homer,"Kids are great, Appu. You can teach them to hate the things you hate and they practically raise themselves now-a-days, you know, with the internet and all."
homer,"Bart : Gee ... Sorry for being born. Homer : I've been waiting for so long to hear that."
homer,"Because when you reach over and put your hand into a pile of goo, that was your best friend's face, you don't know what to do!"
homer,"FORGET IT MARGE! ITS CHINATOWN!"
homer,"Ahhh ... sweet pity. Where would my love life be without it?"
homer,"Sorry Mr Burns, but I don't go in for these backdoor shenanigans. Sure I'm flattered, maybe even a little curious, but the answer is no!"
homer,"I'm hittin' the road. Maybe I'll drop you a line some day from wherever I wind up in this crazy old world."
homer,"Asleep at the switch? I wasn't asleep, I was drunk."
homer,"Whoooa, that's hot. There isn't a man alive who wouldn't get turned on by that. Well, goodbye."
homer,"Sure, IN theeoory, in theory communism works ..."
homer,"Kids, if he (Grandpa) starts acting weird, lead him down into the basement."
homer,"Call Mr. Plow, that's my name, that name again, is Mr. Plow!"
homer,"Hey there, Blimpy Boy, flying through the sky so fancy ... free ..."
homer,"Where's my Burrito? Where's my Burrito?"
homer,"We are not criminals. We are just two crazy, mixed-up kids (con artists Homer and Bart)."
homer,"Well ... GOD conned me out of 6500 bucks for car repairs."
homer,"I told you I find them boring (little league games)."
homer,"We'll be stealing from people we KNOW."
homer,"You've just won 10 million from the publishers clearing dealy."
homer,"60 cents!?! I could've made more money if I had gone to work."
homer,"O.K. you can park my car, but remember, NO joy riding."
homer,"Ooh! The magic is made of chimps."
homer,"Get used to it honey. From now on, we'll be spelling everything with letters."
homer,"This place is a blast. All we have to do is bear two hours of excruciating pain. Then it is all sun and surfing."
homer,"You're not the only one that can abuse a non profit organization!"
homer,"Spine buster ... boring ... Oooh Kaleistromister!!!"
homer,"Flanders!?! That suit is a bit revealing, isn't it?"
homer,"Chesty Lerou ... Busty St.Claire ... Booby McBoob [Homer's suggestions for a namechange for Marge]."
homer,"Nobody snuggles with Max Power ( name change )."
homer,"Thank YOU for getting me out of work."
homer,"Did somebody say 'Num Num'???"
homer,"Sometimes you have to break the rules to free the heart."
homer,"I should have paid attention to the side effects. It's all in here."
homer,"Now I prepare my soul for an eternity of fire and poking."
homer,"I am doing a walk-on. It is a show business thing. ( after bowling fame )."
homer,"I know someone holier than Jesus. ( Flanders )."
homer,"You can't depend on me all your life. You have to learn that there's a little Homer Simpson in all of us."
homer,"The code of the schoolyard, Marge! The rules that teach a boy to be a man. Let's see. Don't tattle. Always make fun of those different from you. Never say anything, unless you're sure everyone feels exactly the same way you do. What else ..."
homer,"And there's nothing wrong with hitting someone when his back is turned."
homer,"What? Those cute little monkeys? That's terrible. Who told you that? I can understand how they wouldn't let in those wild jungle apes, but what about those really smart ones who live among us? Who roller-skate and smoke cigars?"
homer,"And Lord, we are especially thankful for nuclear power, the cleanest, safest energy source there is. Except for solar, which is just a pipe dream. "
homer,"Because sometimes the only way you can feel good about yourself is by making someone else look bad. And I'm tired of making other people feel good about themselves."
homer,"Hey Flanders, it's no use praying. I already did the same thing, and we can't both win. "
homer,"You heard me, I won't be in for the rest of the week. ... I told you! My baby beat me up! ... No, it is not the worst excuse I ever thought up."
homer,"Ah, good ol' trustworthy beer. My love for you will never die."
homer,"Dear God, just give me one channel."
homer,"Pffft, English. Who needs that. I'm never going to England."
homer,"Well, you bought all those smoke alarms, and we haven't had a single fire. "
homer,"Quiet you kids. If I hear one more word, Bart doesn't get to watch cartoons, and Lisa doesn't get to go to college."
homer,"Bart : I am through with working. Working is for chumps.  Homer : Son, I'm proud of you. I was twice your age before I figured that out."
homer,"Marge, I can't wear a pink shirt to work. Everybody wears white shirts. I'm not popular enough to be different."
homer,"Oh, Marge, cartoons don't have any deep meaning. They're just stupid drawings that give you a cheap laugh."
homer,"A job's a job. I mean, take me. If my plant pollutes the water and poisons the town, by your logic, that would make me a criminal."
homer,"Here's good news! According to this eye-catching article, SAT scores are declining at a slower rate ... Hey, this is the only paper in America that's not afraid to tell the truth, that everything is just fine."
homer,"Well, I know you love me, so you don't get squat. Hee hee hee. ( to Bart )."
homer,"Lisa : It's not our fault our generation has short attention spans, Dad. We watch an appalling amount of TV.  Homer : Don't you ever, EVER talk that way about television."
homer,"Homer : Your mother has this crazy idea that gambling is wrong. Even though they say it's okay in the bible.  Lisa : Really? Where?  Homer : Uh ... Somewhere in the back."
homer,"No matter how good you are at something, there's always about a million people better than you."
homer,"Homer : Well, he's got all the money in the world, but there's one thing he can't buy.  Marge : What's that?  Homer : [thinks] A dinosaur"
homer,"Homer : I can't fake an interest in this, and I'm an expert at faking an interest in your kooky projects.  Marge : What kooky projects?  Homer : You know, the painting class, the first aid course, the whole Lamaze thing."
homer,"I hate all the programs Marge likes, but it's no big deal. You know why? Whenever Marge turns on one of her ""non-violent"" programs, I take a walk. I go to a bar, I pound a few, then I stumble home in the mood for looooove."
homer,"If something's hard to do, then it's not worth doing."
homer,"Homer : Marge, where's that ... metal deely ... you use to ... dig ... food...  Marge : You mean, a spoon?  Homer : Yeah, yeah!"
homer,"Marge, there's an empty spot I've always had inside me. I tried to fill it with family, religion, community service, but those were dead ends! I think this chair is the answer."
homer,"Marge : Homer, please don't make me choose between my man and my God, because you just can't win.  Homer : There you go again, always taking someone else's side. Flanders ... the water department ... God ..."
homer,"God : Thou hast forsaken My Church!  Homer : Uh, kind-of ... b-but ...  God : But what  Homer : I'm not a bad guy! I work hard, and I love my kids. So why should I spend half my Sunday hearing about how I'm going to Hell?  God : [pause] Hmm ... You've got a point there."
homer,"Bart : Dad, this money is from Montana Militia. This is not real money.  Homer : It will be soon."
homer,"I will live to be 42. Oh, only 42 ?!? I won't even live to see my children die."
homer,"I am not crazy. It's the TV that's crazy. Aren't you, TV?"
homer,"Yeah, that's true. But the guy I REALLY hate is YOUR father. [to a psychiatrist]."
homer,"I am sane again . Look Marge! ... and I owe all this to ... THE SPRING BREAK!"
homer,"Marge : Homer, you are going to kill us all.  Homer : Or DIE trying. "
homer,"That's fine. There are plenty of other states where we are welcome. [to Florida officials after the alligator debacle]."
homer,"Arizona smells funny. [AZ and ND are the left-over states]."
homer,"I'll lucky if I could get just half-an-hour to get funky [Rocker Homer]. "
homer,"Oh! I haven't changed since high school and suddenly I am uncool."
homer,"People know your name. You don't know theirs. It's great [about being a rocker]."
homer,"It's more important to be with my family than being cool."
homer,"Guide : This man here is more than 200 MILLION years old.  Homer : Pssst ... I got more bones than he has. If you're trying to impress me, you failed.  Guide : It's not the bones ...  Homer : You failed to impress me."
homer,"Boy, everyone is stupid except me."
homer,"You put the beer in the coconut and throw the can away."
homer,"Are you sure this is the Sci-Fi Convention? It's full of nerds!"
homer,"Once the sun goes down, all the weirdos turn crazy!"
homer,"Oh, let's just say I had help from a little magic box."
homer,"How about 'Screw Flanders' ?"
homer,"But I was going to loot you a present."
homer,"They took the foam off the market because they found out it was poisonous, but if you ask me, if you're dumb enough to eat it, you deserve to die."
homer,"Rev. Lovejoy : So Homer, please feel free to tell us anything. There's no judgment here.  Homer : The other day I was so desperate for a beer I snuck into the football stadium and ate the dirt under the bleachers.  Rev. Lovejoy : I cast thee out!"
homer,"Homer [thinks] Don't tell him you were at a bar! Gasp! But what else is open at night? [aloud] It's a pornography store. I was buying pornography. [thinks] Heh heh heh. I would'a never thought of that."
homer,"God is teasing me! Just like he teased Moses in the desert!"
homer,"Marge : Homer, the plant called. They said if you don't show up tomorrow don't bother showing up on Monday.  Homer : Woo-hoo! Four-day weekend!"
homer,"Wow. A baby and a free burger. Could this be the best day of my life?"
homer,"So I says, blue M&M, red M&M, they all wind up the same color in the end."
homer,"Homer : Hey boy! Wanna play catch?  Bart : No thanks dad.  Homer : When a son doesn't want to play catch with his father something is definitely wrong.  Grandpa : I'll play catch with you!  Homer : Go home."
homer,"Marge we're gettin some drive-through then doin it twice. "
homer,"Ahh burn it, send it to hell!"
homer,"Yeah! He's a crazy nut! It's not about me being lazy! It's about him being a crazy nut!"
homer,"Marge : It looks like there's going to be twice as much love in this house.  Homer : You mean we're going to start doing it in the morning?"
homer,"Give me some peace of mind or I'll mop the floor with you!"
homer,"My wife is not a doobie to be passed around! On our wedding day I promised to bogart her for life!"
homer,"We played Dungeons & Dragons for three hours! Then I was slain by an elf."
homer,"Ive been muscled out of everything Ive ever done, including my muscule-for-hire business."
homer,"Lenny says that I'm a (laughs) get this ... (laughs) ... a little SLOW ... (laughs, pauses) ... how come you're not laughing? Do you think I'm slow?"
homer,"You jive turkey. See? You got to sass it. Quit jivin' me, turkey. You got to sass it. A ""turkey"" is a bad person."
homer,"You gave both dogs away?! You know how I feel about giving!"
homer,"Marge : Homer there's a man here who thinks he can help you!  Homer : Batman?  Marge : No he's a scientist.  Homer : Batman's a scientist.  Marge : He's not Batman!"
homer,"Marge : Have you noticed something about Bart?  Homer : New glasses?  Marge : No. It seems like something could be troubling him.  Homer : Probably misses his old glasses."
homer,"Marge : I want to get more involved in Bart's activities, but then I'd be afraid of smothering him.  Homer : Yeah, and then we'd get the chair.  Marge : That's not what I meant.  Homer : Admit it Marge, it was."
homer,"Default! The two sweetest words in the English language."
homer,"Back you robots! Nobody ruins my family vacation but me! And maybe the boy."
homer,"Burns : And this must be ... (reading card) little Brat.  Bart : Bart.  Homer : Don't correct the man, Brat."
homer,"Kent : Well what do you say to the accusation that your group has been causing more crimes than it's been preventing?  Homer : Oh, Kent I'd be lying if I said my men weren't committing crimes.  Kent : (pause) Mmm, touche."
homer,"Homer no function beer well without."
homer,"Bart : We were just planning the father-son river rafting trip.  Homer : He he. You don't have a son. "
homer,"No offence Apu, but when they were handing out religions you must have been out taking a whizz."
homer,"Take it easy Marge. How about if we dope you up real good? [Marge's fear of flying]."
homer,"Marge that's twice - I think you're spending entirely too much time with this woman."
