# Version: 18.08.58.00
id,attack_time,recharge_time,full_auto,burst,fling_shot,fast_attack,aimed_shot,brawl,sneak_attack,multi_m,multi_r
121637,150,152,,,0,0,0,1,0,,
121638,150,152,,,0,0,0,1,0,,
121639,150,152,,,0,0,0,1,0,,
121640,150,152,,,0,0,0,1,0,,
121641,150,152,,,0,0,0,1,0,,
121642,150,152,,,0,0,0,1,0,,
121643,150,152,,,0,0,0,1,0,,
121644,150,152,,,0,0,0,1,0,,
121645,150,152,,,0,0,0,1,0,,
121646,150,152,,,0,0,0,1,0,,
121647,150,152,,,0,0,0,1,0,,
121648,200,152,,,0,0,0,1,1,,
121649,200,152,,,0,0,0,1,1,,
121650,200,152,,,0,0,0,1,1,,
121651,200,152,,,0,0,0,1,1,,
121652,200,152,,,0,0,0,1,1,,
121653,200,152,,,0,0,0,1,1,,
121654,200,152,,,0,0,0,1,1,,
121655,200,152,,,0,0,0,1,1,,
121656,200,152,,,0,0,0,1,1,,
121657,200,152,,,0,0,0,1,1,,
121658,200,152,,,0,0,0,1,1,,
121659,200,152,,,0,0,0,1,1,,
121660,200,152,,,0,0,0,1,1,,
121661,200,152,,,0,0,0,1,1,,
121662,200,152,,,0,0,0,1,1,,
121663,200,152,,,0,0,0,1,1,,
121664,200,152,,,0,0,0,1,1,,
121665,252,252,,,0,0,0,1,1,,
121666,252,252,,,0,0,0,1,1,,
121667,252,252,,,0,0,0,1,1,,
121668,252,252,,,0,0,0,1,1,,
121669,252,252,,,0,0,0,1,1,,
121670,252,252,,,0,0,0,1,1,,
121671,252,252,,,0,0,0,1,1,,
121672,252,252,,,0,0,0,1,1,,
121673,252,252,,,0,0,0,1,1,,
121674,252,252,,,0,0,0,1,1,,
121675,252,252,,,0,0,0,1,1,,
121676,252,252,,,0,0,0,1,1,,
121677,252,252,,,0,0,0,1,1,,
121678,252,252,,,0,0,0,1,1,,
121679,252,252,,,0,0,0,1,1,,
121680,252,252,,,0,0,0,1,1,,
121681,252,252,,,0,0,0,1,1,,
121682,252,252,,,0,0,0,1,1,,
121683,252,252,,,0,0,0,1,1,,
121684,252,252,7300,2400,0,0,0,0,0,,
121685,252,252,7300,2400,0,0,0,0,0,,
121686,252,252,7300,2400,0,0,0,0,0,,
121687,252,252,7300,2400,0,0,0,0,0,,
121688,252,252,7300,2400,0,0,0,0,0,,
121689,252,252,7300,2400,0,0,0,0,0,,
121690,252,252,7300,2400,0,0,0,0,0,,
121691,252,252,7300,2400,0,0,0,0,0,,
121692,252,252,7300,2400,0,0,0,0,0,,
121693,252,252,7300,2400,0,0,0,0,0,,
121694,252,252,7300,2400,0,0,0,0,0,,
121695,252,252,7300,2400,0,0,0,0,0,,
121696,252,252,7300,2400,0,0,0,0,0,,
121697,252,252,7300,2400,0,0,0,0,0,,
121698,252,252,7300,2400,0,0,0,0,0,,
121699,252,252,7300,2400,0,0,0,0,0,,
121700,252,252,7300,2400,0,0,0,0,0,,
121701,252,252,7300,2400,0,0,0,0,0,,
121702,252,252,7300,2400,0,0,0,0,0,,
121703,150,150,,,0,1,0,1,0,,
121704,150,150,,,0,1,0,1,0,,
121705,150,150,,,0,1,0,1,0,,
121706,150,150,,,0,1,0,1,0,,
121707,150,150,,,0,1,0,1,0,,
121708,150,150,,,0,1,0,1,0,,
121709,150,150,,,0,1,0,1,0,,
121710,150,150,,,0,1,0,1,0,,
121711,150,150,,,0,1,0,1,0,,
121712,150,150,,,0,1,0,1,0,,
121713,150,150,,,0,1,0,1,0,,
121714,150,150,,,0,1,0,1,0,,
121715,150,150,,,0,1,0,1,0,,
121716,150,150,,,0,1,0,1,0,,
121717,150,150,,,0,1,0,1,0,,
121718,150,150,,,0,1,0,1,0,,
121719,150,150,,,0,1,0,1,0,,
121720,150,150,,,0,1,0,1,0,,
121721,150,150,,,0,1,0,1,0,,
121722,251,251,,,0,0,0,1,0,,
121723,251,251,,,0,0,0,1,0,,
121724,251,251,,,0,0,0,1,0,,
121725,251,251,,,0,0,0,1,0,,
121726,251,251,,,0,0,0,1,0,,
121727,251,251,,,0,0,0,1,0,,
121728,251,251,,,0,0,0,1,0,,
121729,251,251,,,0,0,0,1,0,,
121730,251,251,,,0,0,0,1,0,,
121731,251,251,,,0,0,0,1,0,,
121732,251,251,,,0,0,0,1,0,,
121733,251,251,,,0,0,0,1,0,,
121734,251,251,,,0,0,0,1,0,,
121735,251,251,,,0,0,0,1,0,,
121736,251,251,,,0,0,0,1,0,,
121737,251,251,,,0,0,0,1,0,,
121738,251,251,,,0,0,0,1,0,,
121739,251,251,,,0,0,0,1,0,,
121740,251,251,,,0,0,0,1,0,,
121741,130,130,,,0,1,0,1,1,49,
121742,130,130,,,0,1,0,1,1,68,
121743,130,130,,,0,1,0,1,1,69,
121744,130,130,,,0,1,0,1,1,89,
121745,130,130,,,0,1,0,1,1,90,
121746,130,130,,,0,1,0,1,1,109,
121747,130,130,,,0,1,0,1,1,110,
121748,130,130,,,0,1,0,1,1,173,
121749,130,130,,,0,1,0,1,1,179,
121750,130,130,,,0,1,0,1,1,281,
121751,130,130,,,0,1,0,1,1,287,
121752,130,130,,,0,1,0,1,1,389,
121753,130,130,,,0,1,0,1,1,395,
121754,130,130,,,0,1,0,1,1,498,
121755,130,130,,,0,1,0,1,1,503,
121756,130,130,,,0,1,0,1,1,606,
121757,130,130,,,0,1,0,1,1,611,
121758,130,130,,,0,1,0,1,1,817,
121759,130,130,,,0,1,0,1,1,822,
121760,130,150,,,0,1,0,1,1,60,
121761,130,150,,,0,1,0,1,1,80,
121762,130,150,,,0,1,0,1,1,81,
121763,130,150,,,0,1,0,1,1,100,
121764,130,150,,,0,1,0,1,1,101,
121765,130,150,,,0,1,0,1,1,121,
121766,130,150,,,0,1,0,1,1,122,
121767,130,150,,,0,1,0,1,1,184,
121768,130,150,,,0,1,0,1,1,190,
121769,130,150,,,0,1,0,1,1,293,
121770,130,150,,,0,1,0,1,1,299,
121771,130,150,,,0,1,0,1,1,402,
121772,130,150,,,0,1,0,1,1,408,
121773,130,150,,,0,1,0,1,1,510,
121774,130,150,,,0,1,0,1,1,516,
121775,130,150,,,0,1,0,1,1,619,
121776,130,150,,,0,1,0,1,1,624,
121777,130,150,,,0,1,0,1,1,830,
121778,130,150,,,0,1,0,1,1,836,
121779,120,150,7800,2600,0,0,0,0,0,,
121780,120,150,7800,2600,0,0,0,0,0,,
121781,120,150,7800,2600,0,0,0,0,0,,
121782,120,150,7800,2600,0,0,0,0,0,,
121783,120,150,7800,2600,0,0,0,0,0,,
121784,120,150,7800,2600,0,0,0,0,0,,
121785,120,150,7800,2600,0,0,0,0,0,,
121786,120,150,7800,2600,0,0,0,0,0,,
121787,120,150,7800,2600,0,0,0,0,0,,
121788,120,150,7800,2600,0,0,0,0,0,,
121789,120,150,7800,2600,0,0,0,0,0,,
121790,120,150,7800,2600,0,0,0,0,0,,
121791,120,150,7800,2600,0,0,0,0,0,,
121792,120,150,7800,2600,0,0,0,0,0,,
121793,120,150,7800,2600,0,0,0,0,0,,
121794,120,150,7800,2600,0,0,0,0,0,,
121795,120,150,7800,2600,0,0,0,0,0,,
121796,120,150,7800,2600,0,0,0,0,0,,
121797,120,150,7800,2600,0,0,0,0,0,,
121798,250,250,,,0,0,1,0,0,,
121799,250,250,,,0,0,1,0,0,,
121800,250,250,,,0,0,1,0,0,,
121801,250,250,,,0,0,1,0,0,,
121802,250,250,,,0,0,1,0,0,,
121803,250,250,,,0,0,1,0,0,,
121804,250,250,,,0,0,1,0,0,,
121805,250,250,,,0,0,1,0,0,,
121806,250,250,,,0,0,1,0,0,,
121807,250,250,,,0,0,1,0,0,,
121808,250,250,,,0,0,1,0,0,,
121809,250,250,,,0,0,1,0,0,,
121810,250,250,,,0,0,1,0,0,,
121811,250,250,,,0,0,1,0,0,,
121812,250,250,,,0,0,1,0,0,,
121813,250,250,,,0,0,1,0,0,,
121814,250,250,,,0,0,1,0,0,,
121815,250,250,,,0,0,1,0,0,,
121816,250,250,,,0,0,1,0,0,,
121817,150,101,,,1,0,0,0,0,,49
121818,150,101,,,1,0,0,0,0,,69
121819,150,101,,,1,0,0,0,0,,70
121820,150,101,,,1,0,0,0,0,,90
121821,150,101,,,1,0,0,0,0,,91
121822,150,102,,,1,0,0,0,0,,111
121823,150,102,,,1,0,0,0,0,,112
121824,150,102,,,1,0,0,0,0,,176
121825,150,102,,,1,0,0,0,0,,181
121826,150,102,,,1,0,0,0,0,,286
121827,150,102,,,1,0,0,0,0,,290
121828,150,102,,,1,0,0,0,0,,395
121829,150,102,,,1,0,0,0,0,,400
121830,150,102,,,1,0,0,0,0,,503
121831,150,102,,,1,0,0,0,0,,509
121832,150,103,,,1,0,0,0,0,,612
121833,150,103,,,1,0,0,0,0,,618
121834,150,103,,,1,0,0,0,0,,825
121835,150,103,,,1,0,0,0,0,,830
121836,120,120,,,1,0,0,0,0,,45
121837,120,120,,,1,0,0,0,0,,65
121838,120,120,,,1,0,0,0,0,,66
121839,120,120,,,1,0,0,0,0,,86
121840,120,120,,,1,0,0,0,0,,87
121841,120,120,,,1,0,0,0,0,,107
121842,120,120,,,1,0,0,0,0,,108
121843,120,120,,,1,0,0,0,0,,172
121844,120,120,,,1,0,0,0,0,,177
121845,120,120,,,1,0,0,0,0,,281
121846,120,120,,,1,0,0,0,0,,286
121847,120,120,,,1,0,0,0,0,,389
121848,120,120,,,1,0,0,0,0,,395
121849,120,120,,,1,0,0,0,0,,498
121850,120,120,,,1,0,0,0,0,,504
121851,120,120,,,1,0,0,0,0,,607
121852,120,120,,,1,0,0,0,0,,613
121853,120,120,,,1,0,0,0,0,,820
121854,120,120,,,1,0,0,0,0,,825
121855,150,150,,,0,0,0,0,0,,
121856,150,150,,,0,0,0,0,0,,
121857,150,150,,,0,0,0,0,0,,
121858,150,150,,,0,0,0,0,0,,
121859,150,150,,,0,0,0,0,0,,
121860,150,150,,,0,0,0,0,0,,
121861,150,150,,,0,0,0,0,0,,
121862,150,150,,,0,0,0,0,0,,
121863,150,150,,,0,0,0,0,0,,
121864,150,150,,,0,0,0,0,0,,
121865,150,150,,,0,0,0,0,0,,
121866,150,150,,,0,0,0,0,0,,
121867,150,150,,,0,0,0,0,0,,
121868,150,150,,,0,0,0,0,0,,
121869,150,150,,,0,0,0,0,0,,
121870,150,150,,,0,0,0,0,0,,
121871,150,150,,,0,0,0,0,0,,
121872,150,150,,,0,0,0,0,0,,
121873,150,150,,,0,0,0,0,0,,
121874,130,100,8035,,1,0,0,0,0,,
121875,130,100,8035,,1,0,0,0,0,,
121876,130,100,8035,,1,0,0,0,0,,
121877,130,100,8035,,1,0,0,0,0,,
121878,130,100,8035,,1,0,0,0,0,,
121879,130,100,8035,,1,0,0,0,0,,
121880,130,100,8035,,1,0,0,0,0,,
121881,130,100,8035,,1,0,0,0,0,,
121882,130,100,8035,,1,0,0,0,0,,
121883,130,100,8035,,1,0,0,0,0,,
121884,130,100,8035,,1,0,0,0,0,,
121885,130,100,8035,,1,0,0,0,0,,
121886,130,100,8035,,1,0,0,0,0,,
121887,130,100,8035,,1,0,0,0,0,,
121888,130,100,8035,,1,0,0,0,0,,
121889,130,100,8035,,1,0,0,0,0,,
121890,130,100,8035,,1,0,0,0,0,,
121891,130,100,8035,,1,0,0,0,0,,
121892,130,100,,,1,0,0,0,0,,
121893,100,150,,2400,0,0,0,0,0,,
121894,100,150,,2400,0,0,0,0,0,,
121895,100,150,,2400,0,0,0,0,0,,
121896,100,150,,2400,0,0,0,0,0,,
121897,100,150,,2400,0,0,0,0,0,,
121898,100,150,,2400,0,0,0,0,0,,
121899,100,150,,2400,0,0,0,0,0,,
121900,100,150,,2400,0,0,0,0,0,,
121901,100,150,,2400,0,0,0,0,0,,
121902,100,150,,2400,0,0,0,0,0,,
121903,100,150,,2400,0,0,0,0,0,,
121904,100,150,,2400,0,0,0,0,0,,
121905,100,150,,2400,0,0,0,0,0,,
121906,100,150,,2400,0,0,0,0,0,,
121907,100,150,,2400,0,0,0,0,0,,
121908,100,150,,2400,0,0,0,0,0,,
121909,100,150,,2400,0,0,0,0,0,,
121910,100,150,,2400,0,0,0,0,0,,
121911,100,150,,2400,0,0,0,0,0,,
121912,224,123,,,0,0,0,0,0,,
121913,226,126,,,0,0,0,0,0,,
121914,227,126,,,0,0,0,0,0,,
121915,229,128,,,0,0,0,0,0,,
121916,229,128,,,0,0,0,0,0,,
121917,232,131,,,0,0,0,0,0,,
121918,232,131,,,0,0,0,0,0,,
121919,234,134,,,0,0,0,0,0,,
121920,234,134,,,0,0,0,0,0,,
121921,237,136,,,0,0,0,0,0,,
121922,237,137,,,0,0,0,0,0,,
121923,240,139,,,0,0,0,0,0,,
121924,240,139,,,0,0,0,0,0,,
121925,242,142,,,0,0,0,0,0,,
121926,242,142,,,0,0,0,0,0,,
121927,245,145,,,0,0,0,0,0,,
121928,245,145,,,0,0,0,0,0,,
121929,250,150,,,0,0,0,0,0,,
121930,250,150,,,0,0,0,0,0,,
121931,251,251,,,0,0,0,0,0,,
121932,249,249,,,0,0,0,0,0,,
121933,249,249,,,0,0,0,0,0,,
121934,246,246,,,0,0,0,0,0,,
121935,246,246,,,0,0,0,0,0,,
121936,244,244,,,0,0,0,0,0,,
121937,244,244,,,0,0,0,0,0,,
121938,242,242,,,0,0,0,0,0,,
121939,242,242,,,0,0,0,0,0,,
121940,240,240,,,0,0,0,0,0,,
121941,239,239,,,0,0,0,0,0,,
121942,237,237,,,0,0,0,0,0,,
121943,237,237,,,0,0,0,0,0,,
121944,235,235,,,0,0,0,0,0,,
121945,235,235,,,0,0,0,0,0,,
121946,233,233,,,0,0,0,0,0,,
121947,233,233,,,0,0,0,0,0,,
121948,228,228,,,0,0,0,0,0,,
121949,228,228,,,0,0,0,0,0,,
121950,150,150,,,0,1,0,1,1,12,
121951,150,150,,,0,1,0,1,1,31,
121952,150,150,,,0,1,0,1,1,32,
121953,150,150,,,0,1,0,1,1,51,
121954,150,150,,,0,1,0,1,1,52,
121955,150,150,,,0,1,0,1,1,70,
121956,150,150,,,0,1,0,1,1,72,
121957,150,150,,,0,1,0,1,1,134,
121958,150,150,,,0,1,0,1,1,140,
121959,150,150,,,0,1,0,1,1,242,
121960,150,150,,,0,1,0,1,1,248,
121961,150,150,,,0,1,0,1,1,351,
121962,150,150,,,0,1,0,1,1,355,
121963,150,150,,,0,1,0,1,1,458,
121964,150,150,,,0,1,0,1,1,463,
121965,150,150,,,0,1,0,1,1,565,
121966,150,150,,,0,1,0,1,1,571,
121967,150,150,,,0,1,0,1,1,776,
121968,150,150,,,0,1,0,1,1,781,
121969,140,140,,,0,0,0,1,0,,
121970,140,140,,,0,0,0,1,0,,
121971,140,140,,,0,0,0,1,0,,
121972,140,140,,,0,0,0,1,0,,
121973,140,140,,,0,0,0,1,0,,
121974,140,140,,,0,0,0,1,0,,
121975,140,140,,,0,0,0,1,0,,
121976,140,140,,,0,0,0,1,0,,
121977,140,140,,,0,0,0,1,0,,
121978,140,140,,,0,0,0,1,0,,
121979,140,140,,,0,0,0,1,0,,
121980,140,140,,,0,0,0,1,0,,
121981,140,140,,,0,0,0,1,0,,
121982,140,140,,,0,0,0,1,0,,
121983,140,140,,,0,0,0,1,0,,
121984,140,140,,,0,0,0,1,0,,
121985,140,140,,,0,0,0,1,0,,
121986,140,140,,,0,0,0,1,0,,
121987,140,140,,,0,0,0,1,0,,
121988,110,110,,,1,0,0,0,0,,42
121989,110,110,,,1,0,0,0,0,,62
121990,110,110,,,1,0,0,0,0,,63
121991,110,110,,,1,0,0,0,0,,82
121992,110,110,,,1,0,0,0,0,,83
121993,110,110,,,1,0,0,0,0,,103
121994,110,110,,,1,0,0,0,0,,104
121995,110,110,,,1,0,0,0,0,,168
121996,110,110,,,1,0,0,0,0,,173
121997,110,110,,,1,0,0,0,0,,276
121998,110,110,,,1,0,0,0,0,,281
121999,110,110,,,1,0,0,0,0,,384
122000,110,110,,,1,0,0,0,0,,390
122001,110,110,,,1,0,0,0,0,,493
122002,110,110,,,1,0,0,0,0,,499
122003,110,110,,,1,0,0,0,0,,602
122004,110,110,,,1,0,0,0,0,,608
122005,110,110,,,1,0,0,0,0,,813
122006,110,110,,,1,0,0,0,0,,819
122007,130,155,,,1,0,0,0,0,,
122008,130,155,,,1,0,0,0,0,,
122009,130,155,,,1,0,0,0,0,,
122010,130,155,,,1,0,0,0,0,,
122011,130,155,,,1,0,0,0,0,,
122012,130,155,,,1,0,0,0,0,,
122013,130,155,,,1,0,0,0,0,,
122014,130,155,,,1,0,0,0,0,,
122015,130,155,,,1,0,0,0,0,,
122016,130,155,,,1,0,0,0,0,,
122017,130,155,,,1,0,0,0,0,,
122018,130,155,,,1,0,0,0,0,,
122019,130,155,,,1,0,0,0,0,,
122020,130,155,,,1,0,0,0,0,,
122021,130,155,,,1,0,0,0,0,,
122022,130,155,,,1,0,0,0,0,,
122023,130,155,,,1,0,0,0,0,,
122024,130,155,,,1,0,0,0,0,,
122025,130,155,,,1,0,0,0,0,,
122026,125,120,,,1,0,0,0,0,,31
122027,125,120,,,1,0,0,0,0,,51
122028,125,120,,,1,0,0,0,0,,52
122029,125,120,,,1,0,0,0,0,,72
122030,125,120,,,1,0,0,0,0,,73
122031,125,120,,,1,0,0,0,0,,93
122032,125,120,,,1,0,0,0,0,,94
122033,125,120,,,1,0,0,0,0,,158
122034,125,120,,,1,0,0,0,0,,163
122035,125,120,,,1,0,0,0,0,,267
122036,125,120,,,1,0,0,0,0,,271
122037,125,120,,,1,0,0,0,0,,374
122038,125,120,,,1,0,0,0,0,,380
122039,125,120,,,1,0,0,0,0,,483
122040,125,120,,,1,0,0,0,0,,489
122041,125,120,,,1,0,0,0,0,,592
122042,125,120,,,1,0,0,0,0,,598
122043,125,120,,,1,0,0,0,0,,804
122044,125,120,,,1,0,0,0,0,,810
122045,250,250,,,0,0,0,1,0,,
122046,250,250,,,0,0,0,1,0,,
122047,250,250,,,0,0,0,1,0,,
122048,250,250,,,0,0,0,1,0,,
122049,250,250,,,0,0,0,1,0,,
122050,250,250,,,0,0,0,1,0,,
122051,250,250,,,0,0,0,1,0,,
122052,250,250,,,0,0,0,1,0,,
122053,250,250,,,0,0,0,1,0,,
122054,250,250,,,0,0,0,1,0,,
122055,250,250,,,0,0,0,1,0,,
122056,250,250,,,0,0,0,1,0,,
122057,250,250,,,0,0,0,1,0,,
122058,250,250,,,0,0,0,1,0,,
122059,250,250,,,0,0,0,1,0,,
122060,250,250,,,0,0,0,1,0,,
122061,250,250,,,0,0,0,1,0,,
122062,250,250,,,0,0,0,1,0,,
122063,250,250,,,0,0,0,1,0,,
122064,180,120,,,0,1,0,1,0,59,
122065,180,120,,,0,1,0,1,0,80,
122066,180,120,,,0,1,0,1,0,82,
122067,180,120,,,0,1,0,1,0,103,
122068,180,120,,,0,1,0,1,0,104,
122069,180,120,,,0,1,0,1,0,125,
122070,180,120,,,0,1,0,1,0,127,
122071,180,120,,,0,1,0,1,0,192,
122072,180,120,,,0,1,0,1,0,198,
122073,180,120,,,0,1,0,1,0,302,
122074,180,120,,,0,1,0,1,0,309,
122075,180,120,,,0,1,0,1,0,413,
122076,180,120,,,0,1,0,1,0,419,
122077,180,120,,,0,1,0,1,0,523,
122078,180,120,,,0,1,0,1,0,530,
122079,180,120,,,0,1,0,1,0,634,
122080,180,120,,,0,1,0,1,0,640,
122081,180,120,,,0,1,0,1,0,850,
122082,180,120,,,0,1,0,1,0,856,
122083,248,102,,,1,0,0,0,0,,
122084,248,102,,,1,0,0,0,0,,
122085,248,102,,,1,0,0,0,0,,
122086,248,102,,,1,0,0,0,0,,
122087,248,102,,,1,0,0,0,0,,
122088,248,102,,,1,0,0,0,0,,
122089,248,102,,,1,0,0,0,0,,
122090,248,102,,,1,0,0,0,0,,
122091,248,102,,,1,0,0,0,0,,
122092,248,102,,,1,0,0,0,0,,
122093,248,102,,,1,0,0,0,0,,
122094,248,102,,,1,0,0,0,0,,
122095,248,102,,,1,0,0,0,0,,
122096,248,102,,,1,0,0,0,0,,
122097,248,102,,,1,0,0,0,0,,
122098,248,102,,,1,0,0,0,0,,
122099,248,102,,,1,0,0,0,0,,
122100,248,102,,,1,0,0,0,0,,
122101,248,102,,,1,0,0,0,0,,
122102,120,135,,,0,1,0,1,1,34,
122103,120,135,,,0,1,0,1,1,53,
122104,120,135,,,0,1,0,1,1,53,
122105,120,135,,,0,1,0,1,1,72,
122106,120,135,,,0,1,0,1,1,73,
122107,120,135,,,0,1,0,1,1,91,
122108,120,135,,,0,1,0,1,1,91,
122109,120,135,,,0,1,0,1,1,154,
122110,120,135,,,0,1,0,1,1,160,
122111,120,135,,,0,1,0,1,1,262,
122112,120,135,,,0,1,0,1,1,266,
122113,120,135,,,0,1,0,1,1,369,
122114,120,135,,,0,1,0,1,1,374,
122115,120,135,,,0,1,0,1,1,476,
122116,120,135,,,0,1,0,1,1,481,
122117,120,135,,,0,1,0,1,1,583,
122118,120,135,,,0,1,0,1,1,589,
122119,120,135,,,0,1,0,1,1,792,
122120,120,135,,,0,1,0,1,1,798,
122121,150,150,,,1,0,0,0,0,,
122122,150,150,,,1,0,0,0,0,,
122123,150,150,,,1,0,0,0,0,,
122124,150,150,,,1,0,0,0,0,,
122125,150,150,,,1,0,0,0,0,,
122126,150,150,,,1,0,0,0,0,,
122127,150,150,,,1,0,0,0,0,,
122128,150,150,,,1,0,0,0,0,,
122129,150,150,,,1,0,0,0,0,,
122130,150,150,,,1,0,0,0,0,,
122131,150,150,,,1,0,0,0,0,,
122132,150,150,,,1,0,0,0,0,,
122133,150,150,,,1,0,0,0,0,,
122134,150,150,,,1,0,0,0,0,,
122135,150,150,,,1,0,0,0,0,,
122136,150,150,,,1,0,0,0,0,,
122137,150,150,,,1,0,0,0,0,,
122138,150,150,,,1,0,0,0,0,,
122139,150,150,,,1,0,0,0,0,,
122140,130,130,,,0,1,0,0,1,41,
122141,130,130,,,0,1,0,0,1,60,
122142,130,130,,,0,1,0,0,1,61,
122143,130,130,,,0,1,0,0,1,80,
122144,130,130,,,0,1,0,0,1,81,
122145,130,130,,,0,1,0,0,1,99,
122146,130,130,,,0,1,0,0,1,101,
122147,130,130,,,0,1,0,0,1,163,
122148,130,130,,,0,1,0,0,1,169,
122149,130,130,,,0,1,0,0,1,272,
122150,130,130,,,0,1,0,0,1,277,
122151,130,130,,,0,1,0,0,1,380,
122152,130,130,,,0,1,0,0,1,385,
122153,130,130,,,0,1,0,0,1,488,
122154,130,130,,,0,1,0,0,1,493,
122155,130,130,,,0,1,0,0,1,596,
122156,130,130,,,0,1,0,0,1,601,
122157,130,130,,,0,1,0,0,1,806,
122158,130,130,,,0,1,0,0,1,811,
122159,145,140,,,0,1,0,1,1,,
122160,143,140,,,0,1,0,1,1,,
122161,143,140,,,0,1,0,1,1,,
122162,141,140,,,0,1,0,1,1,,
122163,141,140,,,0,1,0,1,1,,
122164,139,140,,,0,1,0,1,1,,
122165,139,140,,,0,1,0,1,1,,
122166,137,140,,,0,1,0,1,1,,
122167,137,140,,,0,1,0,1,1,,
122168,135,140,,,0,1,0,1,1,,
122169,135,140,,,0,1,0,1,1,,
122170,133,140,,,0,1,0,1,1,,
122171,133,140,,,0,1,0,1,1,,
122172,131,140,,,0,1,0,1,1,,
122173,131,140,,,0,1,0,1,1,,
122174,129,140,,,0,1,0,1,1,,
122175,129,140,,,0,1,0,1,1,,
122176,125,140,,,0,1,0,1,1,,
122177,125,140,,,0,1,0,1,1,,
122178,250,250,,,0,0,0,0,0,,
122179,250,250,,,0,0,0,0,0,,
122180,250,250,,,0,0,0,0,0,,
122181,250,250,,,0,0,0,0,0,,
122182,250,250,,,0,0,0,0,0,,
122183,250,250,,,0,0,0,0,0,,
122184,250,250,,,0,0,0,0,0,,
122185,250,250,,,0,0,0,0,0,,
122186,250,250,,,0,0,0,0,0,,
122187,250,250,,,0,0,0,0,0,,
122188,250,250,,,0,0,0,0,0,,
122189,250,250,,,0,0,0,0,0,,
122190,250,250,,,0,0,0,0,0,,
122191,250,250,,,0,0,0,0,0,,
122192,250,250,,,0,0,0,0,0,,
122193,250,250,,,0,0,0,0,0,,
122194,250,250,,,0,0,0,0,0,,
